DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2015-06-12 05:00:00,808.7,804.1,804.1,20150900,20151200,20151200
2015-06-15 05:00:00,792.7,788.1,788.1,20150900,20151200,20151200
2015-06-15 11:00:00,798.5,,,20150900,20151200,20151200
2015-06-16 05:00:00,799.1,795.1,795.1,20150900,20151200,20151200
2015-06-16 07:00:00,790.5,,,20150900,20151200,20151200
2015-06-16 09:00:00,792.4,,,20150900,20151200,20151200
2015-06-16 10:00:00,792.4,,,20150900,20151200,20151200
2015-06-16 11:00:00,794.6,,,20150900,20151200,20151200
2015-06-16 12:00:00,799.7,,,20150900,20151200,20151200
2015-06-16 13:00:00,798.2,,,20150900,20151200,20151200
2015-06-16 15:00:00,798.0,,,20150900,20151200,20151200
2015-06-17 05:00:00,794.7,790.4,790.4,20150900,20151200,20151200
2015-06-17 07:00:00,799.0,,,20150900,20151200,20151200
2015-06-17 08:00:00,799.2,,,20150900,20151200,20151200
2015-06-17 09:00:00,795.6,,,20150900,20151200,20151200
2015-06-17 10:00:00,794.3,,,20150900,20151200,20151200
2015-06-17 11:00:00,792.1,,,20150900,20151200,20151200
2015-06-17 12:00:00,794.0,,,20150900,20151200,20151200
2015-06-17 13:00:00,794.6,,,20150900,20151200,20151200
2015-06-17 14:00:00,796.0,,,20150900,20151200,20151200
2015-06-17 15:00:00,794.9,,,20150900,20151200,20151200
2015-06-18 05:00:00,794.4,790.1,790.1,20150900,20151200,20151200
2015-06-18 07:00:00,789.7,,,20150900,20151200,20151200
2015-06-18 08:00:00,785.8,,,20150900,20151200,20151200
2015-06-18 09:00:00,783.9,,,20150900,20151200,20151200
2015-06-18 10:00:00,784.4,,,20150900,20151200,20151200
2015-06-18 13:00:00,789.0,,,20150900,20151200,20151200
2015-06-18 16:00:00,801.2,,,20150900,20151200,20151200
2015-06-19 05:00:00,793.0,788.7,788.7,20150900,20151200,20151200
2015-06-19 06:00:00,795.5,,,20150900,20151200,20151200
2015-06-19 07:00:00,802.7,,,20150900,20151200,20151200
2015-06-19 08:00:00,801.9,,,20150900,20151200,20151200
2015-06-19 10:00:00,802.9,,,20150900,20151200,20151200
2015-06-19 11:00:00,801.0,,,20150900,20151200,20151200
2015-06-19 13:00:00,796.1,,,20150900,20151200,20151200
2015-06-19 14:00:00,793.1,,,20150900,20151200,20151200
2015-06-22 05:00:00,810.4,806.1,806.1,20150900,20151200,20151200
2015-06-22 07:00:00,809.7,,,20150900,20151200,20151200
2015-06-22 08:00:00,811.0,,,20150900,20151200,20151200
2015-06-22 09:00:00,807.6,,,20150900,20151200,20151200
2015-06-22 10:00:00,805.0,,,20150900,20151200,20151200
2015-06-22 11:00:00,805.4,,,20150900,20151200,20151200
2015-06-22 12:00:00,803.2,,,20150900,20151200,20151200
2015-06-22 13:00:00,808.0,,,20150900,20151200,20151200
2015-06-22 14:00:00,808.1,,,20150900,20151200,20151200
2015-06-22 15:00:00,810.2,,,20150900,20151200,20151200
2015-06-23 05:00:00,821.6,817.3,817.3,20150900,20151200,20151200
2015-06-23 07:00:00,818.0,,,20150900,20151200,20151200
2015-06-23 08:00:00,817.8,,,20150900,20151200,20151200
2015-06-23 09:00:00,820.0,,,20150900,20151200,20151200
2015-06-23 10:00:00,819.6,,,20150900,20151200,20151200
2015-06-23 11:00:00,824.3,,,20150900,20151200,20151200
2015-06-23 12:00:00,822.8,,,20150900,20151200,20151200
2015-06-23 14:00:00,821.4,,,20150900,20151200,20151200
2015-06-23 15:00:00,821.8,,,20150900,20151200,20151200
2015-06-24 05:00:00,819.2,814.9,814.9,20150900,20151200,20151200
2015-06-24 07:00:00,824.0,,,20150900,20151200,20151200
2015-06-24 09:00:00,817.2,,,20150900,20151200,20151200
2015-06-24 10:00:00,818.6,,,20150900,20151200,20151200
2015-06-24 11:00:00,818.7,,,20150900,20151200,20151200
2015-06-24 12:00:00,815.3,,,20150900,20151200,20151200
2015-06-24 13:00:00,818.2,,,20150900,20151200,20151200
2015-06-24 15:00:00,818.8,,,20150900,20151200,20151200
2015-06-25 05:00:00,815.3,811.0,811.0,20150900,20151200,20151200
2015-06-25 09:00:00,819.0,,,20150900,20151200,20151200
2015-06-25 10:00:00,818.8,,,20150900,20151200,20151200
2015-06-25 11:00:00,817.9,,,20150900,20151200,20151200
2015-06-25 12:00:00,816.0,,,20150900,20151200,20151200
2015-06-25 13:00:00,815.4,,,20150900,20151200,20151200
2015-06-26 05:00:00,814.1,809.8,809.8,20150900,20151200,20151200
2015-06-26 07:00:00,811.2,,,20150900,20151200,20151200
2015-06-26 08:00:00,809.7,,,20150900,20151200,20151200
2015-06-26 09:00:00,808.1,,,20150900,20151200,20151200
2015-06-26 12:00:00,811.8,,,20150900,20151200,20151200
2015-06-26 13:00:00,817.3,,,20150900,20151200,20151200
2015-06-26 14:00:00,814.9,,,20150900,20151200,20151200
2015-06-26 15:00:00,813.4,,,20150900,20151200,20151200
2015-06-29 05:00:00,798.2,793.9,793.9,20150900,20151200,20151200
2015-06-29 07:00:00,800.0,,,20150900,20151200,20151200
2015-06-29 08:00:00,802.0,,,20150900,20151200,20151200
2015-06-29 09:00:00,800.5,,,20150900,20151200,20151200
2015-06-29 10:00:00,800.6,,,20150900,20151200,20151200
2015-06-29 12:00:00,804.7,,,20150900,20151200,20151200
2015-06-29 13:00:00,806.9,,,20150900,20151200,20151200
2015-06-29 14:00:00,801.4,,,20150900,20151200,20151200
2015-06-29 15:00:00,798.2,,,20150900,20151200,20151200
2015-06-30 05:00:00,791.7,787.4,787.4,20150900,20151200,20151200
2015-06-30 07:00:00,791.5,,,20150900,20151200,20151200
2015-06-30 08:00:00,793.2,,,20150900,20151200,20151200
2015-06-30 09:00:00,796.7,,,20150900,20151200,20151200
2015-06-30 10:00:00,795.7,,,20150900,20151200,20151200
2015-06-30 12:00:00,797.3,,,20150900,20151200,20151200
2015-06-30 14:00:00,794.0,,,20150900,20151200,20151200
2015-06-30 15:00:00,794.3,,,20150900,20151200,20151200
2015-07-01 05:00:00,802.5,798.2,798.2,20150900,20151200,20151200
2015-07-01 07:00:00,796.6,,,20150900,20151200,20151200
2015-07-01 08:00:00,794.7,,,20150900,20151200,20151200
2015-07-01 09:00:00,802.0,,,20150900,20151200,20151200
2015-07-01 10:00:00,799.9,,,20150900,20151200,20151200
2015-07-01 11:00:00,801.3,,,20150900,20151200,20151200
2015-07-01 12:00:00,803.0,,,20150900,20151200,20151200
2015-07-01 13:00:00,807.2,,,20150900,20151200,20151200
2015-07-01 14:00:00,807.3,,,20150900,20151200,20151200
2015-07-01 15:00:00,803.4,,,20150900,20151200,20151200
2015-07-02 05:00:00,803.2,798.9,798.9,20150900,20151200,20151200
2015-07-02 07:00:00,808.8,,,20150900,20151200,20151200
2015-07-02 08:00:00,809.3,,,20150900,20151200,20151200
2015-07-02 09:00:00,805.8,,,20150900,20151200,20151200
2015-07-02 13:00:00,800.8,,,20150900,20151200,20151200
2015-07-02 14:00:00,805.2,,,20150900,20151200,20151200
2015-07-02 15:00:00,803.2,,,20150900,20151200,20151200
2015-07-03 05:00:00,799.3,795.0,795.0,20150900,20151200,20151200
2015-07-03 08:00:00,802.5,,,20150900,20151200,20151200
2015-07-03 10:00:00,803.5,,,20150900,20151200,20151200
2015-07-03 11:00:00,802.9,,,20150900,20151200,20151200
2015-07-03 12:00:00,803.5,,,20150900,20151200,20151200
2015-07-03 13:00:00,797.7,,,20150900,20151200,20151200
2015-07-03 14:00:00,796.5,,,20150900,20151200,20151200
2015-07-03 15:00:00,800.0,,,20150900,20151200,20151200
2015-07-06 05:00:00,797.6,793.3,793.3,20150900,20151200,20151200
2015-07-06 07:00:00,794.3,,,20150900,20151200,20151200
2015-07-06 08:00:00,795.0,,,20150900,20151200,20151200
2015-07-06 10:00:00,797.7,,,20150900,20151200,20151200
2015-07-06 13:00:00,795.2,,,20150900,20151200,20151200
2015-07-06 15:00:00,797.9,,,20150900,20151200,20151200
2015-07-07 05:00:00,787.8,783.5,783.5,20150900,20151200,20151200
2015-07-07 07:00:00,801.8,,,20150900,20151200,20151200
2015-07-07 08:00:00,801.8,,,20150900,20151200,20151200
2015-07-07 11:00:00,799.0,,,20150900,20151200,20151200
2015-07-07 12:00:00,802.9,,,20150900,20151200,20151200
2015-07-07 13:00:00,802.5,,,20150900,20151200,20151200
2015-07-07 14:00:00,797.0,,,20150900,20151200,20151200
2015-07-07 15:00:00,792.9,,,20150900,20151200,20151200
2015-07-08 05:00:00,794.0,789.7,789.7,20150900,20151200,20151200
2015-07-08 07:00:00,795.2,,,20150900,20151200,20151200
2015-07-08 08:00:00,798.2,,,20150900,20151200,20151200
2015-07-08 09:00:00,794.0,,,20150900,20151200,20151200
2015-07-08 10:00:00,797.1,,,20150900,20151200,20151200
2015-07-08 11:00:00,795.0,,,20150900,20151200,20151200
2015-07-08 12:00:00,797.1,,,20150900,20151200,20151200
2015-07-08 13:00:00,795.7,,,20150900,20151200,20151200
2015-07-08 14:00:00,795.5,,,20150900,20151200,20151200
2015-07-08 15:00:00,795.2,,,20150900,20151200,20151200
2015-07-09 05:00:00,812.3,808.0,808.0,20150900,20151200,20151200
2015-07-09 07:00:00,800.5,,,20150900,20151200,20151200
2015-07-09 08:00:00,805.0,,,20150900,20151200,20151200
2015-07-09 09:00:00,809.2,,,20150900,20151200,20151200
2015-07-09 10:00:00,807.5,,,20150900,20151200,20151200
2015-07-09 11:00:00,808.9,,,20150900,20151200,20151200
2015-07-09 12:00:00,810.7,,,20150900,20151200,20151200
2015-07-09 13:00:00,810.3,,,20150900,20151200,20151200
2015-07-09 14:00:00,811.4,,,20150900,20151200,20151200
2015-07-09 15:00:00,812.5,,,20150900,20151200,20151200
2015-07-10 05:00:00,827.3,823.0,823.0,20150900,20151200,20151200
2015-07-10 06:00:00,823.9,,,20150900,20151200,20151200
2015-07-10 07:00:00,822.5,,,20150900,20151200,20151200
2015-07-10 08:00:00,821.1,,,20150900,20151200,20151200
2015-07-10 10:00:00,822.8,,,20150900,20151200,20151200
2015-07-10 11:00:00,825.5,,,20150900,20151200,20151200
2015-07-10 13:00:00,825.2,,,20150900,20151200,20151200
2015-07-10 14:00:00,825.6,,,20150900,20151200,20151200
2015-07-10 15:00:00,828.2,,,20150900,20151200,20151200
2015-07-13 05:00:00,844.9,840.6,840.6,20150900,20151200,20151200
2015-07-13 06:00:00,833.7,,,20150900,20151200,20151200
2015-07-13 07:00:00,840.0,,,20150900,20151200,20151200
2015-07-13 08:00:00,841.5,,,20150900,20151200,20151200
2015-07-13 09:00:00,842.0,,,20150900,20151200,20151200
2015-07-13 10:00:00,841.8,,,20150900,20151200,20151200
2015-07-13 11:00:00,841.9,,,20150900,20151200,20151200
2015-07-13 13:00:00,841.5,,,20150900,20151200,20151200
2015-07-13 14:00:00,844.9,,,20150900,20151200,20151200
2015-07-13 15:00:00,845.0,,,20150900,20151200,20151200
2015-07-14 05:00:00,850.9,846.6,846.6,20150900,20151200,20151200
2015-07-14 07:00:00,844.9,,,20150900,20151200,20151200
2015-07-14 08:00:00,845.3,,,20150900,20151200,20151200
2015-07-14 09:00:00,847.2,,,20150900,20151200,20151200
2015-07-14 10:00:00,847.0,,,20150900,20151200,20151200
2015-07-14 11:00:00,848.1,,,20150900,20151200,20151200
2015-07-14 13:00:00,847.2,,,20150900,20151200,20151200
2015-07-14 14:00:00,850.8,,,20150900,20151200,20151200
2015-07-14 15:00:00,852.7,,,20150900,20151200,20151200
2015-07-14 16:00:00,851.0,,,20150900,20151200,20151200
2015-07-15 05:00:00,854.8,850.5,850.5,20150900,20151200,20151200
