DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2000-03-13 06:00:00,1.416,,,20000600,20000900,20000900
2000-03-14 06:00:00,1.4172,,,20000600,20000900,20000900
2000-03-15 06:00:00,1.4272,,,20000600,20000900,20000900
2000-03-16 06:00:00,1.4383,,,20000600,20000900,20000900
2000-03-17 06:00:00,1.4382,,,20000600,20000900,20000900
2000-03-20 06:00:00,1.4364,,,20000600,20000900,20000900
2000-03-21 06:00:00,1.4206,,,20000600,20000900,20000900
2000-03-23 06:00:00,1.4334,,,20000600,20000900,20000900
2000-03-24 06:00:00,1.433,,,20000600,20000900,20000900
2000-03-27 06:00:00,1.4154,,,20000600,20000900,20000900
2000-03-29 06:00:00,1.3914,,,20000600,20000900,20000900
2000-03-30 06:00:00,1.4031,,,20000600,20000900,20000900
2000-03-31 06:00:00,1.3906,,,20000600,20000900,20000900
2000-04-03 05:00:00,1.3962,,,20000600,20000900,20000900
2000-04-04 05:00:00,1.4049,,,20000600,20000900,20000900
2000-04-05 05:00:00,1.4015,,,20000600,20000900,20000900
2000-04-06 05:00:00,1.3981,,,20000600,20000900,20000900
2000-04-07 05:00:00,1.3949,,,20000600,20000900,20000900
2000-04-10 05:00:00,1.4098,,,20000600,20000900,20000900
2000-04-11 05:00:00,1.4066,,,20000600,20000900,20000900
2000-04-12 05:00:00,1.4023,,,20000600,20000900,20000900
2000-04-17 05:00:00,1.4227,,,20000600,20000900,20000900
2000-04-19 05:00:00,1.3882,,,20000600,20000900,20000900
2000-04-20 05:00:00,1.3829,,,20000600,20000900,20000900
2000-04-25 05:00:00,1.3557,,,20000600,20000900,20000900
2000-04-26 05:00:00,1.3644,,,20000600,20000900,20000900
2000-04-27 05:00:00,1.3423,,,20000600,20000900,20000900
2000-04-28 05:00:00,1.3503,,,20000600,20000900,20000900
2000-05-01 05:00:00,1.3457,,,20000600,20000900,20000900
2000-05-02 05:00:00,1.3514,,,20000600,20000900,20000900
2000-05-03 05:00:00,1.3401,,,20000600,20000900,20000900
2000-05-04 05:00:00,1.3353,,,20000600,20000900,20000900
2000-05-05 05:00:00,1.3405,,,20000600,20000900,20000900
2000-05-08 05:00:00,1.3438,,,20000600,20000900,20000900
2000-05-09 05:00:00,1.3559,,,20000600,20000900,20000900
2000-05-10 05:00:00,1.3598,,,20000600,20000900,20000900
2000-05-11 05:00:00,1.3411,,,20000600,20000900,20000900
2000-05-12 05:00:00,1.37,,,20000600,20000900,20000900
2000-05-15 05:00:00,1.3582,,,20000600,20000900,20000900
2000-05-16 05:00:00,1.345,,,20000600,20000900,20000900
2000-05-17 05:00:00,1.3416,,,20000600,20000900,20000900
2000-05-19 05:00:00,1.346,,,20000600,20000900,20000900
2000-05-22 05:00:00,1.3553,,,20000600,20000900,20000900
2000-05-23 05:00:00,1.3648,,,20000600,20000900,20000900
2000-05-24 05:00:00,1.3724,,,20000600,20000900,20000900
2000-05-25 05:00:00,1.3736,,,20000600,20000900,20000900
2000-05-26 05:00:00,1.4005,,,20000600,20000900,20000900
2000-05-30 05:00:00,1.4054,,,20000600,20000900,20000900
2000-05-31 05:00:00,1.4018,,,20000600,20000900,20000900
2000-06-01 05:00:00,1.3908,,,20000600,20000900,20000900
2000-06-05 05:00:00,1.4013,1.4065,1.4065,20000600,20000900,20000900
2000-06-06 05:00:00,1.4097,,,20000600,20000900,20000900
2000-06-07 05:00:00,1.4228,1.4285,1.4285,20000600,20000900,20000900
2000-06-08 05:00:00,1.4145,1.4193,1.4193,20000600,20000900,20000900
2000-06-09 05:00:00,1.4145,,,20000600,20000900,20000900
2000-06-12 05:00:00,1.4069999999999998,1.4119,1.4119,20000600,20000900,20000900
2000-06-14 05:00:00,1.4159,,,20000900,20001200,20001200
2000-06-15 05:00:00,1.4121,,,20000900,20001200,20001200
2000-06-16 05:00:00,1.4214,,,20000900,20001200,20001200
2000-06-19 05:00:00,1.4214,,,20000900,20001200,20001200
2000-06-20 05:00:00,1.4129,,,20000900,20001200,20001200
2000-06-21 05:00:00,1.3973,,,20000900,20001200,20001200
2000-06-22 05:00:00,1.3885,,,20000900,20001200,20001200
2000-06-23 05:00:00,1.3928,,,20000900,20001200,20001200
2000-06-26 05:00:00,1.3983,,,20000900,20001200,20001200
2000-06-27 05:00:00,1.4067,,,20000900,20001200,20001200
2000-06-28 05:00:00,1.3997,,,20000900,20001200,20001200
2000-06-29 05:00:00,1.4169,,,20000900,20001200,20001200
2000-06-30 05:00:00,1.4164,,,20000900,20001200,20001200
2000-07-03 05:00:00,1.411,,,20000900,20001200,20001200
2000-07-05 05:00:00,1.4223,,,20000900,20001200,20001200
2000-07-06 05:00:00,1.4223,,,20000900,20001200,20001200
2000-07-07 05:00:00,1.4064,,,20000900,20001200,20001200
2000-07-10 05:00:00,1.4145,,,20000900,20001200,20001200
2000-07-11 05:00:00,1.4109,,,20000900,20001200,20001200
2000-07-12 05:00:00,1.3984,,,20000900,20001200,20001200
2000-07-13 05:00:00,1.3908,,,20000900,20001200,20001200
2000-07-14 05:00:00,1.3908,,,20000900,20001200,20001200
2000-07-17 05:00:00,1.3894,,,20000900,20001200,20001200
2000-07-18 05:00:00,1.3706,,,20000900,20001200,20001200
2000-07-19 05:00:00,1.365,,,20000900,20001200,20001200
2000-07-20 05:00:00,1.3769999999999998,,,20000900,20001200,20001200
2000-07-21 05:00:00,1.3822,,,20000900,20001200,20001200
2000-07-24 05:00:00,1.3692,,,20000900,20001200,20001200
2000-07-25 05:00:00,1.3692,,,20000900,20001200,20001200
2000-07-26 05:00:00,1.382,,,20000900,20001200,20001200
2000-07-27 05:00:00,1.3751,,,20000900,20001200,20001200
2000-07-28 05:00:00,1.3662,,,20000900,20001200,20001200
2000-07-31 05:00:00,1.3662,,,20000900,20001200,20001200
2000-08-01 05:00:00,1.3732,,,20000900,20001200,20001200
2000-08-02 05:00:00,1.3528,,,20000900,20001200,20001200
2000-08-03 05:00:00,1.3486,,,20000900,20001200,20001200
2000-08-04 05:00:00,1.3552,,,20000900,20001200,20001200
2000-08-07 05:00:00,1.3531,,,20000900,20001200,20001200
2000-08-08 05:00:00,1.3444,,,20000900,20001200,20001200
2000-08-09 05:00:00,1.3356,,,20000900,20001200,20001200
2000-08-10 05:00:00,1.3474,,,20000900,20001200,20001200
2000-08-11 05:00:00,1.3409,,,20000900,20001200,20001200
2000-08-14 05:00:00,1.3466,,,20000900,20001200,20001200
2000-08-15 05:00:00,1.3576,,,20000900,20001200,20001200
2000-08-16 05:00:00,1.354,,,20000900,20001200,20001200
2000-08-17 05:00:00,1.3524,,,20000900,20001200,20001200
2000-08-18 05:00:00,1.3385,,,20000900,20001200,20001200
2000-08-21 05:00:00,1.3325,,,20000900,20001200,20001200
2000-08-22 05:00:00,1.3248,,,20000900,20001200,20001200
2000-08-23 05:00:00,1.338,,,20000900,20001200,20001200
2000-08-24 05:00:00,1.338,,,20000900,20001200,20001200
2000-08-25 05:00:00,1.3404,,,20000900,20001200,20001200
2000-08-28 05:00:00,1.3357,,,20000900,20001200,20001200
2000-08-29 05:00:00,1.3268,,,20000900,20001200,20001200
