DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2018-09-11 05:00:00,1016.0,,,20181200,20190300,20190300
2018-09-12 05:00:00,999.0,,,20181200,20190300,20190300
2018-09-13 05:00:00,998.0,,,20181200,20190300,20190300
2018-09-14 05:00:00,1017.0,,,20181200,20190300,20190300
2018-09-18 05:00:00,1025.0,,,20181200,20190300,20190300
2018-09-19 05:00:00,1029.0,,,20181200,20190300,20190300
2018-09-20 05:00:00,1025.0,,,20181200,20190300,20190300
2018-09-21 05:00:00,1039.0,,,20181200,20190300,20190300
2018-09-25 05:00:00,1048.0,,,20181200,20190300,20190300
2018-09-26 05:00:00,1071.0,,,20181200,20190300,20190300
2018-09-27 05:00:00,1067.0,,,20181200,20190300,20190300
2018-09-28 05:00:00,1078.0,,,20181200,20190300,20190300
2018-10-01 05:00:00,1075.0,,,20181200,20190300,20190300
2018-10-02 05:00:00,1054.0,,,20181200,20190300,20190300
2018-10-03 05:00:00,1054.0,,,20181200,20190300,20190300
2018-10-04 05:00:00,1045.0,,,20181200,20190300,20190300
2018-10-05 05:00:00,1022.0,,,20181200,20190300,20190300
2018-10-09 05:00:00,1000.0,,,20181200,20190300,20190300
2018-10-10 05:00:00,1001.0,,,20181200,20190300,20190300
2018-10-11 05:00:00,953.0,,,20181200,20190300,20190300
2018-10-12 05:00:00,988.0,,,20181200,20190300,20190300
2018-10-15 05:00:00,971.0,,,20181200,20190300,20190300
2018-10-16 05:00:00,972.0,,,20181200,20190300,20190300
2018-10-17 05:00:00,993.0,,,20181200,20190300,20190300
2018-10-18 05:00:00,988.0,,,20181200,20190300,20190300
2018-10-19 05:00:00,981.0,,,20181200,20190300,20190300
2018-10-22 05:00:00,981.0,,,20181200,20190300,20190300
2018-10-23 05:00:00,966.0,,,20181200,20190300,20190300
2018-10-24 05:00:00,961.0,,,20181200,20190300,20190300
2018-10-25 05:00:00,900.0,,,20181200,20190300,20190300
2018-10-26 05:00:00,873.0,,,20181200,20190300,20190300
2018-10-29 05:00:00,838.0,,,20181200,20190300,20190300
2018-10-30 05:00:00,870.0,,,20181200,20190300,20190300
2018-10-31 05:00:00,908.0,,,20181200,20190300,20190300
2018-11-01 05:00:00,900.0,,,20181200,20190300,20190300
2018-11-02 05:00:00,931.0,,,20181200,20190300,20190300
2018-11-05 06:00:00,946.0,,,20181200,20190300,20190300
2018-11-06 06:00:00,949.0,,,20181200,20190300,20190300
2018-11-07 06:00:00,971.0,,,20181200,20190300,20190300
2018-11-08 06:00:00,990.0,,,20181200,20190300,20190300
2018-11-09 06:00:00,990.0,,,20181200,20190300,20190300
2018-11-12 06:00:00,966.0,,,20181200,20190300,20190300
2018-11-13 06:00:00,959.0,,,20181200,20190300,20190300
2018-11-14 06:00:00,949.0,,,20181200,20190300,20190300
2018-11-15 06:00:00,957.0,,,20181200,20190300,20190300
2018-11-16 06:00:00,948.0,,,20181200,20190300,20190300
2018-11-19 06:00:00,977.0,,,20181200,20190300,20190300
2018-11-20 06:00:00,950.0,,,20181200,20190300,20190300
2018-11-21 06:00:00,947.0,,,20181200,20190300,20190300
2018-11-22 06:00:00,959.0,,,20181200,20190300,20190300
2018-11-26 06:00:00,964.0,,,20181200,20190300,20190300
2018-11-27 06:00:00,975.0,,,20181200,20190300,20190300
2018-11-28 06:00:00,996.0,,,20181200,20190300,20190300
2018-11-29 06:00:00,1011.0,,,20181200,20190300,20190300
