DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2007-01-30 06:00:00,205.0,,,20070400,20070500,20070500
2007-01-31 06:00:00,208.0,209.75,209.75,20070400,20070500,20070500
2007-02-01 06:00:00,211.5,212.5,212.5,20070400,20070500,20070500
2007-02-02 06:00:00,205.75,206.0,206.0,20070400,20070500,20070500
2007-02-05 06:00:00,204.25,204.5,204.5,20070400,20070500,20070500
2007-02-06 06:00:00,208.0,208.75,208.75,20070400,20070500,20070500
2007-02-07 06:00:00,216.0,217.5,217.5,20070400,20070500,20070500
2007-02-08 06:00:00,216.0,217.5,217.5,20070400,20070500,20070500
2007-02-09 06:00:00,218.0,219.0,219.0,20070400,20070500,20070500
2007-02-12 06:00:00,218.0,219.5,219.5,20070400,20070500,20070500
2007-02-13 06:00:00,218.5,219.5,219.5,20070400,20070500,20070500
2007-02-14 06:00:00,217.5,218.5,218.5,20070400,20070500,20070500
2007-02-15 06:00:00,212.0,212.5,212.5,20070400,20070500,20070500
2007-02-16 06:00:00,213.0,213.0,213.0,20070400,20070500,20070500
2007-02-21 06:00:00,205.0,205.0,205.0,20070400,20070500,20070500
2007-02-22 06:00:00,208.0,208.25,208.25,20070400,20070500,20070500
2007-02-23 06:00:00,211.5,211.75,211.75,20070400,20070500,20070500
2007-02-26 06:00:00,214.75,215.0,215.0,20070400,20070500,20070500
2007-02-27 06:00:00,213.5,213.5,213.5,20070400,20070500,20070500
2007-02-28 06:00:00,205.5,206.0,206.0,20070400,20070500,20070500
2007-03-01 06:00:00,205.75,206.0,206.0,20070400,20070500,20070500
2007-03-02 06:00:00,207.25,208.0,208.0,20070500,20070600,20070600
2007-03-05 06:00:00,201.25,202.0,202.0,20070500,20070600,20070600
2007-03-06 06:00:00,206.25,207.0,207.0,20070500,20070600,20070600
2007-03-07 06:00:00,200.5,201.25,201.25,20070500,20070600,20070600
2007-03-08 06:00:00,202.5,203.25,203.25,20070500,20070600,20070600
2007-03-09 06:00:00,203.0,203.75,203.75,20070500,20070600,20070600
2007-03-12 05:00:00,203.75,204.5,204.5,20070500,20070600,20070600
2007-03-13 05:00:00,204.75,205.75,205.75,20070500,20070600,20070600
2007-03-14 05:00:00,202.25,203.25,203.25,20070500,20070600,20070600
2007-03-15 05:00:00,202.5,203.5,203.5,20070500,20070600,20070600
2007-03-16 05:00:00,200.5,201.5,201.5,20070500,20070600,20070600
2007-03-19 05:00:00,203.5,204.25,204.25,20070500,20070600,20070600
2007-03-20 05:00:00,207.0,207.75,207.75,20070500,20070600,20070600
2007-03-21 05:00:00,207.0,207.75,207.75,20070500,20070600,20070600
2007-03-22 05:00:00,211.5,212.5,212.5,20070500,20070600,20070600
2007-03-23 05:00:00,209.0,210.5,210.5,20070500,20070600,20070600
2007-03-26 05:00:00,211.0,212.0,212.0,20070500,20070600,20070600
2007-03-27 05:00:00,209.25,210.25,210.25,20070500,20070600,20070600
2007-03-28 05:00:00,209.25,210.25,210.25,20070500,20070600,20070600
2007-03-29 05:00:00,207.25,208.25,208.25,20070500,20070600,20070600
2007-03-30 05:00:00,209.0,209.75,209.75,20070500,20070600,20070600
2007-04-02 05:00:00,212.25,213.5,213.5,20070600,20070700,20070700
2007-04-03 05:00:00,211.5,212.75,212.75,20070600,20070700,20070700
2007-04-04 05:00:00,209.5,210.5,210.5,20070600,20070700,20070700
2007-04-05 05:00:00,207.75,208.75,208.75,20070600,20070700,20070700
2007-04-09 05:00:00,211.25,211.75,211.75,20070600,20070700,20070700
2007-04-10 05:00:00,211.25,211.75,211.75,20070600,20070700,20070700
2007-04-11 05:00:00,212.25,212.75,212.75,20070600,20070700,20070700
2007-04-12 05:00:00,214.0,215.75,215.75,20070600,20070700,20070700
2007-04-13 05:00:00,214.75,216.25,216.25,20070600,20070700,20070700
2007-04-16 05:00:00,215.75,217.5,217.5,20070600,20070700,20070700
2007-04-17 05:00:00,216.5,217.5,217.5,20070600,20070700,20070700
2007-04-18 05:00:00,217.25,218.25,218.25,20070600,20070700,20070700
2007-04-19 05:00:00,214.25,215.25,215.25,20070600,20070700,20070700
2007-04-20 05:00:00,211.0,211.0,211.0,20070600,20070700,20070700
2007-04-23 05:00:00,210.5,210.5,210.5,20070600,20070700,20070700
2007-04-24 05:00:00,212.5,212.5,212.5,20070600,20070700,20070700
2007-04-25 05:00:00,209.5,209.5,209.5,20070600,20070700,20070700
2007-04-26 05:00:00,211.0,211.25,211.25,20070600,20070700,20070700
2007-04-27 05:00:00,212.25,211.75,211.75,20070600,20070700,20070700
2007-04-30 05:00:00,213.5,212.5,212.5,20070600,20070700,20070700
2007-05-02 05:00:00,216.5,,,20070700,20070800,20070800
2007-05-03 05:00:00,216.5,216.5,216.5,20070700,20070800,20070800
2007-05-04 05:00:00,218.0,218.0,218.0,20070700,20070800,20070800
2007-05-07 05:00:00,219.75,220.0,220.0,20070700,20070800,20070800
2007-05-08 05:00:00,220.0,220.0,220.0,20070700,20070800,20070800
2007-05-09 05:00:00,217.25,217.25,217.25,20070700,20070800,20070800
2007-05-10 05:00:00,214.0,214.0,214.0,20070700,20070800,20070800
2007-05-11 05:00:00,214.5,214.5,214.5,20070700,20070800,20070800
2007-05-14 05:00:00,215.0,215.0,215.0,20070700,20070800,20070800
2007-05-15 05:00:00,214.0,214.0,214.0,20070700,20070800,20070800
2007-05-16 05:00:00,220.75,221.0,221.0,20070700,20070800,20070800
2007-05-17 05:00:00,222.0,221.75,221.75,20070700,20070800,20070800
2007-05-18 05:00:00,223.5,223.25,223.25,20070700,20070800,20070800
2007-05-21 05:00:00,225.75,225.0,225.0,20070700,20070800,20070800
2007-05-22 05:00:00,225.25,225.0,225.0,20070700,20070800,20070800
2007-05-23 05:00:00,226.25,225.75,225.75,20070700,20070800,20070800
2007-05-24 05:00:00,226.0,225.5,225.5,20070700,20070800,20070800
2007-05-25 05:00:00,226.0,225.5,225.5,20070700,20070800,20070800
2007-05-28 05:00:00,223.5,222.75,222.75,20070700,20070800,20070800
2007-05-29 05:00:00,220.0,219.25,219.25,20070700,20070800,20070800
2007-05-30 05:00:00,219.75,219.0,219.0,20070700,20070800,20070800
2007-06-01 05:00:00,217.25,,,20070800,20070900,20070900
2007-06-04 05:00:00,218.75,218.5,218.5,20070800,20070900,20070900
2007-06-05 05:00:00,220.0,219.75,219.75,20070800,20070900,20070900
2007-06-06 05:00:00,217.75,217.5,217.5,20070800,20070900,20070900
2007-06-07 05:00:00,214.25,214.0,214.0,20070800,20070900,20070900
2007-06-08 05:00:00,211.0,210.75,210.75,20070800,20070900,20070900
2007-06-11 05:00:00,208.5,208.25,208.25,20070800,20070900,20070900
2007-06-12 05:00:00,205.0,205.25,205.25,20070800,20070900,20070900
2007-06-13 05:00:00,207.0,207.0,207.0,20070800,20070900,20070900
2007-06-14 05:00:00,208.0,208.0,208.0,20070800,20070900,20070900
2007-06-15 05:00:00,205.75,205.5,205.5,20070800,20070900,20070900
2007-06-18 05:00:00,208.0,207.5,207.5,20070800,20070900,20070900
2007-06-19 05:00:00,212.0,211.0,211.0,20070800,20070900,20070900
2007-06-20 05:00:00,207.5,206.0,206.0,20070800,20070900,20070900
2007-06-21 05:00:00,207.5,206.5,206.5,20070800,20070900,20070900
2007-06-22 05:00:00,206.25,205.5,205.5,20070800,20070900,20070900
2007-06-25 05:00:00,208.0,207.0,207.0,20070800,20070900,20070900
2007-06-26 05:00:00,207.0,205.75,205.75,20070800,20070900,20070900
2007-06-27 05:00:00,203.0,201.25,201.25,20070800,20070900,20070900
2007-06-28 05:00:00,200.5,198.75,198.75,20070800,20070900,20070900
2007-06-29 05:00:00,199.5,197.75,197.75,20070800,20070900,20070900
2007-07-02 05:00:00,197.0,194.5,194.5,20070800,20070900,20070900
2007-07-03 05:00:00,195.75,194.0,194.0,20070900,20071000,20071000
2007-07-04 05:00:00,195.5,194.5,194.5,20070900,20071000,20071000
2007-07-05 05:00:00,197.25,196.0,196.0,20070900,20071000,20071000
2007-07-06 05:00:00,195.75,194.5,194.5,20070900,20071000,20071000
2007-07-09 05:00:00,199.25,198.0,198.0,20070900,20071000,20071000
2007-07-10 05:00:00,201.0,199.75,199.75,20070900,20071000,20071000
2007-07-11 05:00:00,200.5,199.25,199.25,20070900,20071000,20071000
2007-07-12 05:00:00,201.5,199.75,199.75,20070900,20071000,20071000
2007-07-13 05:00:00,202.25,200.75,200.75,20070900,20071000,20071000
2007-07-16 05:00:00,202.25,200.75,200.75,20070900,20071000,20071000
2007-07-17 05:00:00,198.5,197.0,197.0,20070900,20071000,20071000
2007-07-18 05:00:00,199.75,198.25,198.25,20070900,20071000,20071000
2007-07-19 05:00:00,203.0,201.5,201.5,20070900,20071000,20071000
2007-07-20 05:00:00,206.0,204.5,204.5,20070900,20071000,20071000
2007-07-23 05:00:00,206.5,205.5,205.5,20070900,20071000,20071000
2007-07-24 05:00:00,205.5,204.25,204.25,20070900,20071000,20071000
2007-07-25 05:00:00,204.0,203.0,203.0,20070900,20071000,20071000
2007-07-26 05:00:00,208.75,208.5,208.5,20070900,20071000,20071000
2007-07-27 05:00:00,208.25,208.0,208.0,20070900,20071000,20071000
2007-07-30 05:00:00,212.5,212.0,212.0,20070900,20071000,20071000
2007-07-31 05:00:00,214.0,213.5,213.5,20070900,20071000,20071000
2007-08-01 05:00:00,212.25,210.75,210.75,20070900,20071000,20071000
2007-08-02 05:00:00,213.75,213.0,213.0,20071000,20071100,20071100
2007-08-03 05:00:00,213.0,212.25,212.25,20071000,20071100,20071100
2007-08-06 05:00:00,212.0,211.75,211.75,20071000,20071100,20071100
2007-08-07 05:00:00,210.0,209.75,209.75,20071000,20071100,20071100
2007-08-08 05:00:00,206.5,206.25,206.25,20071000,20071100,20071100
2007-08-10 05:00:00,203.25,203.0,203.0,20071000,20071100,20071100
2007-08-13 05:00:00,204.5,204.0,204.0,20071000,20071100,20071100
2007-08-14 05:00:00,204.0,203.5,203.5,20071000,20071100,20071100
2007-08-15 05:00:00,202.25,202.0,202.0,20071000,20071100,20071100
2007-08-16 05:00:00,202.0,201.5,201.5,20071000,20071100,20071100
2007-08-17 05:00:00,199.5,199.0,199.0,20071000,20071100,20071100
2007-08-20 05:00:00,202.0,201.5,201.5,20071000,20071100,20071100
2007-08-21 05:00:00,201.5,200.5,200.5,20071000,20071100,20071100
2007-08-22 05:00:00,201.5,200.5,200.5,20071000,20071100,20071100
2007-08-23 05:00:00,202.25,202.0,202.0,20071000,20071100,20071100
2007-08-24 05:00:00,201.25,200.75,200.75,20071000,20071100,20071100
2007-08-27 05:00:00,203.0,202.25,202.25,20071000,20071100,20071100
2007-08-28 05:00:00,205.75,205.25,205.25,20071000,20071100,20071100
