DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1988-03-21 00:06:00,91.07,90.97,91.18,19900600,19900900,19900300
1988-03-22 00:06:00,91.1,91.0,91.21,19900600,19900900,19900300
1988-03-23 00:06:00,91.05,90.95,91.17,19900600,19900900,19900300
1988-03-24 00:06:00,91.04,90.93999,91.16,19900600,19900900,19900300
1988-03-25 00:06:00,91.05,90.93999,91.18,19900600,19900900,19900300
1988-03-28 00:06:00,90.99,90.88,91.13,19900600,19900900,19900300
1988-03-29 00:06:00,91.0,90.88,91.14,19900600,19900900,19900300
1988-03-30 00:06:00,90.96,90.84,91.1,19900600,19900900,19900300
1988-03-31 00:06:00,90.98,90.86,91.12,19900600,19900900,19900300
1988-04-04 00:05:00,90.81,90.68999,90.95,19900600,19900900,19900300
1988-04-05 00:05:00,90.82999,90.71,90.96,19900600,19900900,19900300
1988-04-06 00:05:00,90.88,90.75999,91.00999,19900600,19900900,19900300
1988-04-07 00:05:00,90.95,90.82999,91.07,19900600,19900900,19900300
1988-04-08 00:05:00,91.04,90.92,91.17,19900600,19900900,19900300
1988-04-11 00:05:00,90.99,90.87,91.12,19900600,19900900,19900300
1988-04-12 00:05:00,91.07,90.95,91.2,19900600,19900900,19900300
1988-04-13 00:05:00,91.07999,90.96,91.21,19900600,19900900,19900300
1988-04-14 00:05:00,91.00999,90.9,91.11,19900600,19900900,19900300
1988-04-15 00:05:00,90.87,90.75,91.0,19900600,19900900,19900300
1988-04-18 00:05:00,90.82999,90.71,90.96,19900600,19900900,19900300
1988-04-19 00:05:00,90.88,90.77,91.00999,19900600,19900900,19900300
1988-04-20 00:05:00,90.91,90.8,91.04,19900600,19900900,19900300
1988-04-21 00:05:00,90.92,90.81,91.04,19900600,19900900,19900300
1988-04-22 00:05:00,90.95,90.84,91.07,19900600,19900900,19900300
1988-04-25 00:05:00,90.92,90.81,91.04,19900600,19900900,19900300
1988-04-26 00:05:00,90.93,90.82,91.05,19900600,19900900,19900300
1988-04-27 00:05:00,90.93999,90.82999,91.06,19900600,19900900,19900300
1988-04-28 00:05:00,90.87,90.75999,90.99,19900600,19900900,19900300
1988-04-29 00:05:00,90.84,90.73,90.96,19900600,19900900,19900300
1988-05-02 00:05:00,90.77,90.66,90.89,19900600,19900900,19900300
1988-05-03 00:05:00,90.82999,90.72,90.95,19900600,19900900,19900300
1988-05-04 00:05:00,90.84,90.73,90.95,19900600,19900900,19900300
1988-05-05 00:05:00,90.87,90.75999,90.98,19900600,19900900,19900300
1988-05-06 00:05:00,90.74,90.63,90.85,19900600,19900900,19900300
1988-05-09 00:05:00,90.74,90.63,90.85,19900600,19900900,19900300
1988-05-10 00:05:00,90.66,90.55,90.78,19900600,19900900,19900300
1988-05-11 00:05:00,90.68,90.57,90.8,19900600,19900900,19900300
1988-05-12 00:05:00,90.75999,90.65,90.88,19900600,19900900,19900300
1988-05-13 00:05:00,90.85,90.74,90.97,19900600,19900900,19900300
1988-05-16 00:05:00,90.75,90.64,90.87,19900600,19900900,19900300
1988-05-17 00:05:00,90.66,90.55,90.77,19900600,19900900,19900300
1988-05-18 00:05:00,90.61,90.5,90.73,19900600,19900900,19900300
1988-05-19 00:05:00,90.59,90.48,90.71,19900600,19900900,19900300
1988-05-20 00:05:00,90.57999,90.47,90.68999,19900600,19900900,19900300
1988-05-23 00:05:00,90.53,90.42,90.64,19900600,19900900,19900300
1988-05-24 00:05:00,90.54,90.43999,90.65,19900600,19900900,19900300
1988-05-25 00:05:00,90.56,90.46,90.67,19900600,19900900,19900300
1988-05-26 00:05:00,90.54,90.43999,90.65,19900600,19900900,19900300
1988-05-27 00:05:00,90.54,90.43999,90.64,19900600,19900900,19900300
1988-05-31 00:05:00,90.57999,90.48,90.68,19900600,19900900,19900300
1988-06-01 00:05:00,90.73,90.63,90.82999,19900600,19900900,19900300
1988-06-02 00:05:00,90.71,90.62,90.8,19900600,19900900,19900300
1988-06-03 00:05:00,90.82999,90.74,90.92,19900600,19900900,19900300
1988-06-06 00:05:00,90.8,90.71,90.9,19900600,19900900,19900300
1988-06-07 00:05:00,90.77,90.68,90.86,19900600,19900900,19900300
1988-06-08 00:05:00,90.84,90.75999,90.93,19900600,19900900,19900300
1988-06-09 00:05:00,90.82999,90.75,90.92,19900600,19900900,19900300
1988-06-10 00:05:00,90.84,90.75999,90.93,19900600,19900900,19900300
1988-06-13 00:05:00,90.89,90.81,90.98,19900600,19900900,19900300
1988-06-14 00:05:00,91.11,91.03,91.2,19900600,19900900,19900300
1988-06-15 00:05:00,91.04,90.96,91.13,19900600,19900900,19900300
1988-06-16 00:05:00,90.88,90.8,90.97,19900600,19900900,19900300
1988-06-17 00:05:00,90.7,90.62,90.79,19900600,19900900,19900300
1988-06-20 00:05:00,90.75999,90.68,90.84,19900600,19900900,19900300
1988-06-21 00:05:00,90.65,90.57999,90.72,19900900,19901200,19900600
1988-06-22 00:05:00,90.81,90.73,90.89,19900900,19901200,19900600
1988-06-23 00:05:00,90.77,90.68999,90.85,19900900,19901200,19900600
1988-06-24 00:05:00,90.75,90.67,90.82999,19900900,19901200,19900600
