DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1990-05-24 05:00:00,1.645,1.666,1.6,19900800,19900900,19900700
1990-05-25 05:00:00,1.64,1.662,1.592,19900800,19900900,19900700
1990-05-29 05:00:00,1.635,1.656,1.585,19900800,19900900,19900700
1990-05-30 05:00:00,1.64,1.664,1.585,19900800,19900900,19900700
1990-05-31 05:00:00,1.645,1.669,1.59,19900800,19900900,19900700
1990-06-01 05:00:00,1.64,1.6669999999999998,1.585,19900800,19900900,19900700
1990-06-04 05:00:00,1.64,1.6669999999999998,1.582,19900800,19900900,19900700
1990-06-05 05:00:00,1.626,1.655,1.567,19900800,19900900,19900700
1990-06-06 05:00:00,1.62,1.652,1.56,19900800,19900900,19900700
1990-06-07 05:00:00,1.632,1.665,1.5730000000000002,19900800,19900900,19900700
1990-06-08 05:00:00,1.63,1.658,1.575,19900800,19900900,19900700
1990-06-11 05:00:00,1.617,1.6469999999999998,1.5719999999999998,19900800,19900900,19900700
1990-06-12 05:00:00,1.605,1.638,1.558,19900800,19900900,19900700
1990-06-13 05:00:00,1.585,1.622,1.545,19900800,19900900,19900700
1990-06-14 05:00:00,1.585,1.621,1.547,19900800,19900900,19900700
1990-06-15 05:00:00,1.58,1.62,1.547,19900800,19900900,19900700
1990-06-18 05:00:00,1.57,1.608,1.54,19900800,19900900,19900700
1990-06-19 05:00:00,1.565,1.595,1.536,19900800,19900900,19900700
1990-06-20 05:00:00,1.5590000000000002,1.582,1.51,19900800,19900900,19900700
1990-06-21 05:00:00,1.528,1.56,,19900800,19900900,19900700
1990-06-22 05:00:00,1.5219999999999998,1.551,,19900800,19900900,19900700
1990-06-25 05:00:00,1.547,1.61,1.516,19900900,19901000,19900800
1990-06-26 05:00:00,1.5419999999999998,1.607,1.507,19900900,19901000,19900800
1990-06-27 05:00:00,1.53,1.591,1.5,19900900,19901000,19900800
1990-06-28 05:00:00,1.538,1.585,1.515,19900900,19901000,19900800
1990-06-29 05:00:00,1.546,1.595,1.519,19900900,19901000,19900800
1990-07-02 05:00:00,1.544,1.592,1.519,19900900,19901000,19900800
1990-07-03 05:00:00,1.55,1.595,1.525,19900900,19901000,19900800
1990-07-05 05:00:00,1.537,1.586,1.514,19900900,19901000,19900800
1990-07-06 05:00:00,1.52,1.569,1.4980000000000002,19900900,19901000,19900800
1990-07-09 05:00:00,1.503,1.5419999999999998,1.493,19900900,19901000,19900800
1990-07-10 05:00:00,1.508,1.54,1.5,19900900,19901000,19900800
1990-07-11 05:00:00,1.52,1.551,1.5,19900900,19901000,19900800
1990-07-12 05:00:00,1.5219999999999998,1.558,1.5019999999999998,19900900,19901000,19900800
1990-07-13 05:00:00,1.53,1.575,1.5,19900900,19901000,19900800
1990-07-16 05:00:00,1.537,1.595,1.495,19900900,19901000,19900800
1990-07-17 05:00:00,1.515,1.585,1.462,19900900,19901000,19900800
1990-07-18 05:00:00,1.5219999999999998,1.62,1.45,19900900,19901000,19900800
1990-07-19 05:00:00,1.505,1.605,1.445,19900900,19901000,19900800
1990-07-20 05:00:00,1.482,1.58,1.426,19900900,19901000,19900800
1990-07-23 05:00:00,1.46,1.5619999999999998,,19900900,19901000,19900800
1990-07-24 05:00:00,1.44,1.543,,19900900,19901000,19900800
1990-07-25 05:00:00,1.51,1.775,1.44,19901000,19901100,19900900
1990-07-26 05:00:00,1.51,1.763,1.435,19901000,19901100,19900900
1990-07-27 05:00:00,1.5219999999999998,1.77,1.439,19901000,19901100,19900900
1990-07-30 05:00:00,1.518,1.775,1.43,19901000,19901100,19900900
1990-07-31 05:00:00,1.501,1.771,1.411,19901000,19901100,19900900
1990-08-01 05:00:00,1.492,1.75,1.402,19901000,19901100,19900900
1990-08-02 05:00:00,1.53,1.777,1.432,19901000,19901100,19900900
1990-08-03 05:00:00,1.615,1.865,1.51,19901000,19901100,19900900
1990-08-06 05:00:00,1.705,1.95,1.588,19901000,19901100,19900900
1990-08-07 05:00:00,1.605,1.85,1.477,19901000,19901100,19900900
1990-08-08 05:00:00,1.565,1.82,1.475,19901000,19901100,19900900
1990-08-09 05:00:00,1.565,1.83,1.47,19901000,19901100,19900900
1990-08-10 05:00:00,1.595,1.85,1.49,19901000,19901100,19900900
1990-08-14 05:00:00,1.575,1.85,1.4480000000000002,19901000,19901100,19900900
1990-08-15 05:00:00,1.54,1.82,1.4280000000000002,19901000,19901100,19900900
1990-08-16 05:00:00,1.545,1.825,1.43,19901000,19901100,19900900
1990-08-17 05:00:00,1.565,1.854,1.44,19901000,19901100,19900900
1990-08-20 05:00:00,1.547,1.835,1.4169999999999998,19901000,19901100,19900900
1990-08-21 05:00:00,1.557,1.853,1.42,19901000,19901100,19900900
1990-08-22 05:00:00,1.555,1.85,1.4280000000000002,19901000,19901100,19900900
1990-08-23 05:00:00,1.545,1.875,,19901000,19901100,19900900
1990-08-24 05:00:00,1.852,2.255,1.525,19901100,19901200,19901000
1990-08-27 05:00:00,1.805,2.215,1.5019999999999998,19901100,19901200,19901000
1990-08-28 05:00:00,1.8,2.19,1.5,19901100,19901200,19901000
1990-08-29 05:00:00,1.775,2.152,1.505,19901100,19901200,19901000
1990-08-30 05:00:00,1.815,2.197,1.537,19901100,19901200,19901000
1990-08-31 05:00:00,1.81,2.2,1.5,19901100,19901200,19901000
1990-09-04 05:00:00,1.83,2.22,1.51,19901100,19901200,19901000
1990-09-05 05:00:00,1.835,2.24,1.514,19901100,19901200,19901000
1990-09-06 05:00:00,1.845,2.25,1.53,19901100,19901200,19901000
1990-09-07 05:00:00,1.83,2.235,1.51,19901100,19901200,19901000
1990-09-10 05:00:00,1.82,2.23,1.525,19901100,19901200,19901000
1990-09-11 05:00:00,1.805,2.227,1.525,19901100,19901200,19901000
1990-09-12 05:00:00,1.805,2.225,1.543,19901100,19901200,19901000
1990-09-13 05:00:00,1.805,2.231,1.54,19901100,19901200,19901000
1990-09-14 05:00:00,1.805,2.24,1.52,19901100,19901200,19901000
1990-09-17 05:00:00,1.82,2.25,1.537,19901100,19901200,19901000
1990-09-18 05:00:00,1.843,2.25,1.56,19901100,19901200,19901000
1990-09-19 05:00:00,1.822,2.232,1.555,19901100,19901200,19901000
1990-09-20 05:00:00,1.846,2.246,,19901100,19901200,19901000
1990-09-21 05:00:00,1.872,2.272,,19901100,19901200,19901000
1990-09-24 05:00:00,1.936,2.34,,19901100,19901200,19901000
1990-09-25 05:00:00,2.335,2.543,1.93,19901200,19910100,19901100
1990-09-26 05:00:00,2.365,2.585,1.945,19901200,19910100,19901100
1990-09-27 05:00:00,2.398,2.6180000000000003,1.94,19901200,19910100,19901100
1990-09-28 05:00:00,2.49,2.685,1.935,19901200,19910100,19901100
1990-10-01 05:00:00,2.44,2.66,1.909,19901200,19910100,19901100
1990-10-02 05:00:00,2.355,2.575,1.88,19901200,19910100,19901100
1990-10-03 05:00:00,2.4290000000000003,2.641,1.915,19901200,19910100,19901100
1990-10-04 05:00:00,2.468,2.689,1.898,19901200,19910100,19901100
1990-10-05 05:00:00,2.525,2.741,1.935,19901200,19910100,19901100
1990-10-08 05:00:00,2.55,2.81,1.93,19901200,19910100,19901100
1990-10-09 05:00:00,2.572,2.888,1.94,19901200,19910100,19901100
1990-10-10 05:00:00,2.525,2.807,1.94,19901200,19910100,19901100
1990-10-11 05:00:00,2.51,2.843,1.96,19901200,19910100,19901100
1990-10-12 05:00:00,2.506,2.805,1.95,19901200,19910100,19901100
1990-10-15 05:00:00,2.417,2.73,1.9,19901200,19910100,19901100
1990-10-16 05:00:00,2.435,2.78,1.91,19901200,19910100,19901100
1990-10-17 05:00:00,2.395,2.74,1.9,19901200,19910100,19901100
1990-10-18 05:00:00,2.404,2.73,1.89,19901200,19910100,19901100
1990-10-19 05:00:00,2.37,2.64,1.9,19901200,19910100,19901100
1990-10-22 05:00:00,2.37,2.572,1.97,19901200,19910100,19901100
1990-10-23 05:00:00,2.52,2.672,,19901200,19910100,19901100
1990-10-24 05:00:00,2.652,2.555,2.44,19910100,19910200,19901200
1990-10-25 05:00:00,2.708,2.54,2.446,19910100,19910200,19901200
1990-10-26 05:00:00,2.735,2.54,2.448,19910100,19910200,19901200
1990-10-29 06:00:00,2.674,2.529,2.434,19910100,19910200,19901200
1990-10-30 06:00:00,2.71,2.531,2.408,19910100,19910200,19901200
1990-10-31 06:00:00,2.68,2.5,2.36,19910100,19910200,19901200
1990-11-01 06:00:00,2.66,2.478,2.35,19910100,19910200,19901200
1990-11-02 06:00:00,2.66,2.5,2.358,19910100,19910200,19901200
1990-11-05 06:00:00,2.693,2.54,2.385,19910100,19910200,19901200
1990-11-06 06:00:00,2.72,2.54,2.383,19910100,19910200,19901200
1990-11-07 06:00:00,2.785,2.58,2.45,19910100,19910200,19901200
1990-11-08 06:00:00,2.78,2.579,2.435,19910100,19910200,19901200
1990-11-09 06:00:00,2.76,2.555,2.4290000000000003,19910100,19910200,19901200
1990-11-12 06:00:00,2.75,2.54,2.41,19910100,19910200,19901200
1990-11-13 06:00:00,2.76,2.56,2.411,19910100,19910200,19901200
1990-11-14 06:00:00,2.76,2.559,2.428,19910100,19910200,19901200
1990-11-15 06:00:00,2.668,2.5,2.4,19910100,19910200,19901200
1990-11-16 06:00:00,2.625,2.46,2.335,19910100,19910200,19901200
1990-11-19 06:00:00,2.645,2.495,2.35,19910100,19910200,19901200
1990-11-20 06:00:00,2.63,2.481,2.38,19910100,19910200,19901200
1990-11-21 06:00:00,2.61,2.46,,19910100,19910200,19901200
1990-11-23 06:00:00,2.605,2.47,,19910100,19910200,19901200
1990-11-26 06:00:00,2.47,1.893,2.6180000000000003,19910200,19910300,19910100
1990-11-27 06:00:00,2.423,1.85,2.54,19910200,19910300,19910100
1990-11-28 06:00:00,2.396,1.873,2.505,19910200,19910300,19910100
1990-11-29 06:00:00,2.388,1.874,2.49,19910200,19910300,19910100
1990-11-30 06:00:00,2.355,1.869,2.445,19910200,19910300,19910100
1990-12-03 06:00:00,2.39,1.87,2.475,19910200,19910300,19910100
1990-12-04 06:00:00,2.338,1.835,2.44,19910200,19910300,19910100
1990-12-05 06:00:00,2.247,1.765,2.402,19910200,19910300,19910100
1990-12-06 06:00:00,2.15,1.72,2.351,19910200,19910300,19910100
1990-12-07 06:00:00,2.132,1.7,2.35,19910200,19910300,19910100
1990-12-10 06:00:00,2.145,1.745,2.355,19910200,19910300,19910100
1990-12-11 06:00:00,2.096,1.71,2.285,19910200,19910300,19910100
1990-12-12 06:00:00,2.081,1.696,2.204,19910200,19910300,19910100
1990-12-13 06:00:00,2.095,1.69,2.22,19910200,19910300,19910100
1990-12-14 06:00:00,2.111,1.69,2.262,19910200,19910300,19910100
1990-12-17 06:00:00,2.045,1.635,2.175,19910200,19910300,19910100
1990-12-18 06:00:00,1.961,1.6,2.046,19910200,19910300,19910100
1990-12-19 06:00:00,1.897,1.582,,19910200,19910300,19910100
1990-12-20 06:00:00,1.92,1.625,,19910200,19910300,19910100
1990-12-21 06:00:00,1.962,1.682,,19910200,19910300,19910100
1990-12-26 06:00:00,1.999,1.68,,19910200,19910300,19910100
1990-12-27 06:00:00,1.645,1.52,1.96,19910300,19910400,19910200
1990-12-28 06:00:00,1.66,1.52,1.95,19910300,19910400,19910200
1990-12-31 06:00:00,1.66,1.52,1.95,19910300,19910400,19910200
1991-01-02 06:00:00,1.59,1.5,1.832,19910300,19910400,19910200
1991-01-03 06:00:00,1.597,1.497,1.7819999999999998,19910300,19910400,19910200
1991-01-04 06:00:00,1.57,1.485,1.743,19910300,19910400,19910200
1991-01-07 06:00:00,1.59,1.495,1.785,19910300,19910400,19910200
1991-01-08 06:00:00,1.59,1.5,1.786,19910300,19910400,19910200
1991-01-09 06:00:00,1.54,1.5,1.7280000000000002,19910300,19910400,19910200
1991-01-10 06:00:00,1.51,1.455,1.6980000000000002,19910300,19910400,19910200
1991-01-11 06:00:00,1.51,1.455,1.695,19910300,19910400,19910200
1991-01-14 06:00:00,1.5590000000000002,1.495,1.7280000000000002,19910300,19910400,19910200
1991-01-15 06:00:00,1.6030000000000002,1.49,1.72,19910300,19910400,19910200
1991-01-16 06:00:00,1.586,1.49,1.719,19910300,19910400,19910200
1991-01-17 06:00:00,1.515,1.46,1.621,19910300,19910400,19910200
1991-01-18 06:00:00,1.465,1.43,1.567,19910300,19910400,19910200
1991-01-21 06:00:00,1.485,1.455,1.57,19910300,19910400,19910200
1991-01-22 06:00:00,1.435,1.4409999999999998,1.4780000000000002,19910400,19910500,19910300
1991-01-23 06:00:00,1.383,1.37,1.385,19910400,19910500,19910300
1991-01-24 06:00:00,1.395,1.42,1.382,19910400,19910500,19910300
1991-01-25 06:00:00,1.4,1.41,1.399,19910400,19910500,19910300
1991-01-28 06:00:00,1.371,1.406,1.381,19910400,19910500,19910300
1991-01-29 06:00:00,1.383,1.409,1.385,19910400,19910500,19910300
1991-01-30 06:00:00,1.36,1.4,1.38,19910400,19910500,19910300
1991-01-31 06:00:00,1.365,1.4,1.38,19910400,19910500,19910300
1991-02-01 06:00:00,1.375,1.395,1.38,19910400,19910500,19910300
1991-02-04 06:00:00,1.365,1.39,1.368,19910400,19910500,19910300
1991-02-05 06:00:00,1.367,1.39,1.37,19910400,19910500,19910300
1991-02-06 06:00:00,1.376,1.405,1.371,19910400,19910500,19910300
1991-02-07 06:00:00,1.374,1.405,1.38,19910400,19910500,19910300
1991-02-08 06:00:00,1.37,1.4,1.365,19910400,19910500,19910300
1991-02-11 06:00:00,1.365,1.385,1.3530000000000002,19910400,19910500,19910300
1991-02-12 06:00:00,1.3730000000000002,1.395,1.348,19910400,19910500,19910300
1991-02-13 06:00:00,1.383,1.405,1.35,19910400,19910500,19910300
1991-02-14 06:00:00,1.381,1.405,1.367,19910400,19910500,19910300
1991-02-15 06:00:00,1.375,1.401,1.385,19910400,19910500,19910300
1991-02-19 06:00:00,1.38,1.41,1.395,19910400,19910500,19910300
1991-02-20 06:00:00,1.355,1.392,,19910400,19910500,19910300
1991-02-21 06:00:00,1.334,1.366,,19910400,19910500,19910300
1991-02-22 06:00:00,1.38,1.415,1.345,19910500,19910600,19910400
1991-02-25 06:00:00,1.383,1.411,1.351,19910500,19910600,19910400
1991-02-26 06:00:00,1.385,1.418,1.355,19910500,19910600,19910400
1991-02-27 06:00:00,1.39,1.423,1.356,19910500,19910600,19910400
1991-02-28 06:00:00,1.402,1.435,1.3730000000000002,19910500,19910600,19910400
1991-03-01 06:00:00,1.3969999999999998,1.43,1.361,19910500,19910600,19910400
1991-03-04 06:00:00,1.391,1.425,1.355,19910500,19910600,19910400
1991-03-05 06:00:00,1.383,1.41,1.355,19910500,19910600,19910400
1991-03-06 06:00:00,1.38,1.405,1.356,19910500,19910600,19910400
1991-03-07 06:00:00,1.385,1.405,1.3630000000000002,19910500,19910600,19910400
1991-03-08 06:00:00,1.38,1.401,1.359,19910500,19910600,19910400
1991-03-11 06:00:00,1.38,1.4,1.362,19910500,19910600,19910400
1991-03-12 06:00:00,1.39,1.41,1.375,19910500,19910600,19910400
1991-03-13 06:00:00,1.405,1.426,1.395,19910500,19910600,19910400
1991-03-14 06:00:00,1.391,1.413,1.381,19910500,19910600,19910400
1991-03-15 06:00:00,1.395,1.41,1.385,19910500,19910600,19910400
1991-03-18 06:00:00,1.395,1.413,1.386,19910500,19910600,19910400
1991-03-19 06:00:00,1.39,1.415,1.391,19910500,19910600,19910400
1991-03-20 06:00:00,1.376,1.403,,19910500,19910600,19910400
1991-03-21 06:00:00,1.3969999999999998,1.425,,19910500,19910600,19910400
1991-03-22 06:00:00,1.385,1.413,,19910500,19910600,19910400
1991-03-25 06:00:00,1.412,1.44,1.39,19910600,19910700,19910500
1991-03-26 06:00:00,1.42,1.445,1.395,19910600,19910700,19910500
1991-03-27 06:00:00,1.433,1.45,1.395,19910600,19910700,19910500
1991-03-28 06:00:00,1.433,1.453,1.405,19910600,19910700,19910500
1991-04-01 06:00:00,1.429,1.445,1.415,19910600,19910700,19910500
