DATE_TIME,current_contract,next_contract,carry_contract
1959-10-16 00:05:00,19591200,19600300,19590900
1960-01-15 00:06:00,19600300,19600500,19591200
1960-03-16 00:06:00,19600500,19600700,19600300
1960-05-16 00:05:00,19600700,19600900,19600500
1960-07-18 00:05:00,19600900,19601200,19600700
1960-10-17 00:05:00,19601200,19610300,19600900
1961-01-13 00:06:00,19610300,19610500,19601200
1961-03-16 00:06:00,19610500,19610700,19610300
1961-05-16 00:05:00,19610700,19610900,19610500
1961-07-17 00:05:00,19610900,19611200,19610700
1961-10-16 00:05:00,19611200,19620300,19610900
1962-01-15 00:06:00,19620300,19620500,19611200
1962-03-16 00:06:00,19620500,19620700,19620300
1962-05-16 00:05:00,19620700,19620900,19620500
1962-07-17 00:05:00,19620900,19621200,19620700
1962-10-16 00:05:00,19621200,19630300,19620900
1963-01-14 00:06:00,19630300,19630500,19621200
1963-03-15 00:06:00,19630500,19630700,19630300
1963-05-16 00:05:00,19630700,19630900,19630500
1963-07-17 00:05:00,19630900,19631200,19630700
1963-10-16 00:05:00,19631200,19640300,19630900
1964-01-15 00:06:00,19640300,19640500,19631200
1964-03-16 00:06:00,19640500,19640700,19640300
1964-05-15 00:05:00,19640700,19640900,19640500
1964-07-17 00:05:00,19640900,19641200,19640700
1964-10-16 00:05:00,19641200,19650300,19640900
1965-01-14 00:06:00,19650300,19650500,19641200
1965-03-16 00:06:00,19650500,19650700,19650300
1965-05-17 00:05:00,19650700,19650900,19650500
1965-07-16 00:05:00,19650900,19651200,19650700
1965-10-15 00:05:00,19651200,19660300,19650900
1966-01-14 00:06:00,19660300,19660500,19651200
1966-03-16 00:06:00,19660500,19660700,19660300
1966-05-16 00:05:00,19660700,19660900,19660500
1966-07-18 00:05:00,19660900,19661200,19660700
1966-10-17 00:05:00,19661200,19670300,19660900
1967-01-13 00:06:00,19670300,19670500,19661200
1967-03-16 00:06:00,19670500,19670700,19670300
1967-05-16 00:05:00,19670700,19670900,19670500
1967-07-17 00:05:00,19670900,19671200,19670700
1967-10-16 00:05:00,19671200,19680300,19670900
1968-01-15 00:06:00,19680300,19680500,19671200
1968-03-15 00:06:00,19680500,19680700,19680300
1968-05-16 00:05:00,19680700,19680900,19680500
1968-07-17 00:05:00,19680900,19681200,19680700
1968-10-16 00:05:00,19681200,19690300,19680900
1969-01-14 00:06:00,19690300,19690500,19681200
1969-03-17 00:06:00,19690500,19690700,19690300
1969-05-16 00:05:00,19690700,19690900,19690500
1969-07-17 00:05:00,19690900,19691200,19690700
1969-10-16 00:05:00,19691200,19700300,19690900
1970-01-14 00:06:00,19700300,19700500,19691200
1970-03-16 00:06:00,19700500,19700700,19700300
1970-05-15 00:05:00,19700700,19700900,19700500
1970-07-17 00:05:00,19700900,19701200,19700700
1970-10-16 00:05:00,19701200,19710300,19700900
1971-01-14 00:06:00,19710300,19710500,19701200
1971-03-16 00:06:00,19710500,19710700,19710300
1971-05-17 00:05:00,19710700,19710900,19710500
1971-07-16 00:05:00,19710900,19711200,19710700
1971-10-15 00:05:00,19711200,19720300,19710900
1972-01-14 00:06:00,19720300,19720500,19711200
1972-03-16 00:06:00,19720500,19720700,19720300
1972-05-16 00:05:00,19720700,19720900,19720500
1972-07-17 00:05:00,19720900,19721200,19720700
1972-10-16 00:05:00,19721200,19730300,19720900
1973-01-15 00:06:00,19730300,19730500,19721200
1973-03-16 00:06:00,19730500,19730700,19730300
1973-05-16 00:05:00,19730700,19730900,19730500
1973-07-17 00:05:00,19730900,19731200,19730700
1973-10-16 00:05:00,19731200,19740300,19730900
1974-01-14 00:05:00,19740300,19740500,19731200
1974-03-15 00:05:00,19740500,19740700,19740300
1974-05-16 00:05:00,19740700,19740900,19740500
1974-07-17 00:05:00,19740900,19741200,19740700
1974-10-16 00:05:00,19741200,19750300,19740900
1975-01-14 00:06:00,19750300,19750500,19741200
1975-03-17 00:05:00,19750500,19750700,19750300
1975-05-16 00:05:00,19750700,19750900,19750500
1975-07-17 00:05:00,19750900,19751200,19750700
1975-10-16 00:05:00,19751200,19760300,19750900
1976-01-15 00:06:00,19760300,19760500,19751200
1976-03-16 00:06:00,19760500,19760700,19760300
1976-05-17 00:05:00,19760700,19760900,19760500
1976-07-16 00:05:00,19760900,19761200,19760700
1976-10-15 00:05:00,19761200,19770300,19760900
1977-01-14 00:06:00,19770300,19770500,19761200
1977-03-16 00:06:00,19770500,19770700,19770300
1977-05-16 00:05:00,19770700,19770900,19770500
1977-07-18 00:05:00,19770900,19771200,19770700
1977-10-17 00:05:00,19771200,19780300,19770900
1978-01-13 00:06:00,19780300,19780500,19771200
1978-03-16 00:06:00,19780500,19780700,19780300
1978-05-16 00:05:00,19780700,19780900,19780500
1978-07-17 00:05:00,19780900,19781200,19780700
1978-10-16 00:05:00,19781200,19790300,19780900
1979-01-15 00:06:00,19790300,19790500,19781200
1979-03-16 00:06:00,19790500,19790700,19790300
1979-05-16 00:05:00,19790700,19790900,19790500
1979-07-17 00:05:00,19790900,19791200,19790700
1979-10-16 00:05:00,19791200,19800300,19790900
1980-01-15 00:06:00,19800300,19800500,19791200
1980-03-17 00:06:00,19800500,19800700,19800300
