DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1983-05-12 05:00:00,29.28,29.3,29.49,19830800,19830900,19830700
1983-05-13 05:00:00,29.3,29.35,29.54,19830800,19830900,19830700
1983-05-16 05:00:00,29.72,29.75,29.99,19830800,19830900,19830700
1983-05-17 05:00:00,29.8,29.78,29.97,19830800,19830900,19830700
1983-05-18 05:00:00,29.75,29.73,29.9,19830800,19830900,19830700
1983-05-19 05:00:00,29.8,29.75,29.95,19830800,19830900,19830700
1983-05-20 05:00:00,30.23,30.2,30.3,19830800,19830900,19830700
1983-05-23 05:00:00,30.22,30.15,30.27,19830800,19830900,19830700
1983-05-24 05:00:00,30.0,29.93,30.05,19830800,19830900,19830700
1983-05-25 05:00:00,30.11,30.04,30.25,19830800,19830900,19830700
1983-05-26 05:00:00,30.25,30.2,30.31,19830800,19830900,19830700
1983-05-27 05:00:00,30.13,30.15,30.19,19830800,19830900,19830700
1983-05-31 05:00:00,30.1,30.05,30.25,19830800,19830900,19830700
1983-06-01 05:00:00,30.22,30.15,30.33,19830800,19830900,19830700
1983-06-02 05:00:00,30.3,30.2,30.4,19830800,19830900,19830700
1983-06-03 05:00:00,30.3,30.25,30.36,19830800,19830900,19830700
1983-06-06 05:00:00,30.27,30.15,30.35,19830800,19830900,19830700
1983-06-07 05:00:00,30.5,30.39,30.59,19830800,19830900,19830700
1983-06-08 05:00:00,30.5,30.4,30.6,19830800,19830900,19830700
1983-06-09 05:00:00,30.4,30.34,30.49,19830800,19830900,19830700
1983-06-10 05:00:00,30.63,30.55,30.77,19830800,19830900,19830700
1983-06-13 05:00:00,30.8,30.72,30.9,19830900,19831000,19830800
1983-06-14 05:00:00,30.75,30.75,30.91,19830900,19831000,19830800
1983-06-15 05:00:00,31.05,31.0,31.2,19830900,19831000,19830800
1983-06-16 05:00:00,31.2,31.22,31.29,19830900,19831000,19830800
1983-06-17 05:00:00,31.12,31.14,31.29,19830900,19831000,19830800
1983-06-20 05:00:00,31.3,31.35,31.42,19830900,19831000,19830800
1983-06-21 05:00:00,31.02,31.05,31.18,19830900,19831000,19830800
1983-06-22 05:00:00,30.8,30.8,30.95,19830900,19831000,19830800
1983-06-23 05:00:00,30.95,30.95,31.1,19830900,19831000,19830800
1983-06-24 05:00:00,31.1,31.15,31.2,19830900,19831000,19830800
1983-06-27 05:00:00,31.05,31.02,31.2,19830900,19831000,19830800
1983-06-28 05:00:00,31.1,31.05,31.24,19830900,19831000,19830800
1983-06-29 05:00:00,31.05,31.05,31.2,19830900,19831000,19830800
1983-06-30 05:00:00,31.21,31.21,31.38,19830900,19831000,19830800
1983-07-01 05:00:00,31.2,31.2,31.35,19830900,19831000,19830800
1983-07-05 05:00:00,31.13,31.15,31.27,19830900,19831000,19830800
1983-07-06 05:00:00,31.1,31.05,31.2,19830900,19831000,19830800
1983-07-07 05:00:00,31.22,31.18,31.4,19830900,19831000,19830800
1983-07-08 05:00:00,31.29,31.2,31.4,19830900,19831000,19830800
1983-07-11 05:00:00,31.46,31.38,31.64,19830900,19831000,19830800
1983-07-12 05:00:00,31.55,31.47,31.72,19830900,19831000,19830800
1983-07-13 05:00:00,31.75,31.65,31.8,19831000,19831100,19830900
1983-07-14 05:00:00,31.7,31.67,31.78,19831000,19831100,19830900
1983-07-15 05:00:00,31.64,31.65,31.67,19831000,19831100,19830900
1983-07-18 05:00:00,31.55,31.5,31.57,19831000,19831100,19830900
1983-07-19 05:00:00,31.65,31.6,31.62,19831000,19831100,19830900
1983-07-20 05:00:00,31.65,31.65,31.65,19831000,19831100,19830900
1983-07-21 05:00:00,31.55,31.5,31.51,19831000,19831100,19830900
1983-07-22 05:00:00,31.49,31.42,31.46,19831000,19831100,19830900
1983-07-25 05:00:00,31.4,31.4,31.4,19831000,19831100,19830900
1983-07-26 05:00:00,31.51,31.45,31.53,19831000,19831100,19830900
1983-07-27 05:00:00,31.68,31.65,31.73,19831000,19831100,19830900
1983-07-28 05:00:00,31.77,31.72,31.82,19831000,19831100,19830900
1983-07-29 05:00:00,31.92,31.87,32.0,19831000,19831100,19830900
1983-08-01 05:00:00,32.12,32.05,32.12,19831000,19831100,19830900
1983-08-02 05:00:00,32.12,32.12,32.15,19831000,19831100,19830900
1983-08-03 05:00:00,32.11,32.1,32.2,19831000,19831100,19830900
1983-08-04 05:00:00,32.09,32.07,32.14,19831000,19831100,19830900
1983-08-05 05:00:00,32.08,32.08,32.15,19831000,19831100,19830900
1983-08-08 05:00:00,31.99,31.98,32.05,19831000,19831100,19830900
1983-08-09 05:00:00,31.88,31.84,31.94,19831000,19831100,19830900
1983-08-10 05:00:00,32.07,32.04,32.14,19831000,19831100,19830900
1983-08-11 05:00:00,31.96,31.96,31.95,19831000,19831100,19830900
1983-08-12 05:00:00,31.97,31.95,31.99,19831100,19831200,19831000
1983-08-15 05:00:00,32.04,32.04,32.05,19831100,19831200,19831000
1983-08-16 05:00:00,31.99,31.95,32.0,19831100,19831200,19831000
1983-08-17 05:00:00,31.91,31.9,31.92,19831100,19831200,19831000
1983-08-18 05:00:00,31.65,31.64,31.63,19831100,19831200,19831000
1983-08-19 05:00:00,31.6,31.58,31.65,19831100,19831200,19831000
