DATETIME,price
1999-06-14,2516.0
1999-06-15,2534.0
1999-06-16,2568.0
1999-06-17,2602.0
1999-06-18,2620.0
1999-06-21,2678.0
1999-06-22,2660.0
1999-06-23,2605.0
1999-06-24,2550.0
1999-06-25,2558.0
1999-06-28,2565.0
1999-06-29,2579.0
1999-06-30,2583.0
1999-07-01,2661.0
1999-07-02,2693.0
1999-07-05,2776.0
1999-07-06,2768.0
1999-07-07,2752.0
1999-07-08,2736.0
1999-07-09,2755.0
1999-07-12,2755.0
1999-07-13,2695.0
1999-07-14,2704.0
1999-07-15,2738.0
1999-07-16,2732.0
1999-07-19,2730.0
1999-07-20,2643.0
1999-07-21,2576.0
1999-07-22,2554.0
1999-07-23,2500.0
1999-07-26,2460.0
1999-07-27,2465.0
1999-07-28,2466.0
1999-07-29,2350.0
1999-07-30,2415.0
1999-08-02,2430.0
1999-08-03,2394.0
1999-08-04,2380.0
1999-08-05,2284.0
1999-08-06,2311.0
1999-08-09,2380.0
1999-08-10,2312.0
1999-08-11,2320.0
1999-08-12,2428.0
1999-08-13,2517.0
1999-08-16,2506.0
1999-08-17,2536.0
1999-08-18,2522.0
1999-08-19,2460.0
1999-08-20,2494.0
1999-08-23,2547.0
1999-08-24,2575.0
1999-08-25,2651.0
1999-08-26,2636.0
1999-08-27,2644.0
1999-08-30,2620.0
1999-08-31,2548.0
1999-09-01,2579.0
1999-09-02,2497.0
1999-09-03,2599.0
1999-09-06,2635.0
1999-09-07,2606.0
1999-09-08,2607.0
1999-09-09,2642.0
1999-09-10,2676.0
1999-09-13,2640.0
1999-09-14,2604.0
1999-09-15,2559.0
1999-09-16,2556.0
1999-09-17,2551.0
1999-09-20,2556.0
1999-09-21,2503.0
1999-09-22,2499.0
1999-09-23,2514.0
1999-09-24,2457.0
1999-09-27,2504.0
1999-09-28,2456.0
1999-09-29,2438.0
1999-09-30,2430.0
1999-10-01,2407.0
1999-10-04,2492.0
1999-10-05,2507.0
1999-10-06,2520.0
1999-10-07,2562.0
1999-10-08,2559.0
1999-10-11,2562.0
1999-10-12,2517.0
1999-10-13,2486.0
1999-10-14,2468.0
1999-10-15,2397.0
1999-10-18,2377.0
1999-10-19,2478.0
1999-10-20,2474.0
1999-10-21,2459.0
1999-10-22,2552.0
1999-10-25,2522.0
1999-10-26,2566.0
1999-10-27,2549.0
1999-10-28,2659.0
1999-10-29,2690.0
1999-11-01,2696.0
1999-11-02,2694.0
1999-11-03,2714.0
1999-11-04,2764.0
1999-11-05,2787.0
1999-11-08,2790.0
1999-11-09,2806.0
1999-11-10,2824.0
1999-11-11,2889.0
1999-11-12,2892.0
1999-11-15,2945.0
1999-11-16,2970.0
1999-11-17,3001.0
1999-11-18,3044.0
1999-11-19,3059.0
1999-11-22,2969.0
1999-11-23,2992.0
1999-11-24,2992.0
1999-11-25,3109.0
1999-11-26,3143.0
1999-11-29,3116.0
1999-11-30,3096.0
1999-12-01,3100.0
1999-12-02,3107.0
1999-12-03,3201.0
1999-12-06,3259.0
1999-12-07,3254.0
1999-12-08,3260.0
1999-12-09,3284.0
1999-12-10,3211.0
1999-12-13,3243.0
1999-12-14,3271.0
1999-12-15,3241.0
1999-12-16,3273.0
1999-12-17,3323.0
1999-12-20,3355.0
1999-12-21,3303.0
1999-12-22,3407.0
1999-12-23,3507.0
1999-12-27,3539.0
1999-12-28,3523.0
1999-12-29,3567.0
1999-12-30,3673.0
2000-01-03,3577.0
2000-01-04,3387.0
2000-01-05,3277.0
2000-01-06,3250.0
2000-01-07,3399.0
2000-01-10,3462.0
2000-01-11,3423.0
2000-01-12,3379.0
2000-01-13,3426.0
2000-01-14,3612.0
2000-01-17,3642.0
2000-01-18,3496.0
2000-01-19,3484.0
2000-01-20,3507.0
2000-01-21,3425.0
2000-01-24,3415.0
2000-01-25,3405.0
2000-01-26,3448.0
2000-01-27,3547.0
2000-01-28,3478.0
2000-01-31,3402.0
2000-02-01,3545.0
2000-02-02,3639.0
2000-02-03,3768.0
2000-02-04,3835.0
