DATETIME,price
1999-09-13,3188.0
1999-09-14,3203.5
1999-09-15,3153.5
1999-09-16,3148.0
1999-09-17,3232.5
1999-09-20,3229.5
1999-09-21,3171.0
1999-09-22,3196.0
1999-09-23,3092.0
1999-09-24,3084.5
1999-09-27,3110.5
1999-09-28,3124.0
1999-09-29,3078.0
1999-09-30,3098.0
1999-10-01,3094.0
1999-10-04,3155.5
1999-10-05,3168.0
1999-10-06,3215.0
1999-10-07,3208.5
1999-10-08,3240.0
1999-10-11,3271.5
1999-10-12,3219.0
1999-10-13,3134.5
1999-10-14,3154.0
1999-10-15,3078.5
1999-10-18,3045.0
1999-10-19,3042.0
1999-10-20,3130.5
1999-10-21,3172.5
1999-10-22,3156.0
1999-10-25,3159.0
1999-10-26,3135.5
1999-10-27,3137.5
1999-10-28,3220.0
1999-10-29,3313.5
1999-11-01,3297.0
1999-11-02,3301.0
1999-11-03,3354.0
1999-11-04,3380.5
1999-11-05,3442.5
1999-11-08,3467.5
1999-11-09,3445.0
1999-11-10,3476.5
1999-11-11,3525.5
1999-11-12,3568.0
1999-11-15,3555.5
1999-11-16,3636.0
1999-11-17,3589.5
1999-11-18,3679.5
1999-11-19,3706.0
1999-11-22,3728.5
1999-11-23,3675.0
1999-11-24,3783.0
1999-11-26,3780.5
1999-11-29,3734.0
1999-11-30,3632.0
1999-12-01,3673.5
1999-12-02,3772.0
1999-12-03,3834.0
1999-12-06,3864.0
1999-12-07,3871.0
1999-12-08,3824.5
1999-12-09,3827.0
1999-12-10,3868.0
1999-12-13,3900.0
1999-12-14,3837.0
1999-12-15,3888.5
1999-12-16,3995.0
1999-12-17,4027.0
1999-12-20,4059.5
1999-12-21,4212.0
1999-12-22,4232.5
1999-12-23,4257.0
1999-12-27,4253.0
1999-12-28,4235.5
1999-12-29,4357.5
1999-12-30,4347.5
1999-12-31,4367.0
2000-01-03,4457.5
2000-01-04,4170.5
2000-01-05,4125.5
2000-01-06,3925.5
2000-01-07,4170.5
2000-01-10,4383.0
2000-01-11,4188.0
2000-01-12,4116.5
2000-01-13,4265.5
2000-01-14,4364.5
2000-01-18,4420.0
2000-01-19,4463.0
2000-01-20,4489.5
2000-01-21,4502.5
2000-01-24,4296.5
2000-01-25,4404.5
2000-01-26,4267.5
2000-01-27,4249.0
2000-01-28,4088.0
2000-01-31,4225.5
2000-02-01,4336.5
2000-02-02,4347.0
2000-02-03,4505.5
2000-02-04,4519.5
2000-02-07,4570.0
2000-02-08,4708.0
2000-02-09,4589.5
2000-02-10,4725.0
2000-02-11,4605.5
2000-02-14,4616.5
2000-02-15,4649.5
2000-02-16,4633.5
2000-02-17,4719.5
2000-02-18,4581.0
2000-02-22,4580.5
2000-02-23,4800.5
2000-02-24,4905.5
2000-02-25,4807.0
2000-02-28,4771.0
2000-02-29,4914.0
2000-03-01,4938.5
2000-03-02,4838.0
2000-03-03,5067.5
2000-03-06,5110.5
2000-03-07,5005.5
2000-03-08,5070.5
2000-03-09,5221.0
2000-03-10,5218.0
2000-03-13,5073.5
2000-03-14,4851.0
2000-03-15,4713.5
2000-03-16,4965.5
2000-03-17,5067.5
2000-03-20,4903.5
2000-03-21,5069.0
2000-03-22,5171.0
2000-03-23,5283.5
2000-03-24,5355.0
2000-03-27,5313.0
2000-03-28,5213.5
2000-03-29,5019.5
2000-03-30,4878.5
2000-03-31,5008.5
2000-04-03,4686.0
2000-04-04,4617.0
2000-04-05,4611.0
2000-04-06,4696.0
2000-04-07,4888.0
2000-04-10,4576.5
2000-04-11,4506.0
2000-04-12,4246.0
2000-04-13,4136.0
2000-04-14,3768.5
2000-04-17,4128.5
2000-04-18,4301.0
2000-04-19,4173.5
2000-04-20,4086.0
2000-04-24,3968.0
2000-04-25,4196.0
2000-04-26,4078.5
2000-04-27,4236.0
2000-04-28,4361.0
2000-05-01,4418.0
2000-05-02,4189.0
2000-05-03,4136.0
2000-05-04,4140.5
2000-05-05,4246.0
2000-05-08,4102.5
2000-05-09,4003.5
2000-05-10,3803.5
2000-05-11,3936.5
2000-05-12,3968.5
2000-05-15,4110.5
2000-05-16,4221.0
2000-05-17,4138.5
2000-05-18,4011.0
2000-05-19,3831.0
2000-05-22,3848.5
2000-05-23,3563.5
2000-05-24,3718.5
2000-05-25,3676.5
2000-05-26,3681.0
2000-05-30,3978.0
2000-05-31,3876.0
2000-06-01,4063.5
2000-06-02,4302.5
2000-06-05,4303.5
2000-06-06,4213.5
2000-06-07,4288.5
2000-06-08,4281.5
2000-06-09,4305.5
2000-06-12,4209.0
2000-06-13,4324.0
2000-06-14,4248.0
2000-06-15,4309.0
2000-06-16,4319.0
2000-06-19,4474.0
2000-06-20,4499.0
2000-06-21,4505.0
2000-06-22,4354.0
2000-06-23,4219.5
2000-06-26,4319.0
2000-06-27,4259.0
2000-06-28,4307.0
2000-06-29,4222.5
2000-06-30,4308.5
2000-07-03,4353.0
2000-07-05,4201.0
2000-07-06,4325.5
2000-07-07,4369.0
2000-07-10,4319.5
2000-07-11,4273.0
2000-07-12,4422.0
2000-07-13,4500.0
2000-07-14,4569.5
2000-07-17,4601.5
2000-07-18,4515.0
2000-07-19,4405.0
2000-07-20,4543.5
2000-07-21,4430.5
2000-07-24,4311.0
2000-07-25,4379.5
2000-07-26,4356.5
2000-07-27,4198.5
2000-07-28,3997.5
2000-07-31,4108.5
2000-08-01,4061.0
2000-08-02,3998.5
2000-08-03,4154.0
2000-08-04,4123.5
2000-08-07,4214.0
2000-08-08,4209.0
2000-08-09,4185.0
2000-08-10,4122.0
2000-08-11,4155.0
2000-08-14,4239.5
2000-08-15,4242.5
2000-08-16,4255.0
2000-08-17,4339.5
2000-08-18,4327.0
2000-08-21,4348.0
2000-08-22,4336.5
2000-08-23,4393.5
2000-08-24,4456.5
2000-08-25,4450.5
2000-08-28,4450.5
2000-08-29,4468.0
2000-08-30,4467.0
2000-08-31,4585.5
2000-09-01,4609.5
2000-09-05,4490.5
2000-09-06,4349.5
2000-09-07,4443.0
2000-09-08,4299.5
2000-09-11,4213.0
2000-09-12,4152.5
2000-09-13,4234.5
2000-09-14,4226.0
2000-09-15,4148.0
2000-09-18,4087.0
2000-09-19,4233.5
2000-09-20,4282.5
2000-09-21,4194.5
2000-09-22,4205.5
2000-09-25,4104.5
2000-09-26,4047.0
2000-09-27,4074.5
2000-09-28,4187.5
2000-09-29,4050.5
2000-10-02,3958.0
2000-10-03,3826.5
2000-10-04,3907.0
2000-10-05,3912.0
2000-10-06,3787.0
2000-10-09,3779.0
2000-10-10,3589.5
2000-10-11,3554.0
2000-10-12,3476.0
2000-10-13,3704.5
2000-10-16,3745.5
2000-10-17,3599.5
2000-10-18,3584.5
2000-10-19,3874.5
2000-10-20,3929.0
2000-10-23,3923.5
2000-10-24,3772.0
2000-10-25,3581.0
2000-10-26,3657.0
2000-10-27,3652.0
2000-10-30,3537.0
2000-10-31,3729.5
2000-11-01,3697.0
2000-11-02,3746.0
2000-11-03,3782.5
2000-11-06,3760.5
2000-11-07,3743.5
2000-11-08,3490.5
2000-11-09,3487.5
2000-11-10,3323.5
2000-11-13,3257.0
2000-11-14,3487.0
2000-11-15,3546.0
2000-11-16,3368.5
2000-11-17,3369.0
2000-11-20,3244.0
2000-11-21,3237.0
2000-11-22,3112.0
2000-11-24,3258.5
2000-11-27,3226.0
2000-11-28,3067.0
2000-11-29,2959.5
2000-11-30,2959.5
2000-12-01,3002.0
2000-12-04,2987.0
2000-12-05,3270.0
2000-12-06,3154.5
2000-12-07,3107.0
2000-12-08,3189.5
2000-12-11,3411.0
2000-12-12,3298.5
2000-12-13,3175.5
2000-12-14,3048.5
2000-12-15,2981.0
2000-12-18,2987.0
2000-12-19,2788.5
2000-12-20,2653.5
2000-12-21,2661.0
2000-12-22,2847.5
2000-12-26,2856.0
2000-12-27,2885.0
2000-12-28,2880.0
2000-12-29,2753.0
2001-01-02,2546.0
2001-01-03,2908.0
2001-01-04,2864.5
2001-01-05,2672.0
2001-01-08,2703.5
2001-01-09,2704.5
2001-01-10,2819.5
2001-01-11,2891.0
2001-01-12,2918.5
2001-01-16,2894.0
2001-01-17,2960.0
2001-01-18,3073.0
2001-01-19,3065.0
2001-01-22,3061.5
2001-01-23,3123.5
2001-01-24,3093.0
2001-01-25,2992.0
2001-01-26,3024.0
2001-01-29,3084.0
2001-01-30,3076.0
2001-01-31,2989.5
2001-02-01,3006.0
2001-02-02,2867.0
2001-02-05,2859.5
2001-02-06,2868.5
2001-02-07,2822.0
2001-02-08,2746.5
2001-02-09,2655.5
2001-02-12,2680.0
2001-02-13,2604.5
2001-02-14,2694.5
2001-02-15,2734.5
2001-02-16,2606.0
2001-02-20,2508.5
2001-02-21,2449.0
2001-02-22,2430.0
2001-02-23,2436.0
2001-02-26,2478.5
2001-02-27,2347.5
2001-02-28,2291.5
2001-03-01,2338.5
2001-03-02,2255.0
2001-03-05,2290.5
2001-03-06,2364.0
2001-03-07,2367.0
2001-03-08,2327.5
2001-03-09,2192.5
2001-03-12,2068.5
2001-03-13,2161.5
2001-03-14,2131.0
2001-03-15,2070.0
2001-03-16,2028.0
2001-03-19,2111.5
2001-03-20,1992.0
2001-03-21,1991.0
2001-03-22,2075.0
2001-03-23,2089.0
2001-03-26,2053.5
2001-03-27,2108.5
2001-03-28,1965.0
2001-03-29,1935.0
2001-03-30,1945.0
2001-04-02,1872.0
2001-04-03,1760.0
2001-04-04,1734.5
2001-04-05,1869.5
2001-04-06,1825.0
2001-04-09,1855.0
2001-04-10,1966.0
2001-04-11,2013.0
2001-04-12,2085.0
2001-04-16,1983.0
2001-04-17,2027.5
2001-04-18,2194.5
2001-04-19,2308.5
2001-04-20,2308.5
2001-04-23,2174.0
2001-04-24,2141.5
2001-04-25,2179.0
2001-04-26,2129.0
2001-04-27,2178.0
2001-04-30,2221.5
2001-05-01,2295.5
2001-05-02,2329.0
2001-05-03,2240.5
2001-05-04,2295.5
2001-05-07,2258.0
2001-05-08,2297.5
2001-05-09,2231.0
2001-05-10,2197.5
2001-05-11,2189.5
2001-05-14,2163.0
2001-05-15,2172.5
2001-05-16,2252.0
2001-05-17,2280.5
2001-05-18,2289.0
2001-05-21,2407.0
2001-05-22,2401.5
2001-05-23,2313.0
2001-05-24,2361.0
2001-05-25,2323.5
2001-05-29,2211.5
2001-05-30,2140.5
2001-05-31,2158.0
2001-06-01,2206.5
2001-06-04,2197.0
2001-06-05,2278.0
2001-06-06,2263.0
2001-06-07,2311.0
2001-06-08,2257.5
2001-06-11,2205.5
2001-06-12,2196.5
2001-06-13,2142.5
2001-06-14,2045.5
2001-06-15,2063.0
2001-06-18,2037.0
2001-06-19,2030.5
2001-06-20,2068.5
2001-06-21,2092.0
2001-06-22,2087.5
2001-06-25,2091.5
2001-06-26,2100.0
2001-06-27,2106.5
2001-06-28,2133.5
2001-06-29,2181.0
2001-07-02,2177.0
2001-07-03,2182.5
2001-07-05,2092.5
2001-07-06,2018.0
2001-07-09,2034.5
2001-07-10,1972.5
2001-07-11,1994.5
2001-07-12,2096.0
2001-07-13,2100.0
2001-07-16,2044.0
2001-07-17,2082.5
2001-07-18,2018.5
2001-07-19,2059.0
2001-07-20,2018.0
2001-07-23,1977.0
2001-07-24,1960.0
2001-07-25,1970.5
2001-07-26,1994.0
2001-07-27,2027.5
2001-07-30,2016.5
2001-07-31,2027.5
2001-08-01,2073.0
2001-08-02,2108.5
2001-08-03,2076.0
2001-08-06,2049.0
2001-08-07,2040.0
2001-08-08,1967.5
2001-08-09,1974.0
2001-08-10,1958.5
2001-08-13,1990.5
2001-08-14,1969.0
2001-08-15,1911.0
2001-08-16,1928.0
2001-08-17,1855.5
2001-08-20,1877.0
2001-08-21,1810.5
2001-08-22,1852.5
2001-08-23,1836.5
2001-08-24,1916.5
2001-08-27,1918.5
2001-08-28,1868.5
2001-08-29,1844.0
2001-08-30,1790.0
2001-08-31,1807.0
2001-09-04,1761.0
2001-09-05,1753.5
2001-09-06,1697.0
2001-09-07,1688.0
2001-09-10,1705.0
2001-09-17,1583.0
2001-09-18,1556.0
2001-09-19,1531.0
2001-09-20,1491.5
2001-09-21,1460.0
2001-09-24,1517.0
2001-09-25,1524.0
2001-09-26,1482.0
2001-09-27,1471.0
2001-09-28,1498.0
2001-10-01,1482.5
2001-10-02,1486.5
2001-10-03,1573.0
2001-10-04,1587.5
2001-10-05,1603.5
2001-10-08,1609.0
2001-10-09,1577.5
2001-10-10,1636.0
2001-10-11,1720.0
2001-10-12,1712.5
2001-10-15,1712.0
2001-10-16,1734.5
2001-10-17,1631.5
2001-10-18,1666.5
2001-10-19,1676.5
2001-10-22,1712.5
2001-10-23,1718.0
2001-10-24,1746.5
2001-10-25,1803.5
2001-10-26,1774.5
2001-10-29,1694.0
2001-10-30,1668.0
2001-10-31,1692.0
2001-11-01,1744.5
2001-11-02,1755.5
2001-11-05,1802.0
2001-11-06,1860.0
2001-11-07,1858.5
2001-11-08,1842.0
2001-11-09,1840.5
2001-11-12,1852.5
2001-11-13,1906.0
2001-11-14,1918.5
2001-11-15,1911.0
2001-11-16,1908.0
2001-11-19,1951.0
2001-11-20,1877.5
2001-11-21,1876.0
2001-11-23,1902.5
2001-11-26,1941.0
2001-11-27,1939.0
2001-11-28,1882.0
2001-11-29,1928.0
2001-11-30,1921.0
2001-12-03,1890.0
2001-12-04,1964.0
2001-12-05,2044.0
2001-12-06,2047.0
2001-12-07,2000.0
2001-12-10,1970.5
2001-12-11,1978.5
2001-12-12,1991.5
2001-12-13,1921.0
2001-12-14,1935.5
2001-12-17,1961.5
2001-12-18,1981.5
2001-12-19,1949.5
2001-12-20,1880.5
2001-12-21,1910.0
2001-12-24,1901.5
2001-12-26,1917.5
2001-12-27,1930.0
2001-12-28,1940.5
2001-12-31,1900.0
2002-01-02,1934.0
2002-01-03,1989.0
2002-01-04,1995.5
2002-01-07,1978.0
2002-01-08,1989.0
2002-01-09,1971.5
2002-01-10,1982.5
2002-01-11,1963.0
2002-01-14,1925.5
2002-01-15,1941.5
2002-01-16,1879.5
2002-01-17,1909.5
2002-01-18,1871.0
2002-01-22,1823.0
2002-01-23,1862.5
2002-01-24,1883.5
2002-01-25,1879.0
2002-01-28,1889.0
2002-01-29,1846.5
2002-01-30,1858.0
2002-01-31,1870.0
2002-02-01,1851.5
2002-02-04,1803.5
2002-02-05,1778.5
2002-02-06,1768.0
2002-02-07,1731.5
2002-02-08,1770.5
2002-02-11,1789.5
2002-02-12,1777.5
2002-02-13,1802.5
2002-02-14,1802.0
2002-02-15,1756.5
2002-02-19,1711.0
2002-02-20,1729.5
2002-02-21,1663.5
2002-02-22,1675.0
2002-02-25,1723.5
2002-02-26,1719.5
2002-02-27,1700.0
2002-02-28,1677.0
2002-03-01,1753.0
2002-03-04,1810.0
2002-03-05,1821.5
2002-03-06,1829.0
2002-03-07,1828.0
2002-03-08,1872.5
2002-03-11,1864.5
2002-03-12,1842.5
2002-03-13,1806.0
2002-03-14,1799.0
2002-03-15,1812.5
2002-03-18,1819.5
2002-03-19,1819.0
2002-03-20,1763.5
2002-03-21,1802.5
2002-03-22,1790.5
2002-03-25,1744.5
2002-03-26,1756.0
2002-03-27,1746.5
2002-03-28,1768.0
2002-04-01,1792.0
2002-04-02,1723.0
2002-04-03,1722.0
2002-04-04,1712.0
2002-04-05,1697.5
2002-04-08,1711.5
2002-04-09,1664.5
2002-04-10,1674.0
2002-04-11,1640.0
2002-04-12,1661.5
2002-04-15,1670.5
2002-04-16,1726.5
2002-04-17,1720.5
2002-04-18,1696.0
2002-04-19,1697.5
2002-04-22,1662.0
2002-04-23,1638.5
2002-04-24,1617.0
2002-04-25,1615.5
2002-04-26,1560.5
2002-04-29,1559.5
2002-04-30,1588.5
2002-05-01,1580.0
2002-05-02,1537.5
2002-05-03,1506.0
2002-05-06,1474.0
2002-05-07,1464.5
2002-05-08,1589.5
2002-05-09,1554.5
2002-05-10,1497.5
2002-05-13,1548.5
2002-05-14,1621.0
2002-05-15,1629.0
2002-05-16,1632.0
2002-05-17,1634.5
2002-05-20,1607.0
2002-05-21,1569.0
2002-05-22,1573.0
2002-05-23,1598.0
2002-05-24,1566.0
2002-05-28,1561.0
2002-05-29,1527.0
2002-05-30,1538.5
2002-05-31,1518.0
2002-06-03,1473.5
2002-06-04,1489.5
2002-06-05,1502.5
2002-06-06,1472.0
2002-06-07,1446.0
2002-06-10,1445.5
2002-06-11,1412.5
2002-06-12,1429.5
2002-06-13,1422.0
2002-06-14,1420.0
2002-06-17,1457.5
2002-06-18,1478.5
2002-06-19,1406.5
2002-06-20,1373.0
2002-06-21,1345.0
2002-06-24,1367.0
2002-06-25,1330.5
2002-06-26,1333.0
2002-06-27,1363.0
2002-06-28,1357.5
2002-07-01,1305.5
2002-07-02,1270.5
2002-07-03,1301.5
2002-07-05,1367.5
2002-07-08,1328.5
2002-07-09,1298.0
2002-07-10,1266.5
2002-07-11,1302.0
2002-07-12,1304.5
2002-07-15,1333.5
2002-07-16,1319.5
2002-07-17,1337.0
2002-07-18,1301.5
2002-07-19,1270.5
2002-07-22,1247.0
2002-07-23,1205.5
2002-07-24,1255.5
2002-07-25,1200.5
2002-07-26,1216.0
2002-07-29,1265.0
2002-07-30,1284.0
2002-07-31,1268.0
2002-08-01,1220.5
2002-08-02,1199.5
2002-08-05,1168.5
2002-08-06,1209.5
2002-08-07,1222.5
2002-08-08,1252.5
2002-08-09,1242.5
2002-08-12,1247.0
2002-08-13,1214.5
2002-08-14,1270.5
2002-08-15,1292.5
2002-08-16,1299.0
2002-08-19,1324.0
2002-08-20,1317.0
2002-08-21,1341.5
2002-08-22,1355.5
2002-08-23,1317.5
2002-08-26,1320.0
2002-08-27,1284.5
2002-08-28,1249.5
2002-08-29,1261.0
2002-08-30,1247.0
2002-09-03,1208.5
2002-09-04,1218.5
2002-09-05,1196.5
2002-09-06,1224.0
2002-09-09,1231.5
2002-09-10,1255.0
2002-09-11,1246.5
2002-09-12,1222.0
2002-09-13,1229.0
2002-09-16,1215.0
2002-09-17,1197.0
2002-09-18,1184.5
2002-09-19,1172.0
2002-09-20,1175.0
2002-09-23,1149.0
2002-09-24,1148.5
2002-09-25,1182.0
2002-09-26,1171.5
2002-09-27,1161.0
2002-09-30,1135.0
2002-10-01,1186.0
2002-10-02,1157.5
2002-10-03,1136.0
2002-10-04,1120.5
2002-10-07,1112.5
2002-10-08,1114.0
2002-10-09,1109.0
2002-10-10,1148.5
2002-10-11,1195.0
2002-10-14,1207.0
2002-10-15,1250.5
2002-10-16,1219.0
2002-10-17,1244.0
2002-10-18,1260.0
2002-10-21,1279.5
2002-10-22,1272.5
2002-10-23,1292.0
2002-10-24,1267.0
2002-10-25,1292.0
2002-10-28,1286.5
2002-10-29,1263.0
2002-10-30,1290.5
2002-10-31,1291.0
2002-11-01,1320.0
2002-11-04,1342.5
2002-11-05,1351.0
2002-11-06,1368.5
2002-11-07,1329.0
2002-11-08,1308.5
2002-11-11,1280.0
2002-11-12,1304.0
2002-11-13,1316.0
2002-11-14,1351.0
2002-11-15,1365.0
2002-11-18,1349.5
2002-11-19,1332.0
2002-11-20,1375.5
2002-11-21,1417.0
2002-11-22,1416.0
2002-11-25,1425.5
2002-11-26,1388.0
2002-11-27,1423.5
2002-11-29,1416.5
2002-12-02,1427.0
2002-12-03,1394.0
2002-12-04,1370.5
2002-12-05,1355.5
2002-12-06,1366.5
2002-12-09,1314.5
2002-12-10,1330.5
2002-12-11,1335.0
2002-12-12,1341.0
2002-12-13,1307.0
2002-12-16,1340.0
2002-12-17,1342.5
2002-12-18,1320.5
2002-12-19,1309.0
2002-12-20,1320.0
2002-12-23,1330.0
2002-12-24,1320.5
2002-12-26,1316.5
2002-12-27,1298.0
2002-12-30,1289.5
2002-12-31,1283.5
2003-01-02,1321.5
2003-01-03,1332.5
2003-01-06,1357.5
2003-01-07,1371.5
2003-01-08,1341.5
2003-01-09,1373.5
2003-01-10,1388.0
2003-01-13,1383.0
2003-01-14,1388.5
2003-01-15,1373.5
2003-01-16,1361.0
2003-01-17,1316.5
2003-01-21,1305.5
2003-01-22,1301.0
2003-01-23,1323.0
2003-01-24,1296.5
2003-01-27,1285.0
2003-01-28,1295.0
2003-01-29,1310.0
2003-01-30,1283.5
2003-01-31,1281.0
2003-02-03,1282.5
2003-02-04,1271.5
2003-02-05,1266.0
2003-02-06,1271.5
2003-02-07,1256.0
2003-02-10,1265.5
2003-02-11,1268.5
2003-02-12,1255.0
2003-02-13,1258.0
2003-02-14,1281.5
2003-02-18,1315.0
2003-02-19,1306.0
2003-02-20,1301.0
2003-02-21,1311.0
2003-02-24,1290.5
2003-02-25,1294.5
2003-02-26,1270.5
2003-02-27,1293.0
2003-02-28,1307.0
2003-03-03,1289.0
2003-03-04,1282.0
2003-03-05,1284.5
2003-03-06,1281.0
2003-03-07,1283.0
2003-03-10,1263.0
2003-03-11,1254.5
2003-03-12,1270.0
2003-03-13,1327.0
2003-03-14,1331.0
2003-03-17,1368.0
2003-03-18,1381.5
2003-03-19,1370.0
2003-03-20,1375.5
2003-03-21,1388.5
2003-03-24,1344.0
2003-03-25,1359.5
2003-03-26,1364.0
2003-03-27,1355.5
2003-03-28,1345.5
2003-03-31,1315.0
2003-04-01,1317.0
2003-04-02,1356.0
2003-04-03,1361.0
2003-04-04,1344.0
2003-04-07,1345.0
2003-04-08,1344.5
2003-04-09,1320.0
2003-04-10,1332.0
2003-04-11,1322.5
2003-04-14,1342.5
2003-04-15,1353.5
2003-04-16,1350.5
2003-04-17,1377.0
2003-04-21,1378.5
2003-04-22,1398.0
2003-04-23,1407.5
2003-04-24,1402.0
2003-04-25,1379.5
2003-04-28,1401.0
2003-04-29,1410.5
2003-04-30,1402.0
2003-05-01,1407.5
2003-05-02,1433.0
2003-05-05,1432.5
2003-05-06,1446.5
2003-05-07,1433.5
2003-05-08,1412.0
2003-05-09,1437.5
2003-05-12,1454.0
2003-05-13,1448.5
2003-05-14,1445.0
2003-05-15,1457.5
2003-05-16,1450.5
2003-05-19,1408.0
2003-05-20,1412.5
2003-05-21,1409.5
2003-05-22,1424.0
2003-05-23,1424.5
2003-05-27,1466.5
2003-05-28,1468.5
2003-05-29,1473.0
2003-05-30,1493.0
2003-06-02,1484.5
2003-06-03,1495.5
2003-06-04,1518.5
2003-06-05,1528.0
2003-06-06,1507.0
2003-06-09,1491.5
2003-06-10,1508.5
2003-06-11,1523.0
2003-06-12,1527.0
2003-06-13,1501.0
2003-06-16,1537.0
2003-06-17,1530.5
2003-06-18,1537.5
2003-06-19,1516.5
2003-06-20,1513.0
2003-06-23,1496.0
2003-06-24,1485.5
2003-06-25,1480.5
2003-06-26,1508.0
2003-06-27,1493.5
2003-06-30,1495.5
2003-07-01,1514.0
2003-07-02,1539.5
2003-07-03,1520.0
2003-07-07,1576.0
2003-07-08,1590.0
2003-07-09,1588.0
2003-07-10,1563.5
2003-07-11,1572.5
2003-07-14,1590.5
2003-07-15,1589.0
2003-07-16,1586.0
2003-07-17,1546.0
2003-07-18,1549.5
2003-07-21,1532.5
2003-07-22,1553.5
2003-07-23,1564.0
2003-07-24,1545.0
2003-07-25,1571.5
2003-07-28,1574.5
2003-07-29,1564.5
2003-07-30,1555.5
2003-07-31,1570.0
2003-08-01,1558.5
2003-08-04,1556.5
2003-08-05,1507.0
2003-08-06,1505.5
2003-08-07,1510.5
2003-08-08,1501.5
2003-08-11,1513.5
2003-08-12,1533.5
2003-08-13,1534.0
2003-08-14,1536.5
2003-08-15,1545.5
2003-08-18,1578.0
2003-08-19,1593.5
2003-08-20,1590.5
2003-08-21,1604.5
2003-08-22,1596.0
2003-08-25,1598.0
2003-08-26,1599.5
2003-08-27,1611.0
2003-08-28,1622.5
2003-08-29,1633.0
2003-09-02,1654.0
2003-09-03,1652.5
2003-09-04,1666.0
2003-09-05,1657.0
2003-09-08,1679.0
2003-09-09,1662.5
2003-09-10,1629.0
2003-09-11,1643.5
2003-09-12,1650.0
2003-09-15,1638.0
2003-09-16,1674.0
2003-09-17,1668.5
2003-09-18,1689.0
2003-09-19,1682.5
2003-09-22,1653.5
2003-09-23,1677.0
2003-09-24,1625.5
2003-09-25,1607.5
2003-09-26,1598.5
2003-09-29,1624.0
2003-09-30,1594.0
2003-10-01,1621.5
2003-10-02,1626.5
2003-10-03,1664.5
2003-10-06,1674.5
2003-10-07,1683.0
2003-10-08,1674.0
2003-10-09,1685.5
2003-10-10,1697.5
2003-10-13,1706.5
2003-10-14,1712.0
2003-10-15,1704.5
2003-10-16,1716.0
2003-10-17,1681.5
2003-10-20,1699.5
2003-10-21,1707.5
2003-10-22,1680.0
2003-10-23,1662.5
2003-10-24,1664.0
2003-10-27,1665.5
2003-10-28,1711.5
2003-10-29,1709.5
2003-10-30,1712.0
2003-10-31,1706.0
2003-11-03,1727.0
2003-11-04,1718.5
2003-11-05,1729.5
2003-11-06,1735.5
