DATETIME,price
1982-12-07,1971.0
1982-12-08,1982.0
1982-12-09,1882.0
1982-12-10,1973.0
1982-12-13,1979.0
1982-12-14,1948.0
1982-12-15,1918.0
1982-12-16,1830.0
1982-12-17,1874.0
1982-12-20,1892.0
1982-12-21,1953.0
1982-12-22,1964.0
1982-12-23,1950.0
1982-12-24,1956.0
1982-12-29,1956.0
1982-12-30,1963.0
1982-12-31,1971.0
1983-01-04,1977.0
1983-01-05,1961.0
1983-01-06,1944.0
1983-01-07,1903.0
1983-01-10,1885.0
1983-01-11,1907.0
1983-01-12,1966.0
1983-01-13,1990.0
1983-01-14,1969.0
1983-01-17,1995.0
1983-01-18,2012.0
1983-01-19,2034.0
1983-01-20,2064.0
1983-01-21,2035.0
1983-01-24,2071.0
1983-01-25,2100.0
1983-01-26,2114.0
1983-01-27,2156.0
1983-01-28,2192.0
1983-01-31,2118.0
1983-02-01,2088.0
1983-02-02,2092.0
1983-02-03,2097.0
1983-02-04,2094.0
1983-02-07,2164.0
1983-02-08,2175.0
1983-02-09,2170.0
1983-02-10,2158.0
1983-02-11,2165.0
1983-02-14,2196.0
1983-02-15,2185.0
1983-02-16,2141.0
1983-02-17,2140.0
1983-02-18,2144.0
1983-02-21,2154.0
1983-02-22,2175.0
1983-02-23,2156.0
1983-02-24,2166.0
1983-02-25,2141.0
1983-02-28,2125.0
1983-03-01,2168.0
1983-03-02,2175.0
1983-03-03,2201.0
1983-03-04,2190.0
1983-03-07,2184.0
1983-03-08,2198.0
1983-03-09,2298.0
1983-03-10,2294.0
1983-03-11,2323.0
1983-03-14,2354.0
1983-03-15,2340.0
1983-03-16,2365.0
1983-03-17,2486.0
1983-03-18,2511.0
1983-03-21,2451.0
1983-03-22,2496.0
1983-03-23,2583.0
1983-03-24,2601.0
1983-03-25,2597.0
1983-03-28,2611.0
1983-03-29,2643.0
1983-03-30,2675.0
1983-03-31,2601.0
1983-04-05,2478.0
1983-04-06,2465.0
1983-04-07,2439.0
1983-04-08,2490.0
1983-04-11,2460.0
1983-04-12,2467.0
1983-04-13,2476.0
1983-04-14,2459.0
1983-04-15,2413.0
