DATETIME,price
1979-09-21,243.25
1979-09-24,243.25
1979-09-25,232.75
1979-09-26,236.25
1979-09-27,266.25
1979-09-28,260.25
1979-10-01,266.5
1979-10-02,259.25
1979-10-03,258.75
1979-10-04,254.25
1979-10-05,253.75
1979-10-08,247.75
1979-10-09,249.5
1979-10-10,251.25
1979-10-11,248.25
1979-10-12,240.0
1979-10-15,226.25
1979-10-16,228.75
1979-10-17,230.0
1979-10-18,229.25
1979-10-19,235.75
1979-10-22,237.75
1979-10-23,228.5
1979-10-24,230.75
1979-10-25,233.75
1979-10-26,219.75
1979-10-29,224.25
1979-10-30,224.25
1979-10-31,230.25
1979-11-01,226.25
1979-11-02,225.25
1979-11-05,229.0
1979-11-06,231.75
1979-11-07,236.0
1979-11-08,235.25
1979-11-09,232.5
1979-11-12,242.75
1979-11-13,249.0
1979-11-14,254.75
1979-11-15,252.75
1979-11-16,254.75
1979-11-19,246.75
1979-11-20,249.25
1979-11-21,251.0
1979-11-23,247.5
1979-11-26,229.25
1979-11-27,230.0
1979-11-28,225.75
1979-11-29,233.5
1979-11-30,241.75
1979-12-03,239.75
1979-12-04,236.75
1979-12-05,233.75
1979-12-06,226.75
1979-12-07,227.0
1979-12-10,229.25
1979-12-11,238.5
1979-12-12,231.75
1979-12-13,232.25
1979-12-14,235.0
1979-12-17,227.5
1979-12-18,229.5
1979-12-19,234.75
1979-12-20,234.75
1979-12-21,235.0
1979-12-26,234.5
1979-12-27,227.25
1979-12-28,227.5
1979-12-31,218.75
1980-01-02,215.75
1980-01-03,224.75
1980-01-04,222.0
1980-01-09,192.0
1980-01-10,209.5
1980-01-11,213.25
1980-01-14,211.0
1980-01-15,208.0
1980-01-16,209.25
1980-01-17,230.5
1980-01-18,222.0
1980-01-21,220.0
1980-01-22,216.5
1980-01-23,228.25
1980-01-24,220.0
1980-01-25,218.5
1980-01-28,219.75
1980-01-29,218.5
1980-01-30,224.0
1980-01-31,229.25
1980-02-01,222.25
1980-02-04,233.25
1980-02-05,228.0
1980-02-06,229.25
1980-02-07,235.25
1980-02-08,231.75
1980-02-11,235.5
1980-02-12,227.5
1980-02-13,228.5
1980-02-14,220.0
1980-02-15,216.5
1980-02-19,203.75
1980-02-20,209.0
1980-02-21,209.0
1980-02-22,204.5
1980-02-25,205.5
1980-02-26,200.5
1980-02-27,207.0
1980-02-28,203.0
1980-02-29,201.0
1980-03-03,200.0
1980-03-04,206.0
1980-03-05,208.5
1980-03-06,201.75
1980-03-07,196.25
1980-03-10,190.5
1980-03-11,183.25
1980-03-12,187.0
1980-03-13,179.75
1980-03-14,184.5
1980-03-17,181.0
1980-03-18,181.5
1980-03-19,186.0
1980-03-20,179.5
1980-03-21,175.25
1980-03-24,168.0
1980-03-25,165.5
1980-03-26,160.5
1980-03-27,146.5
1980-03-28,147.25
1980-03-31,137.0
1980-04-01,128.25
1980-04-02,131.25
1980-04-03,136.25
1980-04-07,134.5
1980-04-08,139.0
1980-04-09,149.5
1980-04-10,143.25
1980-04-11,144.25
1980-04-14,137.5
1980-04-15,144.25
1980-04-16,149.25
1980-04-17,143.0
1980-04-18,138.0
1980-04-21,145.0
1980-04-22,149.0
1980-04-23,142.75
1980-04-24,144.0
1980-04-25,155.0
1980-04-28,142.0
1980-04-29,132.75
1980-04-30,137.25
1980-05-01,133.25
1980-05-02,137.5
1980-05-05,152.25
1980-05-06,148.0
1980-05-07,145.25
1980-05-08,151.25
1980-05-09,151.0
1980-05-12,136.25
1980-05-13,142.0
1980-05-14,139.5
1980-05-15,141.75
1980-05-16,134.75
1980-05-19,138.75
1980-05-20,144.0
1980-05-21,145.5
1980-05-22,149.5
1980-05-23,149.25
1980-05-27,149.5
