DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1999-03-03 00:00:00,112.85,19990900,112.5,19990600,112.85,19990900
1999-03-04 00:00:00,112.6,19990900,112.32,19990600,112.6,19990900
1999-03-05 00:00:00,114.06,19990900,113.71,19990600,114.06,19990900
1999-03-08 00:00:00,113.6,19990900,113.29,19990600,113.6,19990900
1999-03-09 00:00:00,113.2,19990900,113.03,19990600,113.2,19990900
1999-03-10 00:00:00,113.51,19990900,113.24,19990600,113.51,19990900
1999-03-11 00:00:00,114.29,19990900,114.04,19990600,114.29,19990900
1999-03-12 00:00:00,114.0,19990900,113.77,19990600,114.0,19990900
1999-03-15 00:00:00,113.97,19990900,113.79,19990600,113.97,19990900
1999-03-16 00:00:00,114.52,19990900,114.38,19990600,114.52,19990900
1999-03-17 00:00:00,114.6,19990900,114.46,19990600,114.6,19990900
1999-03-18 00:00:00,114.79,19990900,114.61,19990600,114.79,19990900
1999-03-19 00:00:00,114.61,19990900,114.44,19990600,114.61,19990900
1999-03-22 00:00:00,114.44,19990900,114.27,19990600,114.44,19990900
1999-03-23 00:00:00,114.08,19990900,113.91,19990600,114.08,19990900
1999-03-24 00:00:00,114.14,19990900,113.99,19990600,114.14,19990900
1999-03-25 00:00:00,114.3,19990900,114.09,19990600,114.3,19990900
1999-03-26 00:00:00,113.75,19990900,113.58,19990600,113.75,19990900
1999-03-29 00:00:00,113.65,19990900,113.49,19990600,113.65,19990900
1999-03-30 00:00:00,113.93,19990900,113.8,19990600,113.93,19990900
1999-03-31 00:00:00,114.13,19990900,114.0,19990600,114.13,19990900
1999-04-01 00:00:00,114.07,19990900,113.94,19990600,114.07,19990900
1999-04-06 00:00:00,115.22,19990900,115.09,19990600,115.22,19990900
1999-04-07 00:00:00,115.11,19990900,115.03,19990600,115.11,19990900
1999-04-08 00:00:00,115.79,19990900,115.95,19990600,115.79,19990900
1999-04-09 00:00:00,115.71,19990900,115.77,19990600,115.71,19990900
1999-04-12 00:00:00,116.08,19990900,116.1,19990600,116.08,19990900
1999-04-13 00:00:00,115.67,19990900,115.68,19990600,115.67,19990900
1999-04-14 00:00:00,115.7,19990900,115.71,19990600,115.7,19990900
1999-04-15 00:00:00,115.37,19990900,115.36,19990600,115.37,19990900
1999-04-16 00:00:00,115.42,19990900,115.39,19990600,115.42,19990900
1999-04-19 00:00:00,115.53,19990900,115.53,19990600,115.53,19990900
1999-04-20 00:00:00,115.62,19990900,115.61,19990600,115.62,19990900
1999-04-21 00:00:00,115.74,19990900,115.73,19990600,115.74,19990900
1999-04-22 00:00:00,115.57,19990900,115.56,19990600,115.57,19990900
1999-04-23 00:00:00,115.65,19990900,115.66,19990600,115.65,19990900
1999-04-26 00:00:00,115.38,19990900,115.43,19990600,115.38,19990900
1999-04-27 00:00:00,115.6,19990900,115.76,19990600,115.6,19990900
1999-04-28 00:00:00,115.23,19990900,115.48,19990600,115.23,19990900
1999-04-29 00:00:00,115.78,19990900,116.02,19990600,115.78,19990900
1999-04-30 00:00:00,115.12,19990900,115.35,19990600,115.12,19990900
1999-05-03 00:00:00,115.39,19990900,115.66,19990600,115.39,19990900
1999-05-04 00:00:00,114.86,19990900,115.11,19990600,114.86,19990900
1999-05-05 00:00:00,114.99,19990900,115.2,19990600,114.99,19990900
1999-05-06 00:00:00,114.52,19990900,114.7,19990600,114.52,19990900
1999-05-07 00:00:00,114.59,19990900,114.82,19990600,114.59,19990900
1999-05-10 00:00:00,114.39,19990900,114.67,19990600,114.39,19990900
1999-05-11 00:00:00,114.31,19990900,114.6,19990600,114.31,19990900
1999-05-12 00:00:00,114.3,19990900,114.66,19990600,114.3,19990900
1999-05-14 00:00:00,113.4,19990900,113.82,19990600,113.4,19990900
1999-05-17 00:00:00,113.45,19990900,113.87,19990600,113.45,19990900
1999-05-18 00:00:00,113.86,19990900,114.24,19990600,113.86,19990900
1999-05-19 00:00:00,113.75,19990900,114.11,19990600,113.75,19990900
1999-05-20 00:00:00,113.91,19990900,114.28,19990600,113.91,19990900
1999-05-21 00:00:00,114.37,19990900,114.81,19990600,114.37,19990900
1999-05-25 00:00:00,114.35,19990900,114.79,19990600,114.35,19990900
1999-05-26 00:00:00,114.23,19990900,114.72,19990600,114.23,19990900
1999-05-27 00:00:00,113.66,19990900,114.17,19990600,113.66,19990900
1999-05-28 00:00:00,113.69,19990900,114.24,19990600,113.69,19990900
1999-05-31 00:00:00,113.58,19990900,114.16,19990600,113.58,19990900
1999-06-01 00:00:00,112.63,19990900,113.15,19990600,112.63,19990900
1999-06-02 00:00:00,112.29,19990900,112.9,19990600,112.29,19990900
1999-06-04 00:00:00,111.09,19991200,112.08,19990900,111.09,19991200
1999-06-07 00:00:00,111.56,19991200,112.52,19990900,111.56,19991200
1999-06-08 00:00:00,111.41,19991200,112.41,19990900,111.41,19991200
1999-06-09 00:00:00,111.14,19991200,112.12,19990900,111.14,19991200
1999-06-10 00:00:00,110.06,19991200,111.05,19990900,110.06,19991200
1999-06-11 00:00:00,109.79,19991200,110.78,19990900,109.79,19991200
1999-06-14 00:00:00,110.48,19991200,111.45,19990900,110.48,19991200
1999-06-15 00:00:00,110.72,19991200,111.68,19990900,110.72,19991200
1999-06-16 00:00:00,110.79,19991200,111.76,19990900,110.79,19991200
1999-06-17 00:00:00,111.42,19991200,112.42,19990900,111.42,19991200
1999-06-18 00:00:00,111.23,19991200,112.24,19990900,111.23,19991200
1999-06-21 00:00:00,110.33,19991200,111.36,19990900,110.33,19991200
1999-06-22 00:00:00,109.98,19991200,111.01,19990900,109.98,19991200
1999-06-23 00:00:00,109.4,19991200,110.42,19990900,109.4,19991200
1999-06-24 00:00:00,108.48,19991200,109.51,19990900,108.48,19991200
1999-06-25 00:00:00,108.93,19991200,109.98,19990900,108.93,19991200
1999-06-28 00:00:00,108.86,19991200,109.92,19990900,108.86,19991200
1999-06-29 00:00:00,109.15,19991200,110.28,19990900,109.15,19991200
1999-06-30 00:00:00,109.32,19991200,110.41,19990900,109.32,19991200
1999-07-01 00:00:00,108.73,19991200,109.83,19990900,108.73,19991200
1999-07-02 00:00:00,108.35,19991200,109.48,19990900,108.35,19991200
1999-07-05 00:00:00,108.5,19991200,109.6,19990900,108.5,19991200
1999-07-06 00:00:00,107.89,19991200,109.0,19990900,107.89,19991200
1999-07-07 00:00:00,107.16,19991200,108.3,19990900,107.16,19991200
1999-07-08 00:00:00,107.48,19991200,108.63,19990900,107.48,19991200
1999-07-09 00:00:00,107.39,19991200,108.52,19990900,107.39,19991200
1999-07-12 00:00:00,108.23,19991200,109.38,19990900,108.23,19991200
1999-07-13 00:00:00,108.16,19991200,109.33,19990900,108.16,19991200
1999-07-14 00:00:00,108.33,19991200,109.47,19990900,108.33,19991200
