DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1988-09-19,1381.0,1386.0,1386.0,19881000,19881100,19881100
1988-09-20,1376.0,1381.0,1381.0,19881000,19881100,19881100
1988-09-21,1399.5,1406.0,1406.0,19881000,19881100,19881100
1988-09-22,1396.0,1402.0,1402.0,19881000,19881100,19881100
1988-09-23,1397.0,1403.0,1403.0,19881000,19881100,19881100
1988-09-26,1410.0,1420.0,1420.0,19881000,19881100,19881100
1988-09-27,1397.0,1406.0,1406.0,19881000,19881100,19881100
1988-09-28,1403.5,1412.0,1412.0,19881000,19881100,19881100
1988-09-29,1434.0,1442.0,1442.0,19881000,19881100,19881100
1988-09-30,1430.0,1439.0,1439.0,19881000,19881100,19881100
1988-10-03,1420.0,1431.0,1431.0,19881000,19881100,19881100
1988-10-04,1436.0,1445.0,1445.0,19881000,19881100,19881100
1988-10-05,1438.0,1447.0,1447.0,19881000,19881100,19881100
1988-10-06,1439.0,1448.0,1448.0,19881000,19881100,19881100
1988-10-07,1446.0,1455.0,1455.0,19881000,19881100,19881100
1988-10-10,1439.0,1447.0,1447.0,19881000,19881100,19881100
1988-10-11,1400.0,1407.0,1407.0,19881000,19881100,19881100
1988-10-12,1400.0,1408.0,1408.0,19881000,19881100,19881100
1988-10-13,1440.0,1448.0,1448.0,19881000,19881100,19881100
1988-10-14,1439.0,1447.0,1447.0,19881000,19881100,19881100
1988-10-17,1409.0,1417.0,1417.0,19881000,19881100,19881100
1988-10-18,1428.0,1435.0,1435.0,19881100,19881200,19881200
1988-10-19,1453.0,1460.0,1460.0,19881100,19881200,19881200
1988-10-20,1458.0,1464.0,1464.0,19881100,19881200,19881200
1988-10-21,1459.0,1465.0,1465.0,19881100,19881200,19881200
1988-10-24,1468.0,1473.0,1473.0,19881100,19881200,19881200
1988-10-25,1472.0,1477.0,1477.0,19881100,19881200,19881200
1988-10-26,1474.0,1480.0,1480.0,19881100,19881200,19881200
1988-10-27,1474.0,1479.0,1479.0,19881100,19881200,19881200
1988-10-28,1489.0,1494.0,1494.0,19881100,19881200,19881200
1988-11-02,1500.5,1506.0,1506.0,19881100,19881200,19881200
1988-11-03,1500.0,1505.0,1505.0,19881100,19881200,19881200
1988-11-04,1503.0,1507.0,1507.0,19881100,19881200,19881200
1988-11-07,1485.0,1489.0,1489.0,19881100,19881200,19881200
1988-11-08,1500.0,1505.0,1505.0,19881100,19881200,19881200
