DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1984-12-14 00:00:00,0.753,19850600,0.7545,19850300,0.753,19850600
1984-12-17 00:00:00,0.7533,19850600,0.7548,19850300,0.7533,19850600
1984-12-18 00:00:00,0.7546,19850600,0.7562,19850300,0.7546,19850600
1984-12-19 00:00:00,0.7536,19850600,0.7553,19850300,0.7536,19850600
1984-12-20 00:00:00,0.7556,19850600,0.757,19850300,0.7556,19850600
1984-12-21 00:00:00,0.7568,19850600,0.7582,19850300,0.7568,19850600
1984-12-24 00:00:00,0.7559,19850600,0.7573,19850300,0.7559,19850600
1984-12-26 00:00:00,0.7547,19850600,0.7559999999999999,19850300,0.7547,19850600
1984-12-27 00:00:00,0.7537,19850600,0.7551,19850300,0.7537,19850600
1984-12-28 00:00:00,0.7541,19850600,0.7555,19850300,0.7541,19850600
1984-12-31 00:00:00,0.7525,19850600,0.7538,19850300,0.7525,19850600
1985-01-02 00:00:00,0.7525,19850600,0.7541,19850300,0.7525,19850600
1985-01-03 00:00:00,0.7539,19850600,0.7552,19850300,0.7539,19850600
1985-01-04 00:00:00,0.7531,19850600,0.7544,19850300,0.7531,19850600
1985-01-07 00:00:00,0.7542,19850600,0.7556,19850300,0.7542,19850600
1985-01-08 00:00:00,0.7533,19850600,0.7549,19850300,0.7533,19850600
1985-01-09 00:00:00,0.7537,19850600,0.7552,19850300,0.7537,19850600
1985-01-10 00:00:00,0.753,19850600,0.7547,19850300,0.753,19850600
1985-01-11 00:00:00,0.753,19850600,0.7546,19850300,0.753,19850600
1985-01-14 00:00:00,0.7509999999999999,19850600,0.7526,19850300,0.7509999999999999,19850600
1985-01-15 00:00:00,0.7502,19850600,0.7518,19850300,0.7502,19850600
1985-01-16 00:00:00,0.7513,19850600,0.7528,19850300,0.7513,19850600
1985-01-17 00:00:00,0.7498,19850600,0.7514,19850300,0.7498,19850600
1985-01-18 00:00:00,0.7517,19850600,0.7533,19850300,0.7517,19850600
1985-01-21 00:00:00,0.7533,19850600,0.7546,19850300,0.7533,19850600
1985-01-22 00:00:00,0.7525,19850600,0.754,19850300,0.7525,19850600
1985-01-23 00:00:00,0.7519,19850600,0.7533,19850300,0.7519,19850600
1985-01-24 00:00:00,0.7524,19850600,0.7538,19850300,0.7524,19850600
1985-01-25 00:00:00,0.7525,19850600,0.7539,19850300,0.7525,19850600
1985-01-28 00:00:00,0.7511,19850600,0.7526,19850300,0.7511,19850600
1985-01-29 00:00:00,0.7511,19850600,0.7526,19850300,0.7511,19850600
1985-01-30 00:00:00,0.7498,19850600,0.7513,19850300,0.7498,19850600
1985-01-31 00:00:00,0.7506,19850600,0.7522,19850300,0.7506,19850600
1985-02-01 00:00:00,0.7501,19850600,0.7516,19850300,0.7501,19850600
1985-02-04 00:00:00,0.7474,19850600,0.7489,19850300,0.7474,19850600
