DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1979-12-31,105.2,104.75,,19800300,19800700,19800400
1980-01-02,110.2,109.75,,19800300,19800700,19800400
1980-01-03,113.9,114.0,,19800300,19800700,19800400
1980-01-04,111.5,112.0,,19800300,19800700,19800400
1980-01-07,106.7,107.8,,19800300,19800700,19800400
1980-01-08,103.3,105.1,,19800300,19800700,19800400
1980-01-09,105.7,107.7,,19800300,19800700,19800400
1980-01-10,104.0,106.1,,19800300,19800700,19800400
1980-01-11,108.7,111.1,,19800300,19800700,19800400
1980-01-14,110.3,113.5,,19800300,19800700,19800400
1980-01-15,111.4,115.0,,19800300,19800700,19800400
1980-01-16,116.4,120.0,,19800300,19800700,19800400
1980-01-17,121.4,125.0,,19800300,19800700,19800400
1980-01-18,128.9,132.5,,19800300,19800700,19800400
1980-01-21,138.9,142.5,,19800300,19800700,19800400
1980-01-22,128.9,132.5,,19800300,19800700,19800400
1980-01-23,120.4,122.7,,19800300,19800700,19800400
1980-01-24,126.3,127.5,,19800300,19800700,19800400
1980-01-25,132.0,132.5,,19800300,19800700,19800400
1980-01-28,126.4,127.4,,19800300,19800700,19800400
1980-01-29,131.4,132.4,,19800300,19800700,19800400
1980-01-30,133.8,135.8,134.3,19800300,19800700,19800400
1980-01-31,130.5,132.4,131.05,19800300,19800700,19800400
1980-02-01,130.7,133.25,132.0,19800300,19800700,19800400
1980-02-04,126.3,128.8,127.0,19800300,19800700,19800400
1980-02-05,131.3,133.8,132.0,19800300,19800700,19800400
1980-02-06,133.5,136.5,134.75,19800300,19800700,19800400
1980-02-07,131.7,134.2,132.55,19800300,19800700,19800400
1980-02-08,136.7,139.2,137.55,19800300,19800700,19800400
1980-02-11,141.7,144.2,142.55,19800300,19800700,19800400
1980-02-12,143.0,146.5,144.1,19800300,19800700,19800400
1980-02-13,141.5,145.2,142.75,19800300,19800700,19800400
1980-02-14,141.2,146.4,143.0,19800300,19800700,19800400
1980-02-15,136.2,141.4,138.0,19800300,19800700,19800400
1980-02-19,131.2,136.4,133.0,19800300,19800700,19800400
1980-02-20,127.4,130.5,126.35,19800300,19800700,19800400
1980-02-21,127.4,133.8,129.2,19800300,19800700,19800400
1980-02-22,122.4,128.8,124.2,19800300,19800700,19800400
1980-02-25,117.4,123.8,119.2,19800300,19800700,19800400
1980-02-26,117.3,124.4,119.2,19800300,19800700,19800400
1980-02-27,121.6,128.8,123.8,19800300,19800700,19800400
1980-02-28,128.0,130.0,130.0,19800700,19800900,19800900
1980-02-29,125.8,128.0,128.0,19800700,19800900,19800900
1980-03-03,120.8,123.0,123.0,19800700,19800900,19800900
1980-03-04,119.5,122.1,122.1,19800700,19800900,19800900
1980-03-05,121.8,124.4,124.4,19800700,19800900,19800900
1980-03-06,116.8,119.4,119.4,19800700,19800900,19800900
1980-03-07,111.8,114.4,114.4,19800700,19800900,19800900
1980-03-10,104.3,106.9,106.9,19800700,19800900,19800900
1980-03-11,106.3,108.6,108.6,19800700,19800900,19800900
1980-03-12,103.2,105.5,105.5,19800700,19800900,19800900
1980-03-13,98.0,100.5,100.5,19800700,19800900,19800900
1980-03-14,102.0,104.5,104.5,19800700,19800900,19800900
