DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1980-03-10,80.37,80.3,80.3,19800500,19800700,19800700
1980-03-11,80.34,80.2,80.2,19800500,19800700,19800700
1980-03-12,79.65,79.57,79.57,19800500,19800700,19800700
1980-03-13,77.65,77.57,77.57,19800500,19800700,19800700
1980-03-14,79.62,78.9,78.9,19800500,19800700,19800700
1980-03-17,81.62,80.68,80.68,19800500,19800700,19800700
1980-03-18,83.62,82.57,82.57,19800500,19800700,19800700
1980-03-19,85.62,84.46,84.46,19800500,19800700,19800700
1980-03-20,87.62,85.55,85.55,19800500,19800700,19800700
1980-03-21,89.62,87.55,87.55,19800500,19800700,19800700
1980-03-24,87.62,85.55,85.55,19800500,19800700,19800700
1980-03-25,85.62,83.61,83.61,19800500,19800700,19800700
1980-03-26,87.62,85.61,85.61,19800500,19800700,19800700
1980-03-27,85.62,83.61,83.61,19800500,19800700,19800700
1980-03-28,87.12,85.37,85.37,19800500,19800700,19800700
1980-03-31,85.12,83.66,83.66,19800500,19800700,19800700
1980-04-01,83.12,81.66,81.66,19800500,19800700,19800700
1980-04-02,81.12,79.72,79.72,19800500,19800700,19800700
1980-04-03,82.03,81.4,81.4,19800500,19800700,19800700
1980-04-07,82.65,82.21,82.21,19800500,19800700,19800700
1980-04-08,80.65,80.27,80.27,19800500,19800700,19800700
1980-04-09,81.95,81.35,81.35,19800500,19800700,19800700
1980-04-10,83.27,82.31,82.31,19800500,19800700,19800700
1980-04-11,84.97,83.28,83.28,19800500,19800700,19800700
1980-04-14,85.55,83.6,83.6,19800500,19800700,19800700
1980-04-15,84.23,82.17,82.17,19800500,19800700,19800700
1980-04-16,86.21,83.46,83.46,19800500,19800700,19800700
1980-04-17,85.19,81.84,81.84,19800500,19800700,19800700
1980-04-18,83.19,79.84,79.84,19800500,19800700,19800700
1980-04-21,81.19,77.84,77.84,19800500,19800700,19800700
1980-04-22,83.11,79.79,79.79,19800500,19800700,19800700
1980-04-23,83.02,79.98,79.98,19800500,19800700,19800700
1980-04-24,85.3,81.98,81.98,19800500,19800700,19800700
1980-04-25,85.05,81.08,81.08,19800500,19800700,19800700
1980-04-28,81.72,79.12,79.12,19800500,19800700,19800700
1980-04-29,82.6,80.02,80.02,19800500,19800700,19800700
1980-04-30,81.99,79.87,79.87,19800500,19800700,19800700
1980-05-01,83.9,81.79,81.79,19800500,19800700,19800700
1980-05-02,82.7,80.05,80.05,19800500,19800700,19800700
1980-05-05,81.9,79.64,79.64,19800500,19800700,19800700
1980-05-06,80.95,79.15,79.15,19800500,19800700,19800700
1980-05-07,83.75,81.15,81.15,19800500,19800700,19800700
1980-05-08,82.87,78.63,78.63,19800700,19801000,19801000
1980-05-09,84.42,79.92,79.92,19800700,19801000,19801000
1980-05-12,85.02,80.4,80.4,19800700,19801000,19801000
1980-05-13,84.11,80.07,80.07,19800700,19801000,19801000
1980-05-14,82.11,78.18,78.18,19800700,19801000,19801000
1980-05-15,80.25,76.5,76.5,19800700,19801000,19801000
1980-05-16,81.12,77.55,77.55,19800700,19801000,19801000
1980-05-19,79.23,76.42,76.42,19800700,19801000,19801000
1980-05-20,78.25,75.87,75.87,19800700,19801000,19801000
1980-05-21,79.81,77.31,77.31,19800700,19801000,19801000
1980-05-22,77.9,75.59,75.59,19800700,19801000,19801000
1980-05-23,77.59,75.55,75.55,19800700,19801000,19801000
1980-05-27,75.72,74.31,74.31,19800700,19801000,19801000
1980-05-28,76.55,74.98,74.98,19800700,19801000,19801000
1980-05-29,74.98,74.32,74.32,19800700,19801000,19801000
1980-05-30,74.62,73.54,73.54,19800700,19801000,19801000
1980-06-02,73.69,72.54,72.54,19800700,19801000,19801000
1980-06-03,73.85,72.0,72.0,19800700,19801000,19801000
1980-06-04,75.85,73.85,73.85,19800700,19801000,19801000
1980-06-05,73.85,71.85,71.85,19800700,19801000,19801000
1980-06-06,74.55,71.63,71.63,19800700,19801000,19801000
1980-06-09,75.63,71.95,71.95,19800700,19801000,19801000
1980-06-10,75.17,72.0,72.0,19800700,19801000,19801000
1980-06-11,75.08,71.95,71.95,19800700,19801000,19801000
1980-06-12,73.96,71.57,71.57,19800700,19801000,19801000
1980-06-13,72.99,71.4,71.4,19800700,19801000,19801000
1980-06-16,71.78,70.9,70.9,19800700,19801000,19801000
1980-06-17,72.41,71.32,71.32,19800700,19801000,19801000
1980-06-18,74.41,73.21,73.21,19800700,19801000,19801000
1980-06-19,73.38,71.94,71.94,19800700,19801000,19801000
1980-06-20,74.38,72.55,72.55,19800700,19801000,19801000
1980-06-23,73.52,71.85,71.85,19800700,19801000,19801000
1980-06-24,74.82,72.82,72.82,19800700,19801000,19801000
1980-06-25,76.1,73.2,73.2,19800700,19801000,19801000
1980-06-26,74.96,71.65,71.65,19800700,19801000,19801000
1980-06-27,74.66,71.3,71.3,19800700,19801000,19801000
1980-06-30,78.63,73.3,73.3,19800700,19801000,19801000
1980-07-01,77.9,75.3,75.3,19800700,19801000,19801000
1980-07-02,79.14,77.23,77.23,19800700,19801000,19801000
1980-07-03,78.31,76.95,76.95,19800700,19801000,19801000
1980-07-07,79.9,78.57,78.57,19800700,19801000,19801000
1980-07-08,79.85,77.41,77.41,19800700,19801000,19801000
1980-07-09,77.57,77.92,77.92,19800700,19801000,19801000
1980-07-10,77.25,75.75,75.75,19801000,19801200,19801200
1980-07-11,79.25,77.75,77.75,19801000,19801200,19801200
1980-07-14,81.25,79.75,79.75,19801000,19801200,19801200
1980-07-15,82.48,80.87,80.87,19801000,19801200,19801200
1980-07-16,84.36,82.15,82.15,19801000,19801200,19801200
1980-07-17,84.35,82.1,82.1,19801000,19801200,19801200
1980-07-18,83.75,80.79,80.79,19801000,19801200,19801200
1980-07-21,81.75,78.79,78.79,19801000,19801200,19801200
1980-07-22,79.75,77.0,77.0,19801000,19801200,19801200
1980-07-23,80.87,78.22,78.22,19801000,19801200,19801200
1980-07-24,79.16,77.12,77.12,19801000,19801200,19801200
1980-07-25,81.16,79.12,79.12,19801000,19801200,19801200
1980-07-28,83.16,81.12,81.12,19801000,19801200,19801200
1980-07-29,85.16,83.12,83.12,19801000,19801200,19801200
1980-07-30,87.5,84.6,84.6,19801000,19801200,19801200
1980-07-31,86.9,84.58,84.58,19801000,19801200,19801200
1980-08-01,88.75,86.22,86.22,19801000,19801200,19801200
1980-08-04,86.75,84.22,84.22,19801000,19801200,19801200
1980-08-05,86.48,83.82,83.82,19801000,19801200,19801200
1980-08-06,86.0,83.1,83.1,19801000,19801200,19801200
1980-08-07,84.74,81.58,81.58,19801000,19801200,19801200
1980-08-08,86.74,83.58,83.58,19801000,19801200,19801200
1980-08-11,85.86,82.75,82.75,19801000,19801200,19801200
1980-08-12,87.86,84.75,84.75,19801000,19801200,19801200
1980-08-13,89.86,86.75,86.75,19801000,19801200,19801200
1980-08-14,88.52,87.11,87.11,19801000,19801200,19801200
1980-08-15,88.21,86.65,86.65,19801000,19801200,19801200
1980-08-18,86.93,85.77,85.77,19801000,19801200,19801200
1980-08-19,88.39,86.95,86.95,19801000,19801200,19801200
1980-08-20,90.39,88.95,88.95,19801000,19801200,19801200
1980-08-21,88.54,88.15,88.15,19801000,19801200,19801200
