DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1989-10-12,18.73,,18.75,19901200,19911200,19901100
1989-10-13,18.72,,18.74,19901200,19911200,19901100
1989-10-16,18.49,,18.52,19901200,19911200,19901100
1989-10-17,18.67,,18.7,19901200,19911200,19901100
1989-10-18,18.57,,18.59,19901200,19911200,19901100
1989-10-19,18.63,,18.66,19901200,19911200,19901100
1989-10-20,18.67,,18.69,19901200,19911200,19901100
1989-10-23,18.58,,18.59,19901200,19911200,19901100
1989-10-24,18.59,,18.6,19901200,19911200,19901100
1989-10-25,18.82,,18.83,19901200,19911200,19901100
1989-10-26,18.6,,18.6,19901200,19911200,19901100
1989-10-27,18.58,,18.6,19901200,19911200,19901100
1989-10-30,18.32,,18.34,19901200,19911200,19901100
1989-10-31,18.47,,18.49,19901200,19911200,19901100
1989-11-01,18.64,,18.65,19901200,19911200,19901100
1989-11-02,18.63,,18.64,19901200,19911200,19901100
1989-11-03,18.74,,18.75,19901200,19911200,19901100
1989-11-06,18.7,,18.71,19901200,19911200,19901100
1989-11-07,18.69,,18.7,19901200,19911200,19901100
1989-11-08,18.66,,18.67,19901200,19911200,19901100
1989-11-09,18.84,,18.85,19901200,19911200,19901100
1989-11-10,18.69,,18.7,19901200,19911200,19901100
1989-11-13,18.51,,18.52,19901200,19911200,19901100
1989-11-14,18.52,,18.53,19901200,19911200,19901100
1989-11-15,18.44,,18.45,19901200,19911200,19901100
1989-11-16,18.55,,18.56,19901200,19911200,19901100
1989-11-17,18.61,,18.62,19901200,19911200,19901100
1989-11-20,18.63,,18.65,19901200,19911200,19901100
1989-11-21,18.4,,18.43,19901200,19911200,19901100
1989-11-22,18.33,,18.36,19901200,19911200,19901100
1989-11-24,18.4,,18.44,19901200,19911200,19901100
1989-11-27,18.31,,18.34,19901200,19911200,19901100
1989-11-28,18.02,,18.04,19901200,19911200,19901100
1989-11-29,18.09,,18.11,19901200,19911200,19901100
1989-11-30,18.49,,18.51,19901200,19911200,19901100
1989-12-01,18.86,,18.89,19901200,19911200,19901100
1989-12-04,18.79,,18.82,19901200,19911200,19901100
1989-12-05,18.85,,18.88,19901200,19911200,19901100
1989-12-06,18.96,,19.0,19901200,19911200,19901100
1989-12-07,18.93,,18.97,19901200,19911200,19901100
1989-12-08,18.99,,19.03,19901200,19911200,19901100
1989-12-11,19.2,,19.23,19901200,19911200,19901100
1989-12-12,18.83,,18.88,19901200,19911200,19901100
1989-12-13,18.89,,18.92,19901200,19911200,19901100
1989-12-14,18.84,,18.87,19901200,19911200,19901100
1989-12-15,18.94,,18.98,19901200,19911200,19901100
1989-12-18,19.02,,19.08,19901200,19911200,19901100
1989-12-19,19.07,,19.13,19901200,19911200,19901100
1989-12-20,18.99,,19.05,19901200,19911200,19901100
1989-12-21,19.33,,19.39,19901200,19911200,19901100
1989-12-22,19.06,,19.12,19901200,19911200,19901100
1989-12-26,19.47,,19.54,19901200,19911200,19901100
1989-12-27,19.61,,19.67,19901200,19911200,19901100
1989-12-28,19.44,,19.5,19901200,19911200,19901100
1989-12-29,19.6,,19.66,19901200,19911200,19901100
1990-01-02,20.21,,20.27,19901200,19911200,19901100
1990-01-03,20.38,,20.47,19901200,19911200,19901100
1990-01-04,19.81,,19.9,19901200,19911200,19901100
1990-01-05,19.26,,19.33,19901200,19911200,19901100
1990-01-08,18.86,,18.91,19901200,19911200,19901100
1990-01-09,19.02,,19.07,19901200,19911200,19901100
1990-01-10,19.48,,19.54,19901200,19911200,19901100
1990-01-11,19.42,,19.51,19901200,19911200,19901100
1990-01-12,19.09,,19.2,19901200,19911200,19901100
1990-01-15,18.87,,18.97,19901200,19911200,19901100
1990-01-16,18.84,,18.94,19901200,19911200,19901100
1990-01-17,18.79,,18.85,19901200,19911200,19901100
1990-01-18,18.85,,18.91,19901200,19911200,19901100
1990-01-19,19.1,,19.16,19901200,19911200,19901100
1990-01-22,19.17,,19.22,19901200,19911200,19901100
1990-01-23,19.05,,19.11,19901200,19911200,19901100
1990-01-24,19.0,,19.06,19901200,19911200,19901100
1990-01-25,19.38,,19.45,19901200,19911200,19901100
1990-01-26,19.66,,19.74,19901200,19911200,19901100
1990-01-29,19.92,,20.0,19901200,19911200,19901100
1990-01-30,19.85,,19.92,19901200,19911200,19901100
1990-01-31,19.96,,20.03,19901200,19911200,19901100
1990-02-01,20.03,,20.09,19901200,19911200,19901100
1990-02-02,20.42,,20.48,19901200,19911200,19901100
1990-02-05,19.91,,19.97,19901200,19911200,19901100
1990-02-06,19.86,,19.93,19901200,19911200,19901100
1990-02-07,19.96,,20.03,19901200,19911200,19901100
1990-02-08,20.06,,20.12,19901200,19911200,19901100
1990-02-09,20.51,,20.54,19901200,19911200,19901100
1990-02-12,20.63,,20.67,19901200,19911200,19901100
1990-02-13,20.73,,20.77,19901200,19911200,19901100
1990-02-14,20.78,,20.82,19901200,19911200,19901100
1990-02-15,21.19,,21.23,19901200,19911200,19901100
1990-02-16,20.92,,20.97,19901200,19911200,19901100
1990-02-20,20.71,,20.76,19901200,19911200,19901100
1990-02-21,20.53,,20.56,19901200,19911200,19901100
1990-02-22,20.71,,20.74,19901200,19911200,19901100
1990-02-23,20.82,,20.82,19901200,19911200,19901100
1990-02-26,21.45,,21.44,19901200,19911200,19901100
1990-02-27,21.2,,21.21,19901200,19911200,19901100
1990-02-28,20.98,,21.0,19901200,19911200,19901100
1990-03-01,20.66,,20.68,19901200,19911200,19901100
1990-03-02,20.7,,20.73,19901200,19911200,19901100
1990-03-05,21.04,,21.08,19901200,19911200,19901100
1990-03-06,20.89,,20.93,19901200,19911200,19901100
1990-03-07,20.85,,20.88,19901200,19911200,19901100
1990-03-08,20.7,,20.73,19901200,19911200,19901100
1990-03-09,20.47,,20.49,19901200,19911200,19901100
1990-03-12,20.21,,20.23,19901200,19911200,19901100
1990-03-13,20.24,,20.26,19901200,19911200,19901100
1990-03-14,20.38,,20.4,19901200,19911200,19901100
1990-03-15,20.6,,20.64,19901200,19911200,19901100
1990-03-16,20.59,,20.61,19901200,19911200,19901100
1990-03-19,20.6,,20.61,19901200,19911200,19901100
1990-03-20,20.44,,20.45,19901200,19911200,19901100
1990-03-21,20.45,,20.46,19901200,19911200,19901100
1990-03-22,20.13,,20.16,19901200,19911200,19901100
1990-03-23,20.27,,20.31,19901200,19911200,19901100
1990-03-26,20.28,,20.32,19901200,19911200,19901100
1990-03-27,20.42,,20.46,19901200,19911200,19901100
1990-03-28,20.46,,20.48,19901200,19911200,19901100
1990-03-29,20.55,,20.55,19901200,19911200,19901100
1990-03-30,20.76,,20.76,19901200,19911200,19901100
1990-04-02,21.0,,21.02,19901200,19911200,19901100
1990-04-03,20.9,,20.92,19901200,19911200,19901100
1990-04-04,20.69,,20.71,19901200,19911200,19901100
1990-04-05,20.34,,20.35,19901200,19911200,19901100
