DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1999-03-12,5065.0,5100.5,5100.5,19990600,19990900,19990900
1999-03-15,5079.0,5113.0,5113.0,19990600,19990900,19990900
1999-03-16,5121.0,5157.0,5157.0,19990600,19990900,19990900
1999-03-17,5094.0,5131.5,5131.5,19990600,19990900,19990900
1999-03-18,5056.0,5094.0,5094.0,19990600,19990900,19990900
1999-03-19,5135.5,5173.0,5173.0,19990600,19990900,19990900
1999-03-22,5059.0,5096.5,5096.5,19990600,19990900,19990900
1999-03-23,4889.0,4926.0,4926.0,19990600,19990900,19990900
1999-03-24,4810.0,4845.0,4845.0,19990600,19990900,19990900
1999-03-25,4889.0,4923.5,4923.5,19990600,19990900,19990900
1999-03-26,4830.0,4864.0,4864.0,19990600,19990900,19990900
1999-03-29,4888.5,4921.5,4921.5,19990600,19990900,19990900
1999-03-30,4865.0,4898.5,4898.5,19990600,19990900,19990900
1999-03-31,4866.0,4899.5,4899.5,19990600,19990900,19990900
1999-04-01,4923.5,4956.5,4956.5,19990600,19990900,19990900
1999-04-06,5047.0,5081.0,5081.0,19990600,19990900,19990900
1999-04-07,5025.0,5060.0,5060.0,19990600,19990900,19990900
1999-04-08,5085.0,5119.0,5119.0,19990600,19990900,19990900
1999-04-09,5172.0,5205.0,5205.0,19990600,19990900,19990900
1999-04-12,5170.0,5204.0,5204.0,19990600,19990900,19990900
1999-04-13,5229.5,5263.5,5263.5,19990600,19990900,19990900
1999-04-14,5195.0,5229.0,5229.0,19990600,19990900,19990900
1999-04-15,5197.0,5231.0,5231.0,19990600,19990900,19990900
1999-04-16,5169.5,5203.0,5203.0,19990600,19990900,19990900
1999-04-19,5262.5,5296.0,5296.0,19990600,19990900,19990900
1999-04-20,5111.0,5144.0,5144.0,19990600,19990900,19990900
1999-04-21,5185.0,5218.5,5218.5,19990600,19990900,19990900
1999-04-22,5235.5,5269.5,5269.5,19990600,19990900,19990900
1999-04-23,5213.0,5246.5,5246.5,19990600,19990900,19990900
1999-04-26,5285.0,5318.5,5318.5,19990600,19990900,19990900
