DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1999-01-06,96.62,96.64,96.82,20001200,20010300,20000900
1999-01-07,96.64,96.64,96.84,20001200,20010300,20000900
1999-01-08,96.66,96.66,96.86,20001200,20010300,20000900
1999-01-11,96.64,96.65,96.84,20001200,20010300,20000900
1999-01-12,96.66,96.66,96.86,20001200,20010300,20000900
1999-01-13,96.7,96.7,96.91,20001200,20010300,20000900
1999-01-14,96.72,96.72,96.94,20001200,20010300,20000900
1999-01-15,96.71,96.72,96.95,20001200,20010300,20000900
1999-01-18,96.74,96.65,96.74,20010300,20010600,20001200
1999-01-19,96.76,96.67,96.76,20010300,20010600,20001200
1999-01-20,96.74,96.65,96.74,20010300,20010600,20001200
1999-01-21,96.76,96.66,96.76,20010300,20010600,20001200
1999-01-22,96.8,96.7,96.79,20010300,20010600,20001200
1999-01-25,96.8,96.7,96.8,20010300,20010600,20001200
1999-01-26,96.81,96.71,96.8,20010300,20010600,20001200
1999-01-27,96.8,96.7,96.79,20010300,20010600,20001200
1999-01-28,96.8,96.71,96.8,20010300,20010600,20001200
1999-01-29,96.81,96.72,96.8,20010300,20010600,20001200
1999-02-01,96.76,96.66,96.76,20010300,20010600,20001200
1999-02-02,96.74,96.65,96.75,20010300,20010600,20001200
1999-02-03,96.71,96.62,96.74,20010300,20010600,20001200
1999-02-04,96.64,96.56,96.68,20010300,20010600,20001200
1999-02-05,96.66,96.56,96.7,20010300,20010600,20001200
1999-02-08,96.62,96.53,96.66,20010300,20010600,20001200
1999-02-09,96.66,96.57,96.7,20010300,20010600,20001200
1999-02-10,96.68,96.58,96.72,20010300,20010600,20001200
1999-02-11,96.7,96.6,96.74,20010300,20010600,20001200
1999-02-12,96.65,96.55,96.71,20010300,20010600,20001200
1999-02-15,96.58,96.48,96.66,20010300,20010600,20001200
1999-02-16,96.58,96.47,96.64,20010300,20010600,20001200
1999-02-17,96.58,96.48,96.64,20010300,20010600,20001200
1999-02-18,96.56,96.46,96.62,20010300,20010600,20001200
1999-02-19,96.58,96.47,96.64,20010300,20010600,20001200
1999-02-22,96.6,96.5,96.66,20010300,20010600,20001200
1999-02-23,96.63,96.53,96.68,20010300,20010600,20001200
1999-02-24,96.62,96.52,96.66,20010300,20010600,20001200
1999-02-25,96.55,96.45,96.6,20010300,20010600,20001200
1999-02-26,96.48,96.38,96.52,20010300,20010600,20001200
1999-03-01,96.39,96.3,96.43,20010300,20010600,20001200
1999-03-02,96.4,96.32,96.44,20010300,20010600,20001200
1999-03-03,96.38,96.3,96.42,20010300,20010600,20001200
1999-03-04,96.37,96.28,96.42,20010300,20010600,20001200
1999-03-05,96.53,96.44,96.57,20010300,20010600,20001200
1999-03-08,96.56,96.46,96.6,20010300,20010600,20001200
1999-03-09,96.54,96.42,96.58,20010300,20010600,20001200
1999-03-10,96.57,96.46,96.62,20010300,20010600,20001200
1999-03-11,96.62,96.51,96.67,20010300,20010600,20001200
1999-03-12,96.64,96.53,96.68,20010300,20010600,20001200
1999-03-15,96.65,96.54,96.69,20010300,20010600,20001200
1999-03-16,96.66,96.55,96.7,20010300,20010600,20001200
1999-03-17,96.68,96.58,96.72,20010300,20010600,20001200
1999-03-18,96.71,96.61,96.76,20010300,20010600,20001200
1999-03-19,96.7,96.6,96.74,20010300,20010600,20001200
1999-03-22,96.66,96.56,96.7,20010300,20010600,20001200
1999-03-23,96.64,96.54,96.68,20010300,20010600,20001200
1999-03-24,96.66,96.56,96.7,20010300,20010600,20001200
1999-03-25,96.68,96.58,96.72,20010300,20010600,20001200
1999-03-26,96.64,96.54,96.68,20010300,20010600,20001200
1999-03-29,96.65,96.54,96.71,20010300,20010600,20001200
1999-03-30,96.7,96.58,96.76,20010300,20010600,20001200
1999-03-31,96.75,96.63,96.81,20010300,20010600,20001200
1999-04-01,96.76,96.64,96.82,20010300,20010600,20001200
1999-04-06,96.82,96.71,96.87,20010300,20010600,20001200
1999-04-07,96.82,96.71,96.86,20010300,20010600,20001200
1999-04-08,96.79,96.68,96.84,20010300,20010600,20001200
1999-04-09,96.86,96.75,96.9,20010300,20010600,20001200
1999-04-12,96.88,96.77,96.91,20010300,20010600,20001200
1999-04-13,96.84,96.74,96.88,20010300,20010600,20001200
1999-04-14,96.84,96.72,96.88,20010300,20010600,20001200
1999-04-15,96.8,96.69,96.84,20010300,20010600,20001200
1999-04-16,96.8,96.69,96.84,20010300,20010600,20001200
1999-04-19,96.72,96.62,96.82,20010600,20010900,20010300
1999-04-20,96.78,96.68,96.89,20010600,20010900,20010300
1999-04-21,96.8,96.7,96.91,20010600,20010900,20010300
1999-04-22,96.8,96.7,96.91,20010600,20010900,20010300
1999-04-23,96.82,96.72,96.93,20010600,20010900,20010300
1999-04-26,96.8,96.71,96.92,20010600,20010900,20010300
1999-04-27,96.84,96.74,96.94,20010600,20010900,20010300
1999-04-28,96.81,96.7,96.92,20010600,20010900,20010300
1999-04-29,96.84,96.73,96.94,20010600,20010900,20010300
1999-04-30,96.84,96.72,96.94,20010600,20010900,20010300
1999-05-03,96.8,96.7,96.9,20010600,20010900,20010300
1999-05-04,96.77,96.66,96.88,20010600,20010900,20010300
1999-05-05,96.76,96.66,96.86,20010600,20010900,20010300
1999-05-06,96.74,96.64,96.84,20010600,20010900,20010300
1999-05-07,96.77,96.66,96.86,20010600,20010900,20010300
1999-05-10,96.77,96.67,96.86,20010600,20010900,20010300
1999-05-11,96.76,96.66,96.86,20010600,20010900,20010300
1999-05-12,96.76,96.66,96.88,20010600,20010900,20010300
1999-05-13,96.81,96.7,96.9,20010600,20010900,20010300
1999-05-14,96.68,96.56,96.78,20010600,20010900,20010300
1999-05-17,96.68,96.56,96.78,20010600,20010900,20010300
1999-05-18,96.68,96.56,96.8,20010600,20010900,20010300
1999-05-19,96.65,96.53,96.76,20010600,20010900,20010300
1999-05-20,96.64,96.52,96.75,20010600,20010900,20010300
1999-05-21,96.67,96.55,96.78,20010600,20010900,20010300
1999-05-24,96.7,96.59,96.8,20010600,20010900,20010300
1999-05-25,96.7,96.58,96.82,20010600,20010900,20010300
1999-05-26,96.7,96.58,96.82,20010600,20010900,20010300
1999-05-27,96.66,96.54,96.78,20010600,20010900,20010300
1999-05-28,96.62,96.51,96.74,20010600,20010900,20010300
1999-05-31,96.59,96.48,96.71,20010600,20010900,20010300
1999-06-01,96.47,96.35,96.6,20010600,20010900,20010300
1999-06-02,96.41,96.29,96.54,20010600,20010900,20010300
1999-06-03,96.47,96.35,96.6,20010600,20010900,20010300
1999-06-04,96.39,96.26,96.53,20010600,20010900,20010300
1999-06-07,96.42,96.29,96.54,20010600,20010900,20010300
1999-06-08,96.45,96.32,96.58,20010600,20010900,20010300
1999-06-09,96.42,96.3,96.56,20010600,20010900,20010300
1999-06-10,96.26,96.14,96.4,20010600,20010900,20010300
1999-06-11,96.26,96.13,96.41,20010600,20010900,20010300
1999-06-14,96.24,96.1,96.38,20010600,20010900,20010300
1999-06-15,96.24,96.1,96.38,20010600,20010900,20010300
1999-06-16,96.24,96.12,96.38,20010600,20010900,20010300
1999-06-17,96.25,96.12,96.39,20010600,20010900,20010300
1999-06-18,96.29,96.16,96.43,20010600,20010900,20010300
1999-06-21,96.19,96.06,96.32,20010600,20010900,20010300
1999-06-22,96.14,96.01,96.26,20010600,20010900,20010300
1999-06-23,96.02,95.9,96.14,20010600,20010900,20010300
1999-06-24,95.88,95.75,96.01,20010600,20010900,20010300
1999-06-25,95.88,95.76,96.02,20010600,20010900,20010300
1999-06-28,95.86,95.74,96.0,20010600,20010900,20010300
1999-06-29,95.9,95.76,96.04,20010600,20010900,20010300
1999-06-30,95.93,95.78,96.08,20010600,20010900,20010300
1999-07-01,95.94,95.8,96.08,20010600,20010900,20010300
1999-07-02,95.94,95.81,96.09,20010600,20010900,20010300
1999-07-05,95.96,95.83,96.1,20010600,20010900,20010300
1999-07-06,95.87,95.72,96.02,20010600,20010900,20010300
1999-07-07,95.81,95.66,95.96,20010600,20010900,20010300
1999-07-08,95.7,95.55,95.86,20010600,20010900,20010300
1999-07-09,95.73,95.58,95.9,20010600,20010900,20010300
1999-07-12,95.7,95.55,95.87,20010600,20010900,20010300
1999-07-13,95.84,95.7,96.02,20010600,20010900,20010300
1999-07-14,95.87,95.72,96.04,20010600,20010900,20010300
1999-07-15,95.66,95.5,95.82,20010600,20010900,20010300
1999-07-16,95.64,95.5,95.81,20010600,20010900,20010300
1999-07-19,95.46,95.28,95.6,20010900,20011200,20010600
1999-07-20,95.56,95.38,95.7,20010900,20011200,20010600
1999-07-21,95.68,95.5,95.82,20010900,20011200,20010600
1999-07-22,95.66,95.48,95.79,20010900,20011200,20010600
1999-07-23,95.65,95.48,95.78,20010900,20011200,20010600
1999-07-26,95.65,95.48,95.78,20010900,20011200,20010600
1999-07-27,95.64,95.48,95.76,20010900,20011200,20010600
1999-07-28,95.63,95.46,95.75,20010900,20011200,20010600
1999-07-29,95.53,95.37,95.66,20010900,20011200,20010600
1999-07-30,95.41,95.25,95.55,20010900,20011200,20010600
1999-08-02,95.23,95.06,95.4,20010900,20011200,20010600
1999-08-03,95.2,95.03,95.37,20010900,20011200,20010600
1999-08-04,95.21,95.04,95.38,20010900,20011200,20010600
1999-08-05,95.09,94.91,95.28,20010900,20011200,20010600
1999-08-06,95.02,94.82,95.22,20010900,20011200,20010600
1999-08-09,95.01,94.81,95.22,20010900,20011200,20010600
1999-08-10,95.09,94.9,95.28,20010900,20011200,20010600
1999-08-11,95.18,94.98,95.34,20010900,20011200,20010600
1999-08-12,95.28,95.1,95.44,20010900,20011200,20010600
1999-08-13,95.33,95.16,95.5,20010900,20011200,20010600
1999-08-16,95.32,95.14,95.49,20010900,20011200,20010600
1999-08-17,95.4,95.22,95.58,20010900,20011200,20010600
1999-08-18,95.46,95.28,95.65,20010900,20011200,20010600
1999-08-19,95.48,95.3,95.67,20010900,20011200,20010600
1999-08-20,95.51,95.33,95.7,20010900,20011200,20010600
1999-08-23,95.52,95.34,95.7,20010900,20011200,20010600
1999-08-24,95.46,95.29,95.64,20010900,20011200,20010600
1999-08-25,95.54,95.36,95.72,20010900,20011200,20010600
1999-08-26,95.49,95.32,95.67,20010900,20011200,20010600
1999-08-27,95.48,95.3,95.68,20010900,20011200,20010600
1999-08-30,95.41,95.23,95.57,20010900,20011200,20010600
