DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1989-07-17,146.25,148.0,148.0,19890900,19891000,19891000
1989-07-18,149.75,151.5,151.5,19890900,19891000,19891000
1989-07-19,148.5,150.5,150.5,19890900,19891000,19891000
1989-07-20,152.0,153.5,153.5,19890900,19891000,19891000
1989-07-21,151.25,153.0,153.0,19890900,19891000,19891000
1989-07-24,147.25,149.5,149.5,19890900,19891000,19891000
1989-07-25,147.25,149.0,149.0,19890900,19891000,19891000
1989-07-26,146.5,148.25,148.25,19890900,19891000,19891000
1989-07-27,147.5,148.75,148.75,19890900,19891000,19891000
1989-07-28,146.25,148.0,148.0,19890900,19891000,19891000
1989-07-31,146.25,147.25,147.25,19890900,19891000,19891000
1989-08-01,146.0,146.75,146.75,19890900,19891000,19891000
1989-08-02,145.25,146.25,146.25,19890900,19891000,19891000
1989-08-03,146.25,146.75,146.75,19890900,19891000,19891000
1989-08-04,145.0,145.75,145.75,19890900,19891000,19891000
1989-08-07,145.25,145.25,145.25,19890900,19891000,19891000
1989-08-08,146.25,146.0,146.0,19890900,19891000,19891000
1989-08-09,148.0,148.0,148.0,19890900,19891000,19891000
1989-08-10,150.0,149.75,149.75,19890900,19891000,19891000
1989-08-11,150.75,150.5,150.5,19890900,19891000,19891000
1989-08-14,148.75,148.5,148.5,19890900,19891000,19891000
1989-08-15,150.5,150.5,150.5,19891000,19891100,19891100
1989-08-16,151.5,151.75,151.75,19891000,19891100,19891100
1989-08-17,153.0,152.0,152.0,19891000,19891100,19891100
1989-08-18,152.75,152.5,152.5,19891000,19891100,19891100
1989-08-21,153.0,152.75,152.75,19891000,19891100,19891100
1989-08-22,153.0,153.5,153.5,19891000,19891100,19891100
1989-08-23,152.5,152.5,152.5,19891000,19891100,19891100
1989-08-24,152.25,152.5,152.5,19891000,19891100,19891100
1989-08-25,152.25,152.75,152.75,19891000,19891100,19891100
1989-08-29,154.25,154.25,154.25,19891000,19891100,19891100
1989-08-30,155.75,155.0,155.0,19891000,19891100,19891100
1989-08-31,157.75,158.0,158.0,19891000,19891100,19891100
1989-09-01,157.25,157.0,157.0,19891000,19891100,19891100
1989-09-04,159.0,158.25,158.25,19891000,19891100,19891100
1989-09-05,159.25,159.0,159.0,19891000,19891100,19891100
1989-09-06,162.5,161.5,161.5,19891000,19891100,19891100
1989-09-07,162.5,161.25,161.25,19891000,19891100,19891100
