DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1990-05-22 00:00:00,1.61,19900700,1.66,19900800,1.68,19900900
1990-05-23 00:00:00,1.6,19900700,1.65,19900800,1.67,19900900
1990-05-24 00:00:00,1.6,19900700,1.64,19900800,1.67,19900900
1990-05-25 00:00:00,1.59,19900700,1.64,19900800,1.66,19900900
1990-05-29 00:00:00,1.58,19900700,1.64,19900800,1.66,19900900
1990-05-30 00:00:00,1.58,19900700,1.64,19900800,1.66,19900900
1990-05-31 00:00:00,1.59,19900700,1.64,19900800,1.67,19900900
1990-06-01 00:00:00,1.58,19900700,1.64,19900800,1.67,19900900
1990-06-04 00:00:00,1.58,19900700,1.64,19900800,1.67,19900900
1990-06-05 00:00:00,1.57,19900700,1.63,19900800,1.66,19900900
1990-06-06 00:00:00,1.56,19900700,1.62,19900800,1.65,19900900
1990-06-07 00:00:00,1.57,19900700,1.63,19900800,1.66,19900900
1990-06-08 00:00:00,1.58,19900700,1.63,19900800,1.66,19900900
1990-06-11 00:00:00,1.57,19900700,1.62,19900800,1.65,19900900
1990-06-12 00:00:00,1.56,19900700,1.6,19900800,1.64,19900900
1990-06-13 00:00:00,1.54,19900700,1.58,19900800,1.62,19900900
1990-06-14 00:00:00,1.55,19900700,1.58,19900800,1.62,19900900
1990-06-15 00:00:00,1.55,19900700,1.58,19900800,1.62,19900900
1990-06-18 00:00:00,1.54,19900700,1.57,19900800,1.61,19900900
1990-06-19 00:00:00,1.54,19900700,1.56,19900800,1.6,19900900
1990-06-20 00:00:00,1.51,19900700,1.56,19900800,1.58,19900900
1990-06-21 00:00:00,1.53,19900800,1.56,19900900,1.63,19901000
1990-06-22 00:00:00,1.52,19900800,1.55,19900900,1.62,19901000
1990-06-25 00:00:00,1.52,19900800,1.55,19900900,1.61,19901000
1990-06-26 00:00:00,1.51,19900800,1.54,19900900,1.61,19901000
1990-06-27 00:00:00,1.5,19900800,1.53,19900900,1.59,19901000
1990-06-28 00:00:00,1.52,19900800,1.54,19900900,1.58,19901000
1990-06-29 00:00:00,1.52,19900800,1.55,19900900,1.6,19901000
1990-07-02 00:00:00,1.52,19900800,1.54,19900900,1.59,19901000
1990-07-03 00:00:00,1.52,19900800,1.55,19900900,1.6,19901000
1990-07-05 00:00:00,1.51,19900800,1.54,19900900,1.59,19901000
1990-07-06 00:00:00,1.5,19900800,1.52,19900900,1.57,19901000
1990-07-09 00:00:00,1.49,19900800,1.5,19900900,1.54,19901000
1990-07-10 00:00:00,1.5,19900800,1.51,19900900,1.54,19901000
1990-07-11 00:00:00,1.5,19900800,1.52,19900900,1.55,19901000
1990-07-12 00:00:00,1.5,19900800,1.52,19900900,1.56,19901000
1990-07-13 00:00:00,1.5,19900800,1.53,19900900,1.58,19901000
1990-07-16 00:00:00,1.5,19900800,1.54,19900900,1.6,19901000
1990-07-17 00:00:00,1.46,19900800,1.52,19900900,1.58,19901000
1990-07-18 00:00:00,1.45,19900800,1.52,19900900,1.62,19901000
1990-07-19 00:00:00,1.44,19900800,1.5,19900900,1.6,19901000
1990-07-20 00:00:00,1.43,19900800,1.48,19900900,1.58,19901000
1990-07-23 00:00:00,1.46,19900900,1.56,19901000,1.81,19901100
1990-07-24 00:00:00,1.44,19900900,1.54,19901000,1.8,19901100
