DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1982-11-29,79.05,80.05,80.05,19830300,19830600,19830600
1982-11-30,81.95,83.15,83.15,19830300,19830600,19830600
1982-12-01,83.3,84.5,84.5,19830300,19830600,19830600
1982-12-02,89.3,90.5,90.5,19830300,19830600,19830600
1982-12-03,85.45,86.45,86.45,19830300,19830600,19830600
1982-12-06,89.0,90.0,90.0,19830300,19830600,19830600
1982-12-07,91.3,92.3,92.3,19830300,19830600,19830600
1982-12-08,86.7,87.2,87.2,19830300,19830600,19830600
1982-12-09,86.05,86.8,86.8,19830300,19830600,19830600
1982-12-10,84.9,85.65,85.65,19830300,19830600,19830600
1982-12-13,87.25,88.0,88.0,19830300,19830600,19830600
1982-12-14,82.75,83.5,83.5,19830300,19830600,19830600
1982-12-15,84.5,85.25,85.25,19830300,19830600,19830600
1982-12-16,85.95,86.7,86.7,19830300,19830600,19830600
1982-12-17,84.3,84.8,84.8,19830300,19830600,19830600
1982-12-20,85.7,86.45,86.45,19830300,19830600,19830600
1982-12-21,88.1,88.85,88.85,19830300,19830600,19830600
1982-12-22,91.25,92.0,92.0,19830300,19830600,19830600
1982-12-23,91.9,92.9,92.9,19830300,19830600,19830600
1982-12-27,95.7,96.7,96.7,19830300,19830600,19830600
1982-12-28,97.45,98.45,98.45,19830300,19830600,19830600
1982-12-29,100.6,101.6,101.6,19830300,19830600,19830600
1982-12-30,97.5,98.5,98.5,19830300,19830600,19830600
1983-01-03,102.1,102.85,102.85,19830300,19830600,19830600
1983-01-04,108.1,108.85,108.85,19830300,19830600,19830600
1983-01-05,117.1,117.85,117.85,19830300,19830600,19830600
1983-01-06,118.6,119.1,119.1,19830300,19830600,19830600
1983-01-07,125.35,125.85,125.85,19830300,19830600,19830600
1983-01-10,131.35,131.85,131.85,19830300,19830600,19830600
1983-01-11,124.85,125.35,125.35,19830300,19830600,19830600
1983-01-12,127.95,128.45,128.45,19830300,19830600,19830600
1983-01-13,126.95,127.45,127.45,19830300,19830600,19830600
1983-01-14,127.45,127.95,127.95,19830300,19830600,19830600
1983-01-17,127.7,128.45,128.45,19830300,19830600,19830600
1983-01-18,126.6,127.1,127.1,19830300,19830600,19830600
1983-01-19,123.8,124.1,124.1,19830300,19830600,19830600
1983-01-20,125.1,125.4,125.4,19830300,19830600,19830600
1983-01-21,122.4,122.7,122.7,19830300,19830600,19830600
1983-01-24,117.9,118.2,118.2,19830300,19830600,19830600
1983-01-25,122.15,122.6,122.6,19830300,19830600,19830600
1983-01-26,123.3,123.75,123.75,19830300,19830600,19830600
1983-01-27,128.5,129.0,129.0,19830300,19830600,19830600
1983-01-28,129.0,129.5,129.5,19830300,19830600,19830600
1983-01-31,134.0,134.75,134.75,19830300,19830600,19830600
1983-02-01,132.1,132.85,132.85,19830300,19830600,19830600
1983-02-02,132.95,133.7,133.7,19830300,19830600,19830600
1983-02-03,131.35,132.1,132.1,19830300,19830600,19830600
1983-02-04,131.05,131.3,131.3,19830300,19830600,19830600
1983-02-07,131.85,131.85,131.85,19830300,19830600,19830600
1983-02-08,126.3,126.3,126.3,19830300,19830600,19830600
1983-02-09,121.3,121.3,121.3,19830300,19830600,19830600
1983-02-10,125.0,125.5,125.5,19830300,19830600,19830600
1983-02-11,128.5,129.75,129.75,19830300,19830600,19830600
1983-02-14,129.2,130.45,130.45,19830300,19830600,19830600
1983-02-15,127.3,128.55,128.55,19830300,19830600,19830600
1983-02-16,126.0,127.4,127.4,19830300,19830600,19830600
1983-02-17,124.4,125.8,125.8,19830300,19830600,19830600
1983-02-18,123.45,125.35,125.35,19830300,19830600,19830600
1983-02-22,117.45,119.35,119.35,19830300,19830600,19830600
1983-02-23,110.65,112.55,112.55,19830300,19830600,19830600
1983-02-24,111.6,113.6,113.6,19830300,19830600,19830600
1983-02-25,107.0,108.3,108.3,19830300,19830600,19830600
1983-02-28,102.3,103.8,103.8,19830600,19830900,19830900
1983-03-01,93.55,95.05,95.05,19830600,19830900,19830900
1983-03-02,97.25,98.75,98.75,19830600,19830900,19830900
1983-03-03,102.55,104.05,104.05,19830600,19830900,19830900
1983-03-04,97.55,99.05,99.05,19830600,19830900,19830900
1983-03-07,100.2,101.7,101.7,19830600,19830900,19830900
1983-03-08,97.7,99.2,99.2,19830600,19830900,19830900
1983-03-09,99.5,101.0,101.0,19830600,19830900,19830900
1983-03-10,102.6,104.1,104.1,19830600,19830900,19830900
1983-03-11,99.1,100.6,100.6,19830600,19830900,19830900
1983-03-14,103.0,104.75,104.75,19830600,19830900,19830900
1983-03-15,101.05,102.8,102.8,19830600,19830900,19830900
1983-03-16,99.5,101.25,101.25,19830600,19830900,19830900
1983-03-17,99.05,100.55,100.55,19830600,19830900,19830900
1983-03-18,98.85,100.35,100.35,19830600,19830900,19830900
1983-03-21,99.1,100.6,100.6,19830600,19830900,19830900
1983-03-22,99.1,100.6,100.6,19830600,19830900,19830900
1983-03-23,98.4,99.9,99.9,19830600,19830900,19830900
1983-03-24,98.3,99.8,99.8,19830600,19830900,19830900
1983-03-25,98.85,100.1,100.1,19830600,19830900,19830900
1983-03-28,98.65,99.9,99.9,19830600,19830900,19830900
1983-03-29,100.9,101.4,101.4,19830600,19830900,19830900
1983-03-30,101.0,101.5,101.5,19830600,19830900,19830900
1983-03-31,101.8,102.25,102.25,19830600,19830900,19830900
1983-04-04,103.3,103.75,103.75,19830600,19830900,19830900
1983-04-05,105.1,105.5,105.5,19830600,19830900,19830900
1983-04-06,106.35,106.75,106.75,19830600,19830900,19830900
1983-04-07,108.45,109.05,109.05,19830600,19830900,19830900
1983-04-08,114.45,115.05,115.05,19830600,19830900,19830900
1983-04-11,120.2,120.8,120.8,19830600,19830900,19830900
1983-04-12,115.65,116.25,116.25,19830600,19830900,19830900
1983-04-13,117.3,117.9,117.9,19830600,19830900,19830900
1983-04-14,123.3,123.9,123.9,19830600,19830900,19830900
1983-04-15,122.65,123.4,123.4,19830600,19830900,19830900
1983-04-18,126.95,127.9,127.9,19830600,19830900,19830900
1983-04-19,122.5,123.45,123.45,19830600,19830900,19830900
1983-04-20,125.8,126.6,126.6,19830600,19830900,19830900
1983-04-21,124.35,125.15,125.15,19830600,19830900,19830900
1983-04-22,125.1,125.6,125.6,19830600,19830900,19830900
1983-04-25,124.15,124.85,124.85,19830600,19830900,19830900
1983-04-26,124.3,124.8,124.8,19830600,19830900,19830900
1983-04-27,121.4,122.0,122.0,19830600,19830900,19830900
1983-04-28,120.45,121.05,121.05,19830600,19830900,19830900
1983-04-29,122.15,122.75,122.75,19830600,19830900,19830900
1983-05-02,124.25,125.0,125.0,19830600,19830900,19830900
1983-05-03,128.1,128.85,128.85,19830600,19830900,19830900
1983-05-04,128.15,128.9,128.9,19830600,19830900,19830900
1983-05-05,128.0,128.75,128.75,19830600,19830900,19830900
1983-05-06,129.2,130.0,130.0,19830600,19830900,19830900
