DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1980-02-19,457.0,469.0,446.0,19800700,19800900,19800500
1980-02-20,459.75,471.0,447.5,19800700,19800900,19800500
1980-02-21,462.0,473.5,449.75,19800700,19800900,19800500
1980-02-22,461.0,473.5,448.25,19800700,19800900,19800500
1980-02-25,464.5,476.0,451.25,19800700,19800900,19800500
1980-02-26,460.75,472.0,448.25,19800700,19800900,19800500
1980-02-27,456.25,468.5,443.75,19800700,19800900,19800500
1980-02-28,454.75,466.5,442.5,19800700,19800900,19800500
1980-02-29,452.25,464.5,440.25,19800700,19800900,19800500
1980-03-03,448.5,461.0,437.5,19800700,19800900,19800500
1980-03-04,455.25,467.5,444.0,19800700,19800900,19800500
1980-03-05,458.5,471.0,446.0,19800700,19800900,19800500
1980-03-06,452.25,465.0,439.5,19800700,19800900,19800500
1980-03-07,450.5,464.75,437.25,19800700,19800900,19800500
1980-03-10,443.5,458.0,430.5,19800700,19800900,19800500
1980-03-11,443.75,456.5,430.75,19800700,19800900,19800500
1980-03-12,442.5,456.0,428.75,19800700,19800900,19800500
1980-03-13,439.0,454.25,426.0,19800700,19800900,19800500
1980-03-14,439.5,454.0,425.0,19800700,19800900,19800500
1980-03-17,434.0,449.0,419.5,19800700,19800900,19800500
1980-03-18,435.5,451.75,420.75,19800700,19800900,19800500
1980-03-19,439.25,454.5,424.0,19800700,19800900,19800500
1980-03-20,434.5,451.5,419.0,19800700,19800900,19800500
1980-03-21,432.25,449.0,417.25,19800700,19800900,19800500
1980-03-24,434.75,451.5,417.75,19800700,19800900,19800500
1980-03-25,436.75,453.0,420.0,19800700,19800900,19800500
1980-03-26,429.0,446.0,413.25,19800700,19800900,19800500
1980-03-27,419.5,436.0,403.5,19800700,19800900,19800500
1980-03-28,415.75,432.75,399.25,19800700,19800900,19800500
1980-03-31,403.5,421.5,388.0,19800700,19800900,19800500
1980-04-01,403.75,419.0,388.25,19800700,19800900,19800500
1980-04-02,411.75,427.5,395.25,19800700,19800900,19800500
1980-04-03,422.0,437.25,406.75,19800700,19800900,19800500
1980-04-07,417.0,432.75,401.25,19800700,19800900,19800500
1980-04-08,422.0,437.25,407.75,19800700,19800900,19800500
1980-04-09,432.0,447.0,417.0,19800700,19800900,19800500
1980-04-10,422.5,438.0,407.25,19800700,19800900,19800500
1980-04-11,416.25,431.75,400.25,19800700,19800900,19800500
1980-04-14,405.25,419.5,388.5,19800700,19800900,19800500
1980-04-15,403.75,420.0,386.5,19800700,19800900,19800500
1980-04-16,410.5,425.5,394.5,19800700,19800900,19800500
1980-04-17,420.25,436.5,405.5,19800900,19801200,19800700
1980-04-18,414.0,429.5,399.0,19800900,19801200,19800700
1980-04-21,421.25,436.25,406.5,19800900,19801200,19800700
1980-04-22,427.0,443.0,412.0,19800900,19801200,19800700
1980-04-23,418.5,433.75,405.5,19800900,19801200,19800700
1980-04-24,423.75,437.5,408.75,19800900,19801200,19800700
1980-04-25,427.0,443.0,412.75,19800900,19801200,19800700
1980-04-28,420.25,434.0,405.25,19800900,19801200,19800700
1980-04-29,416.5,431.75,402.25,19800900,19801200,19800700
1980-04-30,420.0,437.75,405.5,19800900,19801200,19800700
1980-05-01,420.25,437.5,405.5,19800900,19801200,19800700
1980-05-02,423.25,440.0,408.25,19800900,19801200,19800700
1980-05-05,443.0,459.0,427.5,19800900,19801200,19800700
1980-05-06,437.5,454.0,423.5,19800900,19801200,19800700
1980-05-07,443.0,460.0,430.0,19800900,19801200,19800700
1980-05-08,445.5,460.0,431.0,19800900,19801200,19800700
1980-05-09,444.5,460.0,430.5,19800900,19801200,19800700
1980-05-12,431.0,446.0,416.0,19800900,19801200,19800700
1980-05-13,434.0,449.0,420.75,19800900,19801200,19800700
1980-05-14,433.75,450.0,420.75,19800900,19801200,19800700
1980-05-15,438.75,453.5,424.5,19800900,19801200,19800700
1980-05-16,430.0,447.25,416.25,19800900,19801200,19800700
1980-05-19,437.5,454.5,423.75,19800900,19801200,19800700
1980-05-20,435.75,453.5,422.75,19800900,19801200,19800700
1980-05-21,432.5,449.75,418.75,19800900,19801200,19800700
1980-05-22,434.5,452.75,421.75,19800900,19801200,19800700
1980-05-23,432.0,449.0,419.75,19800900,19801200,19800700
1980-05-27,432.0,450.0,421.25,19800900,19801200,19800700
1980-05-28,428.75,446.0,416.75,19800900,19801200,19800700
1980-05-29,420.0,437.0,409.0,19800900,19801200,19800700
1980-05-30,419.75,436.0,408.75,19800900,19801200,19800700
1980-06-02,416.5,433.25,404.75,19800900,19801200,19800700
1980-06-03,419.5,436.0,407.75,19800900,19801200,19800700
1980-06-04,416.25,433.0,405.25,19800900,19801200,19800700
1980-06-05,413.0,429.25,402.0,19800900,19801200,19800700
1980-06-06,410.5,427.0,399.0,19800900,19801200,19800700
1980-06-09,413.25,430.5,402.0,19800900,19801200,19800700
1980-06-10,413.5,430.75,402.0,19800900,19801200,19800700
1980-06-11,414.5,431.75,403.0,19800900,19801200,19800700
1980-06-12,416.5,433.25,404.25,19800900,19801200,19800700
1980-06-13,414.5,431.5,402.5,19800900,19801200,19800700
1980-06-16,418.0,434.5,405.5,19800900,19801200,19800700
1980-06-17,418.0,434.5,406.25,19800900,19801200,19800700
1980-06-18,436.5,451.5,419.75,19801200,19810300,19800900
1980-06-19,436.5,452.0,420.0,19801200,19810300,19800900
1980-06-20,439.0,454.0,422.25,19801200,19810300,19800900
1980-06-23,450.75,466.0,434.5,19801200,19810300,19800900
1980-06-24,447.0,462.0,430.0,19801200,19810300,19800900
1980-06-25,454.75,469.0,438.75,19801200,19810300,19800900
1980-06-26,448.0,465.0,432.25,19801200,19810300,19800900
1980-06-27,446.0,460.5,429.25,19801200,19810300,19800900
1980-06-30,442.0,456.5,425.0,19801200,19810300,19800900
1980-07-01,447.25,460.0,429.0,19801200,19810300,19800900
1980-07-02,456.75,468.0,438.0,19801200,19810300,19800900
1980-07-03,456.25,468.0,437.75,19801200,19810300,19800900
1980-07-07,451.5,463.5,434.5,19801200,19810300,19800900
1980-07-08,450.0,460.0,433.75,19801200,19810300,19800900
1980-07-09,440.0,450.5,423.0,19801200,19810300,19800900
1980-07-10,442.25,454.5,426.0,19801200,19810300,19800900
1980-07-11,444.0,455.5,426.75,19801200,19810300,19800900
1980-07-14,462.0,474.0,444.5,19801200,19810300,19800900
1980-07-15,447.75,461.0,430.25,19801200,19810300,19800900
1980-07-16,451.0,462.5,433.0,19801200,19810300,19800900
1980-07-17,449.75,461.0,433.0,19801200,19810300,19800900
1980-07-18,447.5,458.0,429.25,19801200,19810300,19800900
1980-07-21,443.75,453.75,426.0,19801200,19810300,19800900
1980-07-22,446.0,456.0,430.25,19801200,19810300,19800900
1980-07-23,456.75,466.0,439.75,19801200,19810300,19800900
1980-07-24,451.5,461.0,436.0,19801200,19810300,19800900
1980-07-25,451.5,461.0,434.5,19801200,19810300,19800900
1980-07-28,458.0,467.75,439.0,19801200,19810300,19800900
1980-07-29,458.25,469.0,440.75,19801200,19810300,19800900
1980-07-30,456.0,467.0,439.0,19801200,19810300,19800900
1980-07-31,469.0,479.0,450.5,19801200,19810300,19800900
1980-08-01,464.25,476.75,447.5,19801200,19810300,19800900
1980-08-04,458.0,469.25,440.0,19801200,19810300,19800900
1980-08-05,466.0,477.0,447.0,19801200,19810300,19800900
1980-08-06,465.0,476.5,446.5,19801200,19810300,19800900
1980-08-07,462.0,473.5,443.5,19801200,19810300,19800900
1980-08-08,459.75,471.0,440.5,19801200,19810300,19800900
1980-08-11,458.5,469.25,439.5,19801200,19810300,19800900
1980-08-12,465.75,478.0,446.5,19801200,19810300,19800900
1980-08-13,463.25,475.5,443.75,19801200,19810300,19800900
1980-08-14,460.25,473.5,441.0,19801200,19810300,19800900
1980-08-15,457.5,472.0,438.0,19801200,19810300,19800900
1980-08-18,458.75,473.5,438.75,19801200,19810300,19800900
1980-08-19,460.25,475.5,440.5,19801200,19810300,19800900
1980-08-20,459.75,474.0,440.0,19801200,19810300,19800900
1980-08-21,458.0,472.0,437.5,19801200,19810300,19800900
1980-08-22,454.75,470.25,434.5,19801200,19810300,19800900
1980-08-25,455.5,472.25,434.5,19801200,19810300,19800900
1980-08-26,457.5,474.5,436.5,19801200,19810300,19800900
1980-08-27,459.5,476.25,438.25,19801200,19810300,19800900
1980-08-28,458.5,475.0,436.5,19801200,19810300,19800900
1980-08-29,464.0,481.75,441.25,19801200,19810300,19800900
1980-09-02,473.0,490.0,450.0,19801200,19810300,19800900
1980-09-03,474.0,490.5,448.5,19801200,19810300,19800900
1980-09-04,471.0,488.5,444.5,19801200,19810300,19800900
1980-09-05,475.25,494.5,450.0,19801200,19810300,19800900
1980-09-08,478.0,496.5,455.5,19801200,19810300,19800900
1980-09-09,475.0,493.25,450.0,19801200,19810300,19800900
1980-09-10,473.0,492.0,450.0,19801200,19810300,19800900
1980-09-11,474.0,493.0,448.0,19801200,19810300,19800900
1980-09-12,468.75,487.75,448.0,19801200,19810300,19800900
1980-09-15,470.0,489.0,448.0,19801200,19810300,19800900
1980-09-16,473.0,492.5,450.0,19801200,19810300,19800900
1980-09-17,493.5,502.5,474.75,19810300,19810500,19801200
1980-09-18,496.0,504.5,476.75,19810300,19810500,19801200
1980-09-19,504.5,514.5,486.0,19810300,19810500,19801200
1980-09-22,504.25,514.0,484.25,19810300,19810500,19801200
1980-09-23,510.5,519.0,488.25,19810300,19810500,19801200
1980-09-24,515.5,524.5,492.25,19810300,19810500,19801200
1980-09-25,513.25,522.0,489.25,19810300,19810500,19801200
1980-09-26,503.5,513.0,479.5,19810300,19810500,19801200
1980-09-29,504.5,514.0,480.5,19810300,19810500,19801200
1980-09-30,507.5,515.0,484.0,19810300,19810500,19801200
1980-10-01,507.0,516.5,483.75,19810300,19810500,19801200
1980-10-02,498.5,509.0,475.5,19810300,19810500,19801200
1980-10-03,502.0,512.0,478.75,19810300,19810500,19801200
1980-10-06,508.75,519.75,485.75,19810300,19810500,19801200
1980-10-07,506.0,517.0,483.0,19810300,19810500,19801200
1980-10-08,507.0,518.25,484.5,19810300,19810500,19801200
1980-10-09,507.75,518.0,485.0,19810300,19810500,19801200
1980-10-10,514.25,524.0,491.25,19810300,19810500,19801200
1980-10-13,528.5,537.0,504.5,19810300,19810500,19801200
