DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1983-05-13,13.51,13.81,13.31,19830900,19831200,19830700
1983-05-16,13.39,13.69,13.19,19830900,19831200,19830700
1983-05-17,13.84,14.15,13.64,19830900,19831200,19830700
1983-05-18,13.78,14.1,13.58,19830900,19831200,19830700
1983-05-19,13.55,13.87,13.35,19830900,19831200,19830700
1983-05-20,13.43,13.74,13.23,19830900,19831200,19830700
1983-05-23,13.57,13.89,13.37,19830900,19831200,19830700
1983-05-24,13.52,13.84,13.31,19830900,19831200,19830700
1983-05-25,13.74,14.07,13.53,19830900,19831200,19830700
1983-05-26,13.73,14.06,13.52,19830900,19831200,19830700
1983-05-27,13.81,14.14,13.6,19830900,19831200,19830700
1983-05-31,13.31,13.64,13.1,19830900,19831200,19830700
1983-06-01,12.81,13.14,12.6,19830900,19831200,19830700
1983-06-02,12.24,12.55,12.05,19830900,19831200,19830700
1983-06-03,12.3,12.45,12.0,19830900,19831200,19830700
1983-06-06,11.71,12.01,11.52,19830900,19831200,19830700
1983-06-07,11.36,11.65,11.18,19830900,19831200,19830700
1983-06-08,11.36,11.66,11.18,19830900,19831200,19830700
1983-06-09,11.86,12.16,11.68,19830900,19831200,19830700
1983-06-10,11.71,12.0,11.52,19830900,19831200,19830700
1983-06-13,12.11,12.41,11.92,19830900,19831200,19830700
1983-06-14,11.88,12.18,11.69,19830900,19831200,19830700
1983-06-15,11.68,11.98,11.49,19830900,19831200,19830700
1983-06-16,12.02,12.31,11.82,19830900,19831200,19830700
1983-06-17,11.92,12.21,11.72,19830900,19831200,19830700
1983-06-20,12.08,12.38,11.88,19830900,19831200,19830700
1983-06-21,12.22,12.52,12.02,19830900,19831200,19830700
1983-06-22,12.35,12.75,12.2,19830900,19831200,19830700
1983-06-23,12.47,12.78,12.27,19830900,19831200,19830700
1983-06-24,12.47,12.77,12.25,19830900,19831200,19830700
1983-06-27,11.98,12.28,11.77,19830900,19831200,19830700
1983-06-28,11.58,11.88,11.38,19830900,19831200,19830700
1983-06-29,11.8,12.1,11.62,19830900,19831200,19830700
1983-06-30,11.76,12.06,11.58,19830900,19831200,19830700
1983-07-01,11.95,12.25,11.78,19830900,19831200,19830700
1983-07-05,11.63,11.92,11.47,19830900,19831200,19830700
1983-07-06,11.77,12.07,11.61,19830900,19831200,19830700
1983-07-07,12.27,12.57,12.26,19830900,19831200,19830700
1983-07-08,12.22,12.55,12.06,19830900,19831200,19830700
1983-07-11,12.5,12.84,12.33,19830900,19831200,19830700
1983-07-12,12.47,12.8,12.31,19830900,19831200,19830700
1983-07-13,12.38,12.71,12.22,19830900,19831200,19830700
1983-07-14,12.3,12.83,12.0,19831200,19840100,19830900
1983-07-15,12.33,12.44,12.01,19831200,19840100,19830900
1983-07-18,12.65,12.76,12.33,19831200,19840100,19830900
1983-07-19,12.62,12.74,12.3,19831200,19840100,19830900
1983-07-20,12.95,13.07,12.62,19831200,19840100,19830900
1983-07-21,12.68,13.07,12.43,19831200,19840100,19830900
1983-07-22,12.77,12.86,12.44,19831200,19840100,19830900
1983-07-25,12.92,13.03,12.58,19831200,19840100,19830900
1983-07-26,12.92,13.03,12.58,19831200,19840100,19830900
1983-07-27,12.73,12.85,12.4,19831200,19840100,19830900
1983-07-28,12.67,12.78,12.34,19831200,19840100,19830900
1983-07-29,12.22,12.33,11.91,19831200,19840100,19830900
1983-08-01,12.2,12.31,11.89,19831200,19840100,19830900
1983-08-02,12.35,12.46,12.03,19831200,19840100,19830900
1983-08-03,12.44,12.56,12.12,19831200,19840100,19830900
1983-08-04,12.09,12.2,11.77,19831200,19840100,19830900
1983-08-05,12.12,12.23,11.8,19831200,19840100,19830900
1983-08-08,12.01,12.12,11.69,19831200,19840100,19830900
1983-08-09,11.93,12.04,11.61,19831200,19840100,19830900
1983-08-10,12.11,12.22,11.78,19831200,19840100,19830900
1983-08-11,12.1,12.2,11.77,19831200,19840100,19830900
1983-08-12,12.26,12.37,11.93,19831200,19840100,19830900
1983-08-15,12.75,12.87,12.43,19831200,19840100,19830900
1983-08-16,12.71,12.82,12.37,19831200,19840100,19830900
1983-08-17,12.91,13.02,12.57,19831200,19840100,19830900
1983-08-18,12.72,12.84,12.39,19831200,19840100,19830900
1983-08-19,12.55,12.66,12.22,19831200,19840100,19830900
1983-08-22,13.05,13.16,12.71,19831200,19840100,19830900
1983-08-23,13.04,13.15,12.69,19831200,19840100,19830900
1983-08-24,12.9,13.02,12.56,19831200,19840100,19830900
1983-08-25,12.45,12.56,12.12,19831200,19840100,19830900
1983-08-26,12.58,12.69,12.25,19831200,19840100,19830900
1983-08-29,12.54,12.65,12.2,19831200,19840100,19830900
1983-08-30,12.48,12.59,12.16,19831200,19840100,19830900
1983-08-31,12.41,12.52,12.1,19831200,19840100,19830900
1983-09-01,12.42,12.53,12.12,19831200,19840100,19830900
1983-09-02,12.53,12.64,12.23,19831200,19840100,19830900
1983-09-06,12.46,12.57,12.17,19831200,19840100,19830900
1983-09-07,12.46,12.57,12.18,19831200,19840100,19830900
1983-09-08,12.49,12.6,12.21,19831200,19840100,19830900
1983-09-09,12.45,12.56,12.18,19831200,19840100,19830900
1983-09-12,12.09,12.2,11.83,19831200,19840100,19830900
1983-09-13,12.02,12.12,11.77,19831200,19840100,19830900
1983-09-14,12.01,12.11,11.76,19831200,19840100,19830900
1983-09-15,11.91,12.02,11.67,19831200,19840100,19830900
1983-09-16,12.15,12.26,11.92,19831200,19840100,19830900
1983-09-19,12.22,12.33,11.98,19831200,19840100,19830900
1983-09-20,12.1,12.21,11.86,19831200,19840100,19830900
1983-09-21,12.07,12.17,11.85,19831200,19840100,19830900
1983-09-22,12.07,12.18,,19831200,19840100,19830900
1983-09-23,12.32,12.42,,19831200,19840100,19830900
1983-09-26,12.21,12.31,12.0,19831200,19840100,19830900
1983-09-27,12.11,12.21,,19831200,19840100,19830900
1983-09-28,12.01,12.11,11.92,19831200,19840100,19830900
1983-09-29,11.51,11.61,11.92,19831200,19840100,19830900
1983-09-30,11.65,11.36,11.08,19840100,19840300,19831200
1983-10-03,10.48,10.65,10.39,19840100,19840300,19831200
1983-10-04,10.35,10.52,10.26,19840100,19840300,19831200
1983-10-05,10.58,10.75,10.5,19840100,19840300,19831200
1983-10-06,10.5,10.67,10.42,19840100,19840300,19831200
1983-10-07,10.67,10.84,10.58,19840100,19840300,19831200
1983-10-10,10.86,11.04,10.77,19840100,19840300,19831200
1983-10-11,10.62,10.8,10.53,19840100,19840300,19831200
1983-10-12,10.43,10.6,10.34,19840100,19840300,19831200
1983-10-13,10.58,10.75,10.49,19840100,19840300,19831200
1983-10-14,10.6,10.78,10.51,19840100,19840300,19831200
1983-10-17,10.39,10.56,10.28,19840100,19840300,19831200
1983-10-18,10.27,10.44,10.18,19840100,19840300,19831200
