DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1999-03-11,7251.0,7269.0,7269.0,19990600,19990900,19990900
1999-03-12,7206.0,7222.0,7222.0,19990600,19990900,19990900
1999-03-15,7198.0,7214.0,7214.0,19990600,19990900,19990900
1999-03-16,7167.0,7182.0,7182.0,19990600,19990900,19990900
1999-03-17,7177.0,7193.0,7193.0,19990600,19990900,19990900
1999-03-18,7155.0,7172.0,7172.0,19990600,19990900,19990900
1999-03-19,7136.0,7155.0,7155.0,19990600,19990900,19990900
1999-03-22,7089.0,7108.0,7108.0,19990600,19990900,19990900
1999-03-23,6955.0,6975.0,6975.0,19990600,19990900,19990900
1999-03-24,6859.0,6877.0,6877.0,19990600,19990900,19990900
1999-03-25,7008.0,7023.0,7023.0,19990600,19990900,19990900
1999-03-26,6937.0,6955.0,6955.0,19990600,19990900,19990900
1999-03-29,7025.0,7044.0,7044.0,19990600,19990900,19990900
1999-03-30,6965.0,6983.0,6983.0,19990600,19990900,19990900
1999-03-31,7083.0,7101.0,7101.0,19990600,19990900,19990900
1999-04-01,7071.0,7089.0,7089.0,19990600,19990900,19990900
1999-04-06,7121.0,7138.0,7138.0,19990600,19990900,19990900
1999-04-07,7164.0,7181.0,7181.0,19990600,19990900,19990900
1999-04-08,7280.0,7296.0,7296.0,19990600,19990900,19990900
1999-04-09,7333.0,7346.0,7346.0,19990600,19990900,19990900
1999-04-12,7271.0,7284.0,7284.0,19990600,19990900,19990900
1999-04-13,7315.0,7328.0,7328.0,19990600,19990900,19990900
1999-04-14,7309.0,7322.0,7322.0,19990600,19990900,19990900
1999-04-15,7164.0,7177.0,7177.0,19990600,19990900,19990900
1999-04-16,7105.0,7118.0,7118.0,19990600,19990900,19990900
1999-04-19,7189.0,7203.0,7203.0,19990600,19990900,19990900
1999-04-20,7061.0,7075.0,7075.0,19990600,19990900,19990900
1999-04-21,7054.0,7070.0,7070.0,19990600,19990900,19990900
1999-04-22,7129.0,7145.0,7145.0,19990600,19990900,19990900
1999-04-23,7066.0,7082.0,7082.0,19990600,19990900,19990900
1999-04-26,7232.0,7248.0,7248.0,19990600,19990900,19990900
1999-04-27,7361.0,7376.0,7376.0,19990600,19990900,19990900
1999-04-28,7339.0,7355.0,7355.0,19990600,19990900,19990900
1999-04-29,7272.0,7288.0,7288.0,19990600,19990900,19990900
1999-04-30,7321.0,7337.0,7337.0,19990600,19990900,19990900
1999-05-03,7405.0,7421.0,7421.0,19990600,19990900,19990900
1999-05-04,7366.0,7366.0,7366.0,19990600,19990900,19990900
1999-05-05,7238.0,7255.0,7255.0,19990600,19990900,19990900
1999-05-06,7209.0,7225.0,7225.0,19990600,19990900,19990900
1999-05-07,7206.0,7222.0,7222.0,19990600,19990900,19990900
1999-05-10,7180.0,7195.0,7195.0,19990600,19990900,19990900
1999-05-11,7180.0,7195.0,7195.0,19990600,19990900,19990900
1999-05-12,7140.0,7155.0,7155.0,19990600,19990900,19990900
1999-05-14,7035.0,7049.0,7049.0,19990600,19990900,19990900
1999-05-17,6895.0,6910.0,6910.0,19990600,19990900,19990900
1999-05-18,6989.0,7004.0,7004.0,19990600,19990900,19990900
1999-05-19,7001.0,7015.0,7015.0,19990600,19990900,19990900
1999-05-20,7090.0,7104.0,7104.0,19990600,19990900,19990900
1999-05-21,7025.0,7039.0,7039.0,19990600,19990900,19990900
1999-05-25,6850.0,6864.0,6864.0,19990600,19990900,19990900
1999-05-26,6851.0,6865.0,6865.0,19990600,19990900,19990900
1999-05-27,6700.0,6711.0,6711.0,19990600,19990900,19990900
1999-05-28,6754.0,6763.0,6763.0,19990600,19990900,19990900
1999-05-31,6870.0,6878.0,6878.0,19990600,19990900,19990900
1999-06-01,6835.0,6844.0,6844.0,19990600,19990900,19990900
1999-06-02,6924.0,6934.0,6934.0,19990600,19990900,19990900
1999-06-03,7047.0,7060.0,7060.0,19990600,19990900,19990900
1999-06-04,7136.0,7148.0,7148.0,19990600,19990900,19990900
1999-06-07,7199.0,7212.0,7212.0,19990600,19990900,19990900
1999-06-08,7181.0,7194.0,7194.0,19990600,19990900,19990900
1999-06-09,7187.0,7199.0,7199.0,19990600,19990900,19990900
1999-06-10,7025.0,7039.0,7039.0,19990600,19990900,19990900
1999-06-11,7060.0,7086.0,7086.0,19990900,19991200,19991200
