DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1982-05-27 00:00:00,64.47,19821200,64.45,19820900,64.47,19821200
1982-05-28 00:00:00,64.42,19821200,64.39,19820900,64.42,19821200
1982-06-01 00:00:00,63.75,19821200,63.66,19820900,63.75,19821200
1982-06-02 00:00:00,63.95,19821200,63.89,19820900,63.95,19821200
1982-06-03 00:00:00,63.83,19821200,63.81,19820900,63.83,19821200
1982-06-04 00:00:00,63.5,19821200,63.5,19820900,63.5,19821200
1982-06-07 00:00:00,63.64,19821200,63.64,19820900,63.64,19821200
1982-06-08 00:00:00,63.53,19821200,63.56,19820900,63.53,19821200
1982-06-09 00:00:00,63.56,19821200,63.58,19820900,63.56,19821200
1982-06-10 00:00:00,63.36,19821200,63.39,19820900,63.36,19821200
1982-06-11 00:00:00,63.78,19821200,63.81,19820900,63.78,19821200
1982-06-14 00:00:00,62.86,19821200,62.83,19820900,62.86,19821200
1982-06-15 00:00:00,62.83,19821200,62.83,19820900,62.83,19821200
1982-06-16 00:00:00,62.64,19821200,62.64,19820900,62.64,19821200
1982-06-17 00:00:00,62.09,19821200,62.09,19820900,62.09,19821200
1982-06-18 00:00:00,61.34,19821200,61.44,19820900,61.34,19821200
1982-06-21 00:00:00,61.27,19821200,61.33,19820900,61.27,19821200
1982-06-22 00:00:00,61.27,19821200,61.33,19820900,61.27,19821200
1982-06-23 00:00:00,61.08,19821200,61.12,19820900,61.08,19821200
1982-06-24 00:00:00,61.08,19821200,61.12,19820900,61.08,19821200
1982-06-25 00:00:00,60.98,19821200,61.05,19820900,60.98,19821200
1982-06-28 00:00:00,61.23,19821200,61.3,19820900,61.23,19821200
1982-06-29 00:00:00,61.41,19821200,61.5,19820900,61.41,19821200
1982-06-30 00:00:00,62.02,19821200,62.09,19820900,62.02,19821200
1982-07-01 00:00:00,62.19,19821200,62.27,19820900,62.19,19821200
1982-07-02 00:00:00,61.75,19821200,61.83,19820900,61.75,19821200
1982-07-06 00:00:00,61.91,19821200,62.0,19820900,61.91,19821200
1982-07-07 00:00:00,62.09,19821200,62.22,19820900,62.09,19821200
1982-07-08 00:00:00,62.91,19821200,63.06,19820900,62.91,19821200
1982-07-09 00:00:00,63.47,19821200,63.61,19820900,63.47,19821200
1982-07-12 00:00:00,63.91,19821200,64.06,19820900,63.91,19821200
1982-07-13 00:00:00,63.31,19821200,63.41,19820900,63.31,19821200
1982-07-14 00:00:00,63.08,19821200,63.19,19820900,63.08,19821200
1982-07-15 00:00:00,63.53,19821200,63.64,19820900,63.53,19821200
1982-07-16 00:00:00,64.53,19821200,64.64,19820900,64.53,19821200
1982-07-19 00:00:00,64.62,19821200,64.75,19820900,64.62,19821200
1982-07-20 00:00:00,64.81,19821200,64.97,19820900,64.81,19821200
1982-07-21 00:00:00,64.42,19821200,64.62,19820900,64.42,19821200
1982-07-22 00:00:00,64.72,19821200,64.97,19820900,64.72,19821200
1982-07-23 00:00:00,64.45,19821200,64.7,19820900,64.45,19821200
1982-07-26 00:00:00,63.39,19821200,63.64,19820900,63.39,19821200
1982-07-27 00:00:00,63.5,19821200,63.78,19820900,63.5,19821200
1982-07-28 00:00:00,63.08,19821200,63.36,19820900,63.08,19821200
1982-07-29 00:00:00,63.78,19821200,64.14,19820900,63.78,19821200
1982-07-30 00:00:00,64.22,19821200,64.58,19820900,64.22,19821200
1982-08-02 00:00:00,65.14,19821200,65.56,19820900,65.14,19821200
1982-08-03 00:00:00,64.64,19821200,65.12,19820900,64.64,19821200
1982-08-04 00:00:00,64.56,19821200,65.0,19820900,64.56,19821200
1982-08-05 00:00:00,64.42,19821200,64.88,19820900,64.42,19821200
1982-08-06 00:00:00,63.75,19821200,64.2,19820900,63.75,19821200
1982-08-09 00:00:00,64.36,19821200,64.78,19820900,64.36,19821200
1982-08-10 00:00:00,64.31,19821200,64.75,19820900,64.31,19821200
1982-08-11 00:00:00,64.2,19821200,64.67,19820900,64.2,19821200
1982-08-12 00:00:00,64.84,19821200,65.31,19820900,64.84,19821200
1982-08-13 00:00:00,65.56,19821200,66.09,19820900,65.56,19821200
1982-08-16 00:00:00,66.23,19821200,66.78,19820900,66.23,19821200
1982-08-17 00:00:00,67.7,19821200,68.33,19820900,67.7,19821200
1982-08-18 00:00:00,68.33,19821200,69.02,19820900,68.33,19821200
1982-08-19 00:00:00,68.25,19821200,68.94,19820900,68.25,19821200
1982-08-20 00:00:00,69.11,19821200,69.89,19820900,69.11,19821200
1982-08-23 00:00:00,68.33,19821200,69.02,19820900,68.33,19821200
1982-08-24 00:00:00,68.91,19821200,69.64,19820900,68.91,19821200
1982-08-25 00:00:00,68.47,19821200,69.19,19820900,68.47,19821200
1982-08-26 00:00:00,67.94,19821200,68.69,19820900,67.94,19821200
1982-08-27 00:00:00,66.69,19830300,67.02,19821200,66.69,19830300
1982-08-30 00:00:00,67.09,19830300,67.44,19821200,67.09,19830300
1982-08-31 00:00:00,66.84,19830300,67.19,19821200,66.84,19830300
1982-09-01 00:00:00,67.19,19830300,67.55,19821200,67.19,19830300
1982-09-02 00:00:00,67.75,19830300,68.08,19821200,67.75,19830300
1982-09-03 00:00:00,68.22,19830300,68.55,19821200,68.22,19830300
1982-09-07 00:00:00,68.05,19830300,68.38,19821200,68.05,19830300
1982-09-08 00:00:00,68.19,19830300,68.5,19821200,68.19,19830300
1982-09-09 00:00:00,68.05,19830300,68.34,19821200,68.05,19830300
1982-09-10 00:00:00,67.09,19830300,67.41,19821200,67.09,19830300
1982-09-13 00:00:00,67.8,19830300,68.09,19821200,67.8,19830300
1982-09-14 00:00:00,67.75,19830300,68.16,19821200,67.75,19830300
1982-09-15 00:00:00,67.7,19830300,68.05,19821200,67.7,19830300
1982-09-16 00:00:00,67.58,19830300,67.91,19821200,67.58,19830300
1982-09-17 00:00:00,67.97,19830300,68.34,19821200,67.97,19830300
1982-09-20 00:00:00,68.12,19830300,68.52,19821200,68.12,19830300
1982-09-21 00:00:00,69.22,19830300,69.69,19821200,69.22,19830300
1982-09-22 00:00:00,69.22,19830300,69.69,19821200,69.22,19830300
1982-09-23 00:00:00,69.56,19830300,70.03,19821200,69.56,19830300
1982-09-24 00:00:00,69.14,19830300,69.56,19821200,69.14,19830300
1982-09-27 00:00:00,69.19,19830300,69.61,19821200,69.19,19830300
1982-09-28 00:00:00,69.69,19830300,70.11,19821200,69.69,19830300
1982-09-29 00:00:00,69.58,19830300,70.06,19821200,69.58,19830300
1982-09-30 00:00:00,69.91,19830300,70.36,19821200,69.91,19830300
1982-10-01 00:00:00,70.7,19830300,71.2,19821200,70.7,19830300
1982-10-04 00:00:00,69.58,19830300,70.03,19821200,69.58,19830300
1982-10-05 00:00:00,69.81,19830300,70.25,19821200,69.81,19830300
1982-10-06 00:00:00,70.53,19830300,71.03,19821200,70.53,19830300
1982-10-07 00:00:00,72.31,19830300,72.81,19821200,72.31,19830300
1982-10-08 00:00:00,72.62,19830300,73.2,19821200,72.62,19830300
1982-10-11 00:00:00,74.41,19830300,75.0,19821200,74.41,19830300
1982-10-12 00:00:00,74.33,19830300,74.91,19821200,74.33,19830300
1982-10-13 00:00:00,74.5,19830300,75.25,19821200,74.5,19830300
1982-10-14 00:00:00,73.62,19830300,74.38,19821200,73.62,19830300
1982-10-15 00:00:00,73.03,19830300,73.77,19821200,73.03,19830300
1982-10-18 00:00:00,73.77,19830300,74.5,19821200,73.77,19830300
1982-10-19 00:00:00,74.19,19830300,74.83,19821200,74.19,19830300
1982-10-20 00:00:00,73.83,19830300,74.44,19821200,73.83,19830300
1982-10-21 00:00:00,73.88,19830300,74.52,19821200,73.88,19830300
1982-10-22 00:00:00,73.28,19830300,73.91,19821200,73.28,19830300
1982-10-25 00:00:00,72.2,19830300,72.77,19821200,72.2,19830300
1982-10-26 00:00:00,73.03,19830300,73.59,19821200,73.03,19830300
1982-10-27 00:00:00,72.69,19830300,73.28,19821200,72.69,19830300
1982-10-28 00:00:00,73.44,19830300,74.05,19821200,73.44,19830300
1982-10-29 00:00:00,74.05,19830300,74.69,19821200,74.05,19830300
1982-11-01 00:00:00,74.55,19830300,75.22,19821200,74.55,19830300
1982-11-03 00:00:00,75.08,19830300,75.75,19821200,75.08,19830300
1982-11-04 00:00:00,75.27,19830300,75.89,19821200,75.27,19830300
1982-11-05 00:00:00,74.91,19830300,75.47,19821200,74.91,19830300
1982-11-08 00:00:00,74.62,19830300,75.22,19821200,74.62,19830300
1982-11-09 00:00:00,74.8,19830300,75.39,19821200,74.8,19830300
