DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2016-02-25,141.7,141.7,141.7,20160600,20160900,20160900
2016-02-26,140.84,140.84,140.84,20160600,20160900,20160900
2016-02-29,141.11,140.17,140.17,20160600,20160900,20160900
2016-03-01,139.91,138.97,138.97,20160600,20160900,20160900
2016-03-02,139.61,138.67,138.67,20160600,20160900,20160900
2016-03-03,139.84,138.91,138.91,20160600,20160900,20160900
2016-03-04,139.22,138.28,138.28,20160600,20160900,20160900
2016-03-07,138.98,138.05,138.05,20160600,20160900,20160900
2016-03-08,139.84,138.91,138.91,20160600,20160900,20160900
2016-03-09,139.16,138.22,138.22,20160600,20160900,20160900
2016-03-10,138.73,137.8,137.8,20160600,20160900,20160900
2016-03-11,138.23,137.3,137.3,20160600,20160900,20160900
2016-03-14,138.44,137.5,137.5,20160600,20160900,20160900
2016-03-15,138.5,137.56,137.56,20160600,20160900,20160900
2016-03-16,138.78,137.84,137.84,20160600,20160900,20160900
2016-03-17,139.22,138.28,138.28,20160600,20160900,20160900
2016-03-18,139.58,138.64,138.64,20160600,20160900,20160900
2016-03-21,139.0,138.06,138.06,20160600,20160900,20160900
2016-03-22,138.75,137.81,137.81,20160600,20160900,20160900
2016-03-23,139.5,138.56,138.56,20160600,20160900,20160900
2016-03-24,139.34,138.41,138.41,20160600,20160900,20160900
2016-03-28,139.66,138.75,138.75,20160600,20160900,20160900
2016-03-29,140.38,139.47,139.47,20160600,20160900,20160900
2016-03-30,140.2,139.3,139.3,20160600,20160900,20160900
2016-03-31,140.75,139.84,139.84,20160600,20160900,20160900
2016-04-01,140.69,139.78,139.78,20160600,20160900,20160900
2016-04-04,140.84,139.94,139.94,20160600,20160900,20160900
2016-04-05,141.45,140.55,140.55,20160600,20160900,20160900
2016-04-06,141.16,140.58,140.58,20160600,20160900,20160900
2016-04-07,141.97,141.39,141.39,20160600,20160900,20160900
2016-04-08,141.64,141.06,141.06,20160600,20160900,20160900
2016-04-11,141.61,141.03,141.03,20160600,20160900,20160900
2016-04-12,140.94,140.5,140.5,20160600,20160900,20160900
2016-04-13,141.19,141.22,141.22,20160600,20160900,20160900
2016-04-14,140.95,141.23,141.23,20160600,20160900,20160900
2016-04-15,141.31,141.62,141.62,20160600,20160900,20160900
2016-04-18,141.08,141.39,141.39,20160600,20160900,20160900
2016-04-19,140.95,141.27,141.27,20160600,20160900,20160900
2016-04-20,140.09,140.45,140.45,20160600,20160900,20160900
2016-04-21,139.89,140.27,140.27,20160600,20160900,20160900
2016-04-22,139.72,140.11,140.11,20160600,20160900,20160900
2016-04-25,139.55,140.03,140.03,20160600,20160900,20160900
2016-04-26,139.2,139.69,139.69,20160600,20160900,20160900
2016-04-27,140.09,140.59,140.59,20160600,20160900,20160900
2016-04-28,140.33,140.86,140.86,20160600,20160900,20160900
2016-04-29,140.56,141.09,141.09,20160600,20160900,20160900
2016-05-02,140.0,140.52,140.52,20160600,20160900,20160900
2016-05-03,140.83,141.38,141.38,20160600,20160900,20160900
2016-05-04,141.03,141.58,141.58,20160600,20160900,20160900
2016-05-05,141.45,142.0,142.0,20160600,20160900,20160900
2016-05-06,141.11,141.66,141.66,20160600,20160900,20160900
2016-05-09,141.39,141.94,141.94,20160600,20160900,20160900
2016-05-10,141.38,141.92,141.92,20160600,20160900,20160900
2016-05-11,141.64,142.16,142.16,20160600,20160900,20160900
2016-05-12,141.25,141.73,141.73,20160600,20160900,20160900
2016-05-13,141.91,142.48,142.48,20160600,20160900,20160900
2016-05-16,141.31,141.84,141.84,20160600,20160900,20160900
2016-05-17,141.22,141.77,141.77,20160600,20160900,20160900
2016-05-18,139.72,140.22,140.22,20160600,20160900,20160900
2016-05-19,140.12,140.66,140.66,20160600,20160900,20160900
2016-05-20,140.11,140.62,140.62,20160600,20160900,20160900
2016-05-23,140.27,140.75,140.75,20160600,20160900,20160900
2016-05-24,140.02,140.52,140.52,20160600,20160900,20160900
2016-05-25,139.91,140.38,140.38,20160600,20160900,20160900
2016-05-26,140.53,141.0,141.0,20160600,20160900,20160900
2016-05-27,140.94,140.94,140.94,20160900,20161200,20161200
2016-05-31,141.02,141.02,141.02,20160900,20161200,20161200
2016-06-01,140.81,140.81,140.81,20160900,20161200,20161200
2016-06-02,141.28,141.28,141.28,20160900,20161200,20161200
2016-06-03,142.7,142.7,142.7,20160900,20161200,20161200
2016-06-06,142.52,142.52,142.52,20160900,20161200,20161200
2016-06-07,142.64,142.64,142.64,20160900,20161200,20161200
2016-06-08,142.75,142.75,142.75,20160900,20161200,20161200
2016-06-09,143.09,143.09,143.09,20160900,20161200,20161200
2016-06-10,143.67,143.67,143.67,20160900,20161200,20161200
2016-06-13,143.94,143.94,143.94,20160900,20161200,20161200
2016-06-14,144.0,144.0,144.0,20160900,20161200,20161200
2016-06-15,144.22,144.22,144.22,20160900,20161200,20161200
2016-06-16,144.59,144.41,144.41,20160900,20161200,20161200
2016-06-17,143.89,143.7,143.7,20160900,20161200,20161200
2016-06-20,143.25,143.06,143.06,20160900,20161200,20161200
2016-06-21,142.91,142.72,142.72,20160900,20161200,20161200
2016-06-22,143.08,142.89,142.89,20160900,20161200,20161200
2016-06-23,142.42,142.23,142.23,20160900,20161200,20161200
2016-06-24,144.53,144.34,144.34,20160900,20161200,20161200
2016-06-27,146.05,145.86,145.86,20160900,20161200,20161200
2016-06-28,146.02,145.83,145.83,20160900,20161200,20161200
2016-06-29,145.83,145.58,145.58,20160900,20161200,20161200
2016-06-30,145.67,145.42,145.42,20160900,20161200,20161200
2016-07-01,145.97,145.72,145.72,20160900,20161200,20161200
2016-07-05,147.3,147.05,147.05,20160900,20161200,20161200
2016-07-06,147.05,146.8,146.8,20160900,20161200,20161200
2016-07-07,147.02,146.77,146.77,20160900,20161200,20161200
2016-07-08,147.3,147.05,147.05,20160900,20161200,20161200
2016-07-11,146.44,146.19,146.19,20160900,20161200,20161200
2016-07-12,145.41,145.16,145.16,20160900,20161200,20161200
2016-07-13,145.97,145.72,145.72,20160900,20161200,20161200
2016-07-14,145.17,144.89,144.89,20160900,20161200,20161200
2016-07-15,144.39,144.11,144.11,20160900,20161200,20161200
2016-07-18,144.5,144.22,144.22,20160900,20161200,20161200
2016-07-19,144.86,144.55,144.55,20160900,20161200,20161200
2016-07-20,144.58,144.27,144.27,20160900,20161200,20161200
2016-07-21,144.81,144.44,144.44,20160900,20161200,20161200
2016-07-22,144.75,144.38,144.38,20160900,20161200,20161200
2016-07-25,144.69,144.31,144.31,20160900,20161200,20161200
2016-07-26,144.8,144.41,144.41,20160900,20161200,20161200
2016-07-27,145.44,145.05,145.05,20160900,20161200,20161200
2016-07-28,145.47,145.08,145.08,20160900,20161200,20161200
2016-07-29,146.2,145.81,145.81,20160900,20161200,20161200
2016-08-01,145.73,145.34,145.34,20160900,20161200,20161200
2016-08-02,145.22,144.83,144.83,20160900,20161200,20161200
2016-08-03,145.16,144.77,144.77,20160900,20161200,20161200
2016-08-04,145.72,145.33,145.33,20160900,20161200,20161200
2016-08-05,144.7,144.31,144.31,20160900,20161200,20161200
2016-08-08,144.64,144.25,144.25,20160900,20161200,20161200
2016-08-09,145.16,144.77,144.77,20160900,20161200,20161200
2016-08-10,145.66,145.25,145.25,20160900,20161200,20161200
2016-08-11,144.73,144.31,144.31,20160900,20161200,20161200
2016-08-12,145.41,144.98,144.98,20160900,20161200,20161200
2016-08-15,144.91,144.48,144.48,20160900,20161200,20161200
2016-08-16,144.61,144.19,144.19,20160900,20161200,20161200
2016-08-17,144.81,144.39,144.39,20160900,20161200,20161200
2016-08-18,145.12,144.66,144.66,20160900,20161200,20161200
2016-08-19,144.61,144.11,144.11,20160900,20161200,20161200
2016-08-22,145.12,144.66,144.66,20160900,20161200,20161200
2016-08-23,144.98,144.52,144.52,20160900,20161200,20161200
2016-08-24,144.95,144.48,144.48,20160900,20161200,20161200
2016-08-25,144.75,144.25,144.25,20160900,20161200,20161200
2016-08-26,143.97,143.48,143.48,20160900,20161200,20161200
2016-08-29,144.36,144.36,144.36,20161200,20170300,20170300
2016-08-30,144.36,144.36,144.36,20161200,20170300,20170300
2016-08-31,144.38,144.38,144.38,20161200,20170300,20170300
2016-09-01,144.31,144.31,144.31,20161200,20170300,20170300
2016-09-02,144.0,144.0,144.0,20161200,20170300,20170300
2016-09-06,144.67,144.67,144.67,20161200,20170300,20170300
2016-09-07,144.72,144.72,144.72,20161200,20170300,20170300
2016-09-08,143.78,143.78,143.78,20161200,20170300,20170300
2016-09-09,143.12,143.12,143.12,20161200,20170300,20170300
2016-09-12,143.22,143.22,143.22,20161200,20170300,20170300
2016-09-13,142.42,142.42,142.42,20161200,20170300,20170300
2016-09-14,143.03,143.03,143.03,20161200,20170300,20170300
2016-09-15,142.84,142.84,142.84,20161200,20170300,20170300
2016-09-16,142.89,142.89,142.89,20161200,20170300,20170300
2016-09-19,142.92,142.92,142.92,20161200,20170300,20170300
2016-09-20,143.05,143.05,143.05,20161200,20170300,20170300
2016-09-21,143.31,143.31,143.31,20161200,20170300,20170300
2016-09-22,143.77,143.77,143.77,20161200,20170300,20170300
2016-09-23,143.98,143.98,143.98,20161200,20170300,20170300
2016-09-26,144.36,144.33,144.33,20161200,20170300,20170300
2016-09-27,144.81,144.77,144.77,20161200,20170300,20170300
2016-09-28,144.66,144.61,144.61,20161200,20170300,20170300
2016-09-29,144.84,144.78,144.78,20161200,20170300,20170300
2016-09-30,144.16,144.09,144.09,20161200,20170300,20170300
2016-10-03,143.97,143.91,143.91,20161200,20170300,20170300
2016-10-04,143.19,143.12,143.12,20161200,20170300,20170300
2016-10-05,142.8,142.72,142.72,20161200,20170300,20170300
2016-10-06,142.45,142.38,142.38,20161200,20170300,20170300
2016-10-07,142.58,142.5,142.5,20161200,20170300,20170300
2016-10-10,142.14,142.06,142.06,20161200,20170300,20170300
2016-10-11,142.28,142.19,142.19,20161200,20170300,20170300
2016-10-12,142.08,141.98,141.98,20161200,20170300,20170300
2016-10-13,142.62,142.5,142.5,20161200,20170300,20170300
