DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1988-05-27,88.94,88.5,88.5,19880900,19881200,19881200
1988-05-31,89.03,88.56,88.56,19880900,19881200,19881200
1988-06-01,89.59,89.16,89.16,19880900,19881200,19881200
1988-06-02,89.48,89.06,89.06,19880900,19881200,19881200
1988-06-03,89.84,89.38,89.38,19880900,19881200,19881200
1988-06-06,89.89,89.45,89.45,19880900,19881200,19881200
1988-06-07,89.75,89.28,89.28,19880900,19881200,19881200
1988-06-08,90.12,89.66,89.66,19880900,19881200,19881200
1988-06-09,89.97,89.48,89.48,19880900,19881200,19881200
1988-06-10,90.08,89.58,89.58,19880900,19881200,19881200
1988-06-13,90.17,89.67,89.67,19880900,19881200,19881200
1988-06-14,90.97,90.47,90.47,19880900,19881200,19881200
1988-06-15,90.78,90.28,90.28,19880900,19881200,19881200
1988-06-16,90.2,89.7,89.7,19880900,19881200,19881200
1988-06-17,89.78,89.31,89.31,19880900,19881200,19881200
1988-06-20,89.75,89.28,89.28,19880900,19881200,19881200
1988-06-21,89.72,89.25,89.25,19880900,19881200,19881200
1988-06-22,90.17,89.69,89.69,19880900,19881200,19881200
1988-06-23,90.27,89.83,89.83,19880900,19881200,19881200
1988-06-24,90.31,89.88,89.88,19880900,19881200,19881200
1988-06-27,90.03,89.59,89.59,19880900,19881200,19881200
1988-06-28,90.23,89.81,89.81,19880900,19881200,19881200
1988-06-29,90.27,89.86,89.86,19880900,19881200,19881200
1988-06-30,90.47,90.05,90.05,19880900,19881200,19881200
1988-07-01,90.55,90.11,90.11,19880900,19881200,19881200
1988-07-05,90.39,89.97,89.97,19880900,19881200,19881200
1988-07-06,90.19,89.75,89.75,19880900,19881200,19881200
1988-07-07,90.12,89.75,89.75,19880900,19881200,19881200
1988-07-08,89.69,89.3,89.3,19880900,19881200,19881200
1988-07-11,89.84,89.44,89.44,19880900,19881200,19881200
1988-07-12,89.61,89.2,89.2,19880900,19881200,19881200
1988-07-13,89.53,89.12,89.12,19880900,19881200,19881200
1988-07-14,89.48,89.08,89.08,19880900,19881200,19881200
1988-07-15,89.69,89.28,89.28,19880900,19881200,19881200
1988-07-18,89.5,89.09,89.09,19880900,19881200,19881200
1988-07-19,89.66,89.27,89.27,19880900,19881200,19881200
1988-07-20,89.66,89.27,89.27,19880900,19881200,19881200
1988-07-21,89.52,89.19,89.19,19880900,19881200,19881200
1988-07-22,89.66,89.34,89.34,19880900,19881200,19881200
1988-07-25,89.7,89.38,89.38,19880900,19881200,19881200
1988-07-26,89.72,89.44,89.44,19880900,19881200,19881200
1988-07-27,89.44,89.14,89.14,19880900,19881200,19881200
1988-07-28,89.42,89.11,89.11,19880900,19881200,19881200
1988-07-29,89.55,89.25,89.25,19880900,19881200,19881200
1988-08-01,89.7,89.41,89.41,19880900,19881200,19881200
1988-08-02,89.92,89.61,89.61,19880900,19881200,19881200
1988-08-03,89.86,89.55,89.55,19880900,19881200,19881200
1988-08-04,90.05,89.69,89.69,19880900,19881200,19881200
1988-08-05,89.52,89.2,89.2,19880900,19881200,19881200
1988-08-08,89.48,89.17,89.17,19880900,19881200,19881200
1988-08-09,89.11,88.8,88.8,19880900,19881200,19881200
1988-08-10,88.73,88.44,88.44,19880900,19881200,19881200
1988-08-11,88.69,88.39,88.39,19880900,19881200,19881200
1988-08-12,88.69,88.38,88.38,19880900,19881200,19881200
1988-08-15,88.66,88.34,88.34,19880900,19881200,19881200
1988-08-16,88.66,88.34,88.34,19880900,19881200,19881200
1988-08-17,88.61,88.34,88.34,19880900,19881200,19881200
1988-08-18,88.59,88.3,88.3,19880900,19881200,19881200
1988-08-19,88.62,88.31,88.31,19880900,19881200,19881200
1988-08-22,88.5,88.19,88.19,19880900,19881200,19881200
1988-08-23,88.69,88.39,88.39,19880900,19881200,19881200
1988-08-24,88.67,88.36,88.36,19880900,19881200,19881200
1988-08-25,88.44,88.11,88.11,19880900,19881200,19881200
1988-08-26,88.52,88.2,88.2,19880900,19881200,19881200
1988-08-29,88.42,88.16,88.16,19881200,19890300,19890300
1988-08-30,88.52,88.27,88.27,19881200,19890300,19890300
1988-08-31,88.66,88.39,88.39,19881200,19890300,19890300
1988-09-01,88.66,88.39,88.39,19881200,19890300,19890300
1988-09-02,89.56,89.31,89.31,19881200,19890300,19890300
1988-09-06,89.62,89.38,89.38,19881200,19890300,19890300
1988-09-07,89.62,89.33,89.33,19881200,19890300,19890300
1988-09-08,89.61,89.31,89.31,19881200,19890300,19890300
1988-09-09,89.88,89.58,89.58,19881200,19890300,19890300
1988-09-12,89.77,89.47,89.47,19881200,19890300,19890300
1988-09-13,89.81,89.52,89.52,19881200,19890300,19890300
1988-09-14,90.0,89.7,89.7,19881200,19890300,19890300
1988-09-15,89.86,89.58,89.58,19881200,19890300,19890300
1988-09-16,89.84,89.55,89.55,19881200,19890300,19890300
1988-09-19,89.69,89.41,89.41,19881200,19890300,19890300
1988-09-20,89.69,89.41,89.41,19881200,19890300,19890300
1988-09-21,89.81,89.52,89.52,19881200,19890300,19890300
