DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2007-01-22 00:00:00,12.88,20070300,13.35,20070400,14.06,20070500
2007-01-23 00:00:00,12.58,20070300,13.33,20070400,13.9,20070500
2007-01-24 00:00:00,12.51,20070300,13.28,20070400,13.75,20070500
2007-01-25 00:00:00,12.78,20070300,13.45,20070400,13.91,20070500
2007-01-26 00:00:00,12.78,20070300,13.47,20070400,13.9,20070500
2007-01-29 00:00:00,12.81,20070300,13.45,20070400,13.9,20070500
2007-01-30 00:00:00,12.64,20070300,13.35,20070400,13.78,20070500
2007-01-31 00:00:00,12.35,20070300,13.17,20070400,13.76,20070500
2007-02-01 00:00:00,12.27,20070300,13.08,20070400,13.64,20070500
2007-02-02 00:00:00,12.24,20070300,13.08,20070400,13.66,20070500
2007-02-05 00:00:00,12.28,20070300,13.05,20070400,13.71,20070500
2007-02-06 00:00:00,12.03,20070300,12.83,20070400,13.48,20070500
2007-02-07 00:00:00,11.89,20070300,12.83,20070400,13.49,20070500
2007-02-08 00:00:00,11.97,20070300,12.83,20070400,13.55,20070500
2007-02-09 00:00:00,12.2,20070300,13.17,20070400,13.74,20070500
2007-02-12 00:00:00,12.42,20070300,13.39,20070400,13.95,20070500
2007-02-13 00:00:00,11.99,20070300,13.14,20070400,13.7,20070500
2007-02-14 00:00:00,11.63,20070300,12.8,20070400,13.51,20070500
2007-02-15 00:00:00,11.55,20070300,12.61,20070400,13.39,20070500
2007-02-16 00:00:00,11.56,20070300,12.58,20070400,13.37,20070500
2007-02-20 00:00:00,11.37,20070300,12.31,20070400,13.2,20070500
2007-02-21 00:00:00,12.26,20070400,13.12,20070500,13.59,20070600
2007-02-22 00:00:00,12.21,20070400,13.08,20070500,13.52,20070600
2007-02-23 00:00:00,12.59,20070400,13.24,20070500,13.69,20070600
2007-02-26 00:00:00,12.54,20070400,13.2,20070500,13.68,20070600
2007-02-27 00:00:00,14.49,20070400,14.42,20070500,14.42,20070600
2007-02-28 00:00:00,13.55,20070400,13.88,20070500,13.99,20070600
2007-03-01 00:00:00,14.04,20070400,14.04,20070500,14.19,20070600
2007-03-02 00:00:00,14.59,20070400,14.69,20070500,14.67,20070600
2007-03-05 00:00:00,15.01,20070400,14.93,20070500,14.79,20070600
2007-03-06 00:00:00,14.12,20070400,14.1,20070500,14.31,20070600
2007-03-07 00:00:00,14.17,20070400,14.04,20070500,14.05,20070600
2007-03-08 00:00:00,13.71,20070400,13.75,20070500,14.01,20070600
2007-03-09 00:00:00,13.76,20070400,13.84,20070500,14.0,20070600
2007-03-12 00:00:00,13.62,20070400,13.81,20070500,13.84,20070600
2007-03-13 00:00:00,14.59,20070400,14.49,20070500,14.47,20070600
2007-03-14 00:00:00,15.15,20070400,14.82,20070500,14.57,20070600
2007-03-15 00:00:00,15.33,20070400,14.89,20070500,14.57,20070600
2007-03-16 00:00:00,15.79,20070400,15.22,20070500,14.95,20070600
2007-03-19 00:00:00,14.89,20070400,14.69,20070500,14.67,20070600
2007-03-20 00:00:00,14.38,20070400,14.46,20070500,14.86,20070600
2007-03-21 00:00:00,13.28,20070400,13.6,20070500,13.81,20070600
2007-03-22 00:00:00,13.72,20070500,13.85,20070600,14.05,20070700
2007-03-23 00:00:00,13.87,20070500,13.87,20070600,14.0,20070700
2007-03-26 00:00:00,13.79,20070500,13.86,20070600,13.95,20070700
2007-03-27 00:00:00,13.99,20070500,13.98,20070600,14.05,20070700
2007-03-28 00:00:00,14.59,20070500,14.39,20070600,14.29,20070700
2007-03-29 00:00:00,14.55,20070500,14.48,20070600,14.29,20070700
2007-03-30 00:00:00,14.39,20070500,14.5,20070600,14.31,20070700
2007-04-02 00:00:00,14.77,20070500,14.61,20070600,14.41,20070700
2007-04-03 00:00:00,14.28,20070500,14.21,20070600,14.09,20070700
2007-04-04 00:00:00,14.2,20070500,14.38,20070600,14.42,20070700
2007-04-05 00:00:00,14.0,20070500,14.26,20070600,14.38,20070700
2007-04-09 00:00:00,14.03,20070500,14.21,20070600,14.24,20070700
2007-04-10 00:00:00,13.59,20070500,14.11,20070600,14.25,20070700
2007-04-11 00:00:00,13.99,20070500,14.48,20070600,14.5,20070700
2007-04-12 00:00:00,13.73,20070500,14.28,20070600,14.33,20070700
2007-04-13 00:00:00,13.57,20070500,14.02,20070600,14.13,20070700
2007-04-16 00:00:00,12.97,20070500,13.35,20070600,13.48,20070700
2007-04-17 00:00:00,13.14,20070500,13.3,20070600,13.45,20070700
2007-04-18 00:00:00,13.13,20070500,13.37,20070600,13.54,20070700
2007-04-19 00:00:00,13.02,20070500,13.53,20070600,13.8,20070700
2007-04-20 00:00:00,13.03,20070500,13.48,20070600,13.71,20070700
2007-04-23 00:00:00,13.73,20070600,13.91,20070700,14.14,20070800
2007-04-24 00:00:00,13.73,20070600,13.97,20070700,14.06,20070800
2007-04-25 00:00:00,13.51,20070600,13.72,20070700,13.89,20070800
2007-04-26 00:00:00,13.63,20070600,13.9,20070700,14.11,20070800
2007-04-27 00:00:00,13.54,20070600,13.75,20070700,14.05,20070800
2007-04-30 00:00:00,13.86,20070600,14.09,20070700,14.1,20070800
2007-05-01 00:00:00,13.85,20070600,13.99,20070700,14.11,20070800
