DATE_TIME,current_contract,next_contract,carry_contract
1980-03-07,19800300,19800500,19800500
1980-05-07,19800500,19800700,19800700
1980-07-09,19800700,19801000,19801000
1980-10-09,19801000,19801200,19801200
1980-12-08,19801200,19810300,19810300
1981-03-09,19810300,19810500,19810500
1981-05-06,19810500,19810700,19810700
1981-07-09,19810700,19811000,19811000
1981-10-08,19811000,19811200,19811200
1981-12-08,19811200,19820300,19820300
1982-03-09,19820300,19820500,19820500
1982-05-06,19820500,19820700,19820700
1982-07-08,19820700,19821000,19821000
1982-10-07,19821000,19821200,19821200
1982-12-07,19821200,19830300,19830300
1983-03-09,19830300,19830500,19830500
1983-05-06,19830500,19830700,19830700
1983-07-07,19830700,19831000,19831000
1983-10-07,19831000,19831200,19831200
1983-12-07,19831200,19840300,19840300
1984-03-08,19840300,19840500,19840500
1984-05-08,19840500,19840700,19840700
1984-07-09,19840700,19841000,19841000
1984-10-09,19841000,19841200,19841200
1984-12-06,19841200,19850300,19850300
1985-03-07,19850300,19850500,19850500
1985-05-08,19850500,19850700,19850700
1985-07-09,19850700,19851000,19851000
1985-10-09,19851000,19851200,19851200
1985-12-06,19851200,19860300,19860300
1986-03-06,19860300,19860500,19860500
1986-05-07,19860500,19860700,19860700
1986-07-09,19860700,19861000,19861000
1986-10-09,19861000,19861200,19861200
1986-12-08,19861200,19870300,19870300
1987-03-09,19870300,19870500,19870500
1987-05-06,19870500,19870700,19870700
1987-07-09,19870700,19871000,19871000
1987-10-08,19871000,19871200,19871200
1987-12-08,19871200,19880300,19880300
1988-03-09,19880300,19880500,19880500
1988-05-06,19880500,19880700,19880700
1988-07-07,19880700,19881000,19881000
1988-10-07,19881000,19881200,19881200
1988-12-07,19881200,19890300,19890300
1989-03-08,19890300,19890500,19890500
1989-05-08,19890500,19890700,19890700
1989-07-07,19890700,19891000,19891000
1989-10-09,19891000,19891200,19891200
1989-12-06,19891200,19900300,19900300
1990-03-08,19900300,19900500,19900500
1990-05-08,19900500,19900700,19900700
1990-07-09,19900700,19901000,19901000
1990-10-09,19901000,19901200,19901200
1990-12-06,19901200,19910300,19910300
1991-03-06,19910300,19910500,19910500
1991-05-08,19910500,19910700,19910700
1991-07-09,19910700,19911000,19911000
1991-10-09,19911000,19911200,19911200
1991-12-06,19911200,19920300,19920300
1992-03-09,19920300,19920500,19920500
1992-05-06,19920500,19920700,19920700
1992-07-09,19920700,19921000,19921000
1992-10-08,19921000,19921200,19921200
1992-12-08,19921200,19930300,19930300
1993-03-09,19930300,19930500,19930500
1993-05-06,19930500,19930700,19930700
1993-07-08,19930700,19931000,19931000
1993-10-07,19931000,19931200,19931200
1993-12-07,19931200,19940300,19940300
1994-03-09,19940300,19940500,19940500
1994-05-06,19940500,19940700,19940700
1994-07-07,19940700,19941000,19941000
1994-10-07,19941000,19941200,19941200
1994-12-07,19941200,19950300,19950300
1995-03-09,19950300,19950500,19950500
1995-05-08,19950500,19950700,19950700
1995-07-07,19950700,19951000,19951000
1995-10-09,19951000,19951200,19951200
1995-12-06,19951200,19960300,19960300
1996-03-07,19960300,19960500,19960500
1996-05-08,19960500,19960700,19960700
1996-07-09,19960700,19961000,19961000
1996-10-09,19961000,19961200,19961200
1996-12-06,19961200,19970300,19970300
1997-03-06,19970300,19970500,19970500
1997-05-07,19970500,19970700,19970700
1997-07-09,19970700,19971000,19971000
1997-10-09,19971000,19971200,19971200
1997-12-08,19971200,19980300,19980300
1998-03-09,19980300,19980500,19980500
1998-05-06,19980500,19980700,19980700
1998-07-09,19980700,19981000,19981000
1998-10-08,19981000,19981200,19981200
1998-12-08,19981200,19990300,19990300
1999-03-09,19990300,19990500,19990500
1999-05-06,19990500,19990700,19990700
1999-07-08,19990700,19991000,19991000
1999-10-07,19991000,19991200,19991200
1999-12-07,19991200,20000300,20000300
2000-03-10,20000300,20000500,20000500
2000-05-08,20000500,20000700,20000700
2000-07-07,20000700,20001000,20001000
2000-10-09,20001000,20001200,20001200
2000-12-06,20001200,20010300,20010300
2001-03-08,20010300,20010500,20010500
2001-05-08,20010500,20010700,20010700
2001-07-09,20010700,20011000,20011000
2001-10-11,20011000,20011200,20011200
2001-12-04,20011200,20020300,20020300
2002-03-06,20020300,20020500,20020500
2002-05-08,20020500,20020700,20020700
2002-07-09,20020700,20021000,20021000
2002-10-09,20021000,20021200,20021200
2002-12-05,20021200,20030300,20030300
2003-03-07,20030300,20030500,20030500
2003-05-07,20030500,20030700,20030700
2003-07-09,20030700,20031000,20031000
2003-10-09,20031000,20031200,20031200
2003-12-05,20031200,20040300,20040300
2004-03-09,20040300,20040500,20040500
2004-05-06,20040500,20040700,20040700
2004-07-08,20040700,20041000,20041000
2004-10-07,20041000,20041200,20041200
2004-12-08,20041200,20050300,20050300
2005-03-08,20050300,20050500,20050500
2005-05-06,20050500,20050700,20050700
2005-07-11,20050700,20051000,20051000
2005-10-07,20051000,20051200,20051200
2005-12-07,20051200,20060300,20060300
2006-03-09,20060300,20060500,20060500
2006-05-08,20060500,20060700,20060700
2006-07-07,20060700,20061000,20061000
2006-10-09,20061000,20061200,20061200
2006-12-06,20061200,20070300,20070300
2007-03-08,20070300,20070500,20070500
2007-05-08,20070500,20070700,20070700
2007-07-09,20070700,20071000,20071000
2007-10-10,20071000,20071200,20071200
2007-12-06,20071200,20080300,20080300
2008-03-06,20080300,20080500,20080500
2008-05-07,20080500,20080700,20080700
2008-07-09,20080700,20081000,20081000
2008-10-09,20081000,20081200,20081200
2008-12-08,20081200,20090300,20090300
2009-03-09,20090300,20090500,20090500
2009-05-06,20090500,20090700,20090700
2009-07-09,20090700,20091000,20091000
2009-10-08,20091000,20091200,20091200
2009-12-08,20091200,20100300,20100300
2010-03-09,20100300,20100500,20100500
2010-05-06,20100500,20100700,20100700
2010-07-08,20100700,20101000,20101000
2010-10-07,20101000,20101200,20101200
2010-12-08,20101200,20110300,20110300
2011-03-09,20110300,20110500,20110500
2011-05-06,20110500,20110700,20110700
2011-07-07,20110700,20111000,20111000
