DATE_TIME,current_contract,next_contract,carry_contract
1982-12-06,19830100,19830300,19830300
1983-02-03,19830300,19830500,19830500
1983-04-05,19830500,19830700,19830700
1983-06-06,19830700,19830900,19830900
1983-08-05,19830900,19831100,19831100
1983-10-06,19831100,19840100,19840100
1983-12-06,19840100,19840300,19840300
1984-02-03,19840300,19840500,19840500
1984-04-05,19840500,19840700,19840700
1984-06-05,19840700,19840900,19840900
1984-08-06,19840900,19841100,19841100
1984-10-05,19841100,19850100,19850100
1984-12-06,19850100,19850300,19850300
1985-02-04,19850300,19850500,19850500
1985-04-04,19850500,19850700,19850700
1985-06-05,19850700,19850900,19850900
1985-08-06,19850900,19851100,19851100
1985-10-07,19851100,19860100,19860100
1985-12-06,19860100,19860300,19860300
1986-02-03,19860300,19860500,19860500
1986-04-04,19860500,19860700,19860700
1986-06-05,19860700,19860900,19860900
1986-08-06,19860900,19861100,19861100
1986-10-06,19861100,19870100,19870100
1986-12-05,19870100,19870300,19870300
1987-02-03,19870300,19870500,19870500
1987-04-06,19870500,19870700,19870700
1987-06-05,19870700,19870900,19870900
1987-08-06,19870900,19871100,19871100
1987-10-06,19871100,19880100,19880100
1987-12-07,19880100,19880300,19880300
1988-02-04,19880300,19880500,19880500
1988-04-05,19880500,19880700,19880700
1988-06-06,19880700,19880900,19880900
1988-08-05,19880900,19881100,19881100
1988-10-06,19881100,19890100,19890100
1988-12-06,19890100,19890300,19890300
1989-02-03,19890300,19890500,19890500
1989-04-05,19890500,19890700,19890700
1989-06-05,19890700,19890900,19890900
1989-08-07,19890900,19891100,19891100
1989-10-06,19891100,19900100,19900100
1989-12-06,19900100,19900300,19900300
1990-02-02,19900300,19900500,19900500
1990-04-05,19900500,19900700,19900700
1990-06-05,19900700,19900900,19900900
1990-08-06,19900900,19901100,19901100
1990-10-05,19901100,19910100,19910100
1990-12-06,19910100,19910300,19910300
1991-02-04,19910300,19910500,19910500
1991-04-05,19910500,19910700,19910700
1991-06-05,19910700,19910900,19910900
1991-08-06,19910900,19911100,19911100
1991-10-07,19911100,19920100,19920100
1991-12-06,19920100,19920300,19920300
1992-02-04,19920300,19920500,19920500
1992-04-06,19920500,19920700,19920700
1992-06-05,19920700,19920900,19920900
1992-08-06,19920900,19921100,19921100
1992-10-06,19921100,19930100,19930100
1992-12-07,19930100,19930300,19930300
1993-02-03,19930300,19930500,19930500
1993-04-05,19930500,19930700,19930700
1993-06-04,19930700,19930900,19930900
1993-08-06,19930900,19931100,19931100
1993-10-06,19931100,19940100,19940100
1993-12-06,19940100,19940300,19940300
1994-02-03,19940300,19940500,19940500
1994-04-05,19940500,19940700,19940700
1994-06-06,19940700,19940900,19940900
1994-08-05,19940900,19941100,19941100
1994-10-06,19941100,19950100,19950100
1994-12-06,19950100,19950300,19950300
1995-02-03,19950300,19950500,19950500
1995-04-05,19950500,19950700,19950700
1995-06-05,19950700,19950900,19950900
1995-08-07,19950900,19951100,19951100
1995-10-06,19951100,19960100,19960100
1995-12-06,19960100,19960300,19960300
1996-02-05,19960300,19960500,19960500
1996-04-04,19960500,19960700,19960700
1996-06-05,19960700,19960900,19960900
1996-08-06,19960900,19961100,19961100
1996-10-07,19961100,19970100,19970100
1996-12-06,19970100,19970300,19970300
1997-02-03,19970300,19970500,19970500
1997-04-04,19970500,19970700,19970700
1997-06-05,19970700,19970900,19970900
1997-08-06,19970900,19971100,19971100
1997-10-06,19971100,19980100,19980100
1997-12-05,19980100,19980300,19980300
1998-02-03,19980300,19980500,19980500
1998-04-06,19980500,19980700,19980700
1998-06-05,19980700,19980900,19980900
1998-08-06,19980900,19981100,19981100
1998-10-06,19981100,19990100,19990100
1998-12-07,19990100,19990300,19990300
1999-02-03,19990300,19990500,19990500
1999-04-06,19990500,19990700,19990700
1999-06-04,19990700,19990900,19990900
1999-08-06,19990900,19991100,19991100
1999-10-06,19991100,20000100,20000100
1999-12-06,20000100,20000300,20000300
2000-02-04,20000300,20000500,20000500
2000-04-05,20000500,20000700,20000700
2000-06-05,20000700,20000900,20000900
2000-08-07,20000900,20001100,20001100
2000-10-06,20001100,20010100,20010100
2000-12-06,20010100,20010300,20010300
2001-02-02,20010300,20010500,20010500
2001-04-05,20010500,20010700,20010700
2001-06-05,20010700,20010900,20010900
2001-08-06,20010900,20011100,20011100
2001-10-05,20011100,20020100,20020100
2001-12-06,20020100,20020300,20020300
2002-02-04,20020300,20020500,20020500
2002-04-05,20020500,20020700,20020700
2002-06-05,20020700,20020900,20020900
2002-08-06,20020900,20021100,20021100
2002-10-07,20021100,20030100,20030100
2002-12-06,20030100,20030300,20030300
2003-02-03,20030300,20030500,20030500
2003-04-04,20030500,20030700,20030700
2003-06-05,20030700,20030900,20030900
2003-08-06,20030900,20031100,20031100
2003-10-06,20031100,20040100,20040100
2003-12-05,20040100,20040300,20040300
2004-02-04,20040300,20040500,20040500
