DATE_TIME,current_contract,next_contract,carry_contract
1979-11-30,19800100,19800300,19800300
1980-01-29,19800300,19800500,19800500
1980-03-31,19800500,19800700,19800700
1980-05-30,19800700,19801000,19801000
1980-08-29,19801000,19810300,19810300
1981-01-28,19810300,19810500,19810500
1981-03-30,19810500,19810700,19810700
1981-05-29,19810700,19811000,19811000
1981-08-31,19811000,19820300,19820300
1982-01-28,19820300,19820500,19820500
1982-03-30,19820500,19820700,19820700
1982-05-28,19820700,19821000,19821000
1982-08-30,19821000,19830300,19830300
1983-01-28,19830300,19830500,19830500
1983-03-30,19830500,19830700,19830700
1983-05-31,19830700,19831000,19831000
1983-08-30,19831000,19840300,19840300
1984-01-30,19840300,19840500,19840500
1984-03-30,19840500,19840700,19840700
1984-05-30,19840700,19841000,19841000
1984-08-30,19841000,19850300,19850300
1985-01-28,19850300,19850500,19850500
1985-03-29,19850500,19850700,19850700
1985-05-30,19850700,19851000,19851000
1985-08-30,19851000,19860300,19860300
1986-01-28,19860300,19860500,19860500
1986-03-31,19860500,19860700,19860700
1986-05-30,19860700,19861000,19861000
1986-08-29,19861000,19870300,19870300
1987-01-28,19870300,19870500,19870500
1987-03-30,19870500,19870700,19870700
1987-05-29,19870700,19871000,19871000
1987-08-31,19871000,19880300,19880300
1988-01-29,19880300,19880500,19880500
1988-03-30,19880500,19880700,19880700
1988-05-31,19880700,19881000,19881000
1988-08-30,19881000,19890300,19890300
1989-01-27,19890300,19890500,19890500
1989-03-30,19890500,19890700,19890700
1989-05-30,19890700,19891000,19891000
1989-08-30,19891000,19900300,19900300
1990-01-29,19900300,19900500,19900500
1990-03-30,19900500,19900700,19900700
1990-05-30,19900700,19901000,19901000
1990-08-30,19901000,19910300,19910300
1991-01-28,19910300,19910500,19910500
1991-03-28,19910500,19910700,19910700
1991-05-30,19910700,19911000,19911000
1991-08-30,19911000,19920300,19920300
1992-01-29,19920300,19920500,19920500
1992-03-30,19920500,19920700,19920700
1992-05-29,19920700,19921000,19921000
1992-08-31,19921000,19930300,19930300
1993-01-28,19930300,19930500,19930500
1993-03-30,19930500,19930700,19930700
1993-05-28,19930700,19931000,19931000
1993-08-30,19931000,19940300,19940300
1994-01-28,19940300,19940500,19940500
1994-03-30,19940500,19940700,19940700
1994-05-31,19940700,19941000,19941000
1994-08-30,19941000,19950300,19950300
1995-01-27,19950300,19950500,19950500
1995-03-30,19950500,19950700,19950700
1995-05-30,19950700,19951000,19951000
1995-08-30,19951000,19960300,19960300
1996-01-29,19960300,19960500,19960500
1996-03-29,19960500,19960700,19960700
1996-05-30,19960700,19961000,19961000
1996-08-30,19961000,19970300,19970300
1997-01-28,19970300,19970500,19970500
1997-03-31,19970500,19970700,19970700
1997-05-30,19970700,19971000,19971000
1997-08-29,19971000,19980300,19980300
1998-01-28,19980300,19980500,19980500
1998-03-30,19980500,19980700,19980700
1998-05-29,19980700,19981000,19981000
1998-08-31,19981000,19990300,19990300
1999-01-28,19990300,19990500,19990500
1999-03-30,19990500,19990700,19990700
1999-05-28,19990700,19991000,19991000
1999-08-30,19991000,20000300,20000300
2000-01-28,20000300,20000500,20000500
2000-03-30,20000500,20000700,20000700
2000-05-30,20000700,20001000,20001000
2000-08-30,20001000,20010300,20010300
