Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
BUXL_fsb,HMUZ,-5,1,HMUZ,7
CAD_fsb,HMUZ,-5,1,HMUZ,10
CARBON_fsb,Z,-5,-1,FGHJKMNQUVXZ,15
CRUDE_W_fsb,FGHJKMNQUVXZ,-40,-1,FGHJKMNQUVXZ,-11
DAX_fsb,HMUZ,-5,1,HMUZ,17
EUROSTX_fsb,HMUZ,-5,1,HMUZ,15
GILT_fsb,HMUZ,-5,1,HMUZ,26
GOLD_fsb,GJMQZ,-30,1,GJMQZ,26
HANG_fsb,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,28
NASDAQ_fsb,HMUZ,-5,1,HMUZ,14
NIKKEI_fsb,HMUZ,-5,1,HMUZ,10
NZD_fsb,HMUZ,-5,1,HMUZ,17
SOYOIL_fsb,FHKNQUVZ,-30,-1,FHKNQUVZ,15
US30_fsb,HMUZ,-5,1,HMUZ,26
