Instrument,Pointsize,PerTrade,AssetClass,PerBlock,Description,Percentage,Currency,Slippage
BUXL_fsb,0.5,0.0,Bond,0.0,Buxl futures spread bet,0.0,GBP,2.0
CAD_fsb,1.0,0.0,FX,0.0,USDCAD  futures spread bet,0.0,GBP,3.65
CARBON_fsb,0.25,0.0,OilGas,0.0,Carbon Emissions futures spread bet,0.0,GBP,5.5
CRUDE_W_fsb,1.0,0.0,OilGas,0.0,Crude oil futures spread bet,0.0,GBP,3.0
DAX_fsb,0.5,0.0,Equity,0.0,DAX futures spread bet,0.0,GBP,3.0
EUROSTX_fsb,1.0,0.0,Equity,0.0,EUROSTOXX futures spread bet,0.0,GBP,1.0
GILT_fsb,0.5,0.0,Bond,0.0,UK Govt Bond futures spread bet,0.0,GBP,1.0
GOLD_fsb,1.0,0.0,Metals,0.0,Gold futures spread bet,0.0,GBP,0.3
HANG_fsb,0.2,0.0,Equity,0.0,Hang Seng futures spread bet,0.0,GBP,8.0
NASDAQ_fsb,0.5,0.0,Equity,0.0,Nasdaq futures spread bet,0.0,GBP,1.5
NIKKEI_fsb,0.5,0.0,Equity,0.0,Nikkei futures spread bet,0.0,GBP,10.0
NZD_fsb,1.0,0.0,FX,0.0,NZDUSD futures spread bet,0.0,GBP,2.9
SOYOIL_fsb,1.0,0.0,Ags,0.0,Soybean Oil futures spread bet,0.0,GBP,5.0
US30_fsb,0.5,0.0,Bond,0.0,US Ultra Treasury Bond futures spread bet,0.0,GBP,2.0
