Instrument,Pointsize,PerTrade,AssetClass,PerBlock,Description,Percentage,Currency,Slippage
AEX,5.0,0.0,Equity,0.0,Netherlands equity index AEX,0.0,GBP,0.1
ASX,2.0,0.0,Equity,0.0,Australian 200 Index ***,0.0,GBP,2.0
AUD,1.0,0.0,FX,0.0,AUDUSD currency,0.0,GBP,5.3
BITCOIN,1.0,0.0,Metals,0.0,Bitcoin,0.0,GBP,70.0
BOBL,0.5,0.0,Bond,0.0,German 5 year bond Bobl,0.0,GBP,1.5
BRENT_W,1.0,0.0,OilGas,0.0,Brent Crude,0.0,GBP,4.0
BTP,0.5,0.0,Bond,0.0,Italian 10 year bond BTP,0.0,GBP,2.5
BUND,0.5,0.0,Bond,0.0,German 10 year bond Bund,0.0,GBP,1.5
BUXL,0.5,0.0,Bond,0.0,German Buxl 15 to 30 year bond,0.0,GBP,2.0
CAC,1.0,0.0,Equity,0.0,French equity index CAC40,0.0,GBP,2.0
CAD,1.0,0.0,FX,0.0,USDCAD currency,0.0,GBP,3.65
CARBON,0.25,0.0,OilGas,0.0,Carbon Emissions,0.0,GBP,5.5
CHF,1.0,0.0,FX,0.0,USDCHF currency,0.0,GBP,4.75
COCOA_LDN,0.5,0.0,Ags,0.0,Cocoa London,0.0,GBP,2.0
COCOA_NY,1.0,0.0,Ags,0.0,Cocoa New York,0.0,GBP,4.0
COFFEE,0.5,0.0,Ags,0.0,Coffee New York Arabica,0.0,GBP,20.0
COFFEE_LDN,0.5,0.0,Ags,0.0,Coffee London Robusta,0.0,GBP,3.0
COPPER,0.1,0.0,Metals,0.0,Copper,0.0,GBP,20.0
CORN,10.0,0.0,Ags,0.0,Corn,0.0,GBP,0.5
COTTON,0.5,0.0,Ags,0.0,Cotton,0.0,GBP,12.5
CRUDE_W,1.0,0.0,OilGas,0.0,Light sweet crude Winter,0.0,GBP,3.0
DAX,0.5,0.0,Equity,0.0,DAX 30 Index,0.0,GBP,3.0
DOLLAR,0.5,0.0,FX,0.0,USD/Basket global currencies,0.0,GBP,4.25
DOW,0.2,0.0,Equity,0.0,Dow Jones Industrial Average Index,0.0,GBP,3.0
EDOLLAR,0.5,0.0,STIR,0.0,US STIR Eurodollar,0.0,GBP,0.8
EUR,0.5,0.0,FX,0.0,EURUSD currency,0.0,GBP,5.3
EURGBP,1.0,0.0,FX,0.0,EURGBP currency,0.0,GBP,3.95
EURIBOR,0.5,0.0,STIR,0.0,Three Month EURIBOR,0.0,GBP,0.75
EUROSTX,1.0,0.0,Equity,0.0,European equity index EUROSTOXX50,0.0,GBP,1.0
FTSE,0.5,0.0,Equity,0.0,UK FTSE Index,0.0,GBP,4.0
GASOIL_LDN,10.0,0.0,OilGas,0.0,London Gas Oil,0.0,GBP,0.6
GASOLINE,0.5,0.0,OilGas,0.0,Gasoline,0.0,GBP,15.0
GAS_US,1.0,0.0,OilGas,0.0,Natural gas US,0.0,GBP,10.0
GBP,1.0,0.0,FX,0.0,GBPUSD currency,0.0,GBP,5.25
GILT,0.5,0.0,Bond,0.0,UK Govt Bond,0.0,GBP,1.0
GOLD,1.0,0.0,Metals,0.0,Gold,0.0,GBP,0.3
HANG,0.2,0.0,Equity,0.0,Hang Seng HK Index,0.0,GBP,8.0
HEATOIL,0.5,0.0,OilGas,0.0,Heating Oil,0.0,GBP,15.0
JGB,0.5,0.0,Bond,0.0,Japanese Govt Bond,0.0,GBP,3.0
JPY,1.0,0.0,FX,0.0,JPYUSD currency,0.0,GBP,10.0
LEANHOG,0.1,0.0,Ags,0.0,Lean hogs,0.0,GBP,7.5
LIVECOW,0.5,0.0,Ags,0.0,Live cattle,0.0,GBP,10.0
LUMBER,0.1,0.0,Ags,0.0,Random Length Lumber,0.0,GBP,1000.0
MXP,0.1,0.0,FX,0.0,MXNUSD currency,0.0,GBP,75.0
NASDAQ,0.5,0.0,Equity,0.0,US equity index Nasdaq,0.0,GBP,1.5
NIKKEI,0.5,0.0,Equity,0.0,Nikkei 225 Index,0.0,GBP,10.0
NZD,1.0,0.0,FX,0.0,NZDUSD currency,0.0,GBP,2.9
OAT,0.5,0.0,Bond,0.0,French 10 year bond OAT,0.0,GBP,2.5
OATIES,15.0,0.0,Ags,0.0,Oat Futures,0.0,GBP,2.5
OJ,0.5,0.0,Ags,0.0,Orange Juice,0.0,GBP,20.0
PALLAD,2.0,0.0,Metals,0.0,Palladium,0.0,GBP,5.0
PLAT,3.0,0.0,Metals,0.0,Platinum,0.0,GBP,1.25
RICE,0.5,0.0,Ags,0.0,Rough Rice,0.0,GBP,20.0
RUSSELL,2.0,0.0,Equity,0.0,Russell 2000 Index,0.0,GBP,0.25
SHATZ,0.5,0.0,Bond,0.0,German 2 year bond Schatz,0.0,GBP,0.75
SILVER,1.0,0.0,Metals,0.0,NYMEX Silver Index,0.0,GBP,1.5
SMI,0.5,0.0,Equity,0.0,Swiss equity index SMI,0.0,GBP,3.0
SOYBEAN,5.0,0.0,Ags,0.0,Soybean,0.0,GBP,1.0
SOYMEAL,0.25,0.0,Ags,0.0,Soybean meal,0.0,GBP,40.0
SOYOIL,1.0,0.0,Ags,0.0,Soybean Oil,0.0,GBP,5.0
SP500,1.0,0.0,Equity,0.0,US equity index S&P500,0.0,GBP,0.5
STERLING3,0.5,0.0,STIR,0.0,Short Sterling,0.0,GBP,0.5
SUGAR,2.0,0.0,Ags,0.0,Sugar New York No. 11,0.0,GBP,2.5
SUGAR_LDN,15.0,0.0,Ags,0.0,Sugar London No. 5,0.0,GBP,0.4
US10,0.5,0.0,Bond,0.0,US 10 year bond note,0.0,GBP,2.0
US2,0.5,0.0,Bond,0.0,US 2 year bond note,0.0,GBP,1.0
US30,0.5,0.0,Bond,0.0,US Ultra Treasury Bond,0.0,GBP,2.0
US5,0.5,0.0,Bond,0.0,US 5 year bond note,0.0,GBP,1.0
USTB,0.5,0.0,Bond,0.0,US Treasury Bond,0.0,GBP,2.0
V2X,100.0,0.0,Vol,0.0,Vol European equity V2X,0.0,GBP,0.1
VIX,100.0,0.0,Vol,0.0,Vol US equity VIX,0.0,GBP,0.1
WHEAT,15.0,0.0,Ags,0.0,Wheat,0.0,GBP,0.5
WHEAT_LDN,20.0,0.0,Ags,0.0,Wheat London,0.0,GBP,0.375
