Date,MAR,JUN,SEP,DEC
2021-03-15 22:54:30,MAR-22|2022-03-11 20:00:00|UNKNOWN,JUN-21|2021-06-11 19:00:00|UNKNOWN,SEP-21|2021-09-10 19:00:00|UNKNOWN,DEC-21|2021-12-10 20:00:00|UNKNOWN
2021-06-14 21:14:07,MAR-22|2022-03-11 20:00:00|UNKNOWN,JUN-22|2022-06-10 19:00:00|UNKNOWN,SEP-21|2021-09-10 19:00:00|UNKNOWN,DEC-21|2021-12-10 20:00:00|UNKNOWN
2021-09-11 05:28:38,MAR-22|2022-03-11 20:00:00|UNKNOWN,JUN-22|2022-06-10 19:00:00|UNKNOWN,SEP-22|2022-09-16 19:00:00|UNKNOWN,DEC-21|2021-12-10 20:00:00|UNKNOWN
2021-12-11 05:22:37,MAR-22|2022-03-11 20:00:00|UNKNOWN,JUN-22|2022-06-10 19:00:00|UNKNOWN,SEP-22|2022-09-16 19:00:00|UNKNOWN,DEC-22|2022-12-16 20:00:00|UNKNOWN
2022-03-11 20:06:56,MAR-23|2022-03-11 20:00:00|UNKNOWN,JUN-22|2022-06-10 19:00:00|UNKNOWN,SEP-22|2022-09-16 19:00:00|UNKNOWN,DEC-22|2022-12-16 20:00:00|UNKNOWN
2022-03-14 20:06:56,MAR-23|2023-03-10 20:00:00|UNKNOWN,JUN-22|2022-06-10 19:00:00|UNKNOWN,SEP-22|2022-09-16 19:00:00|UNKNOWN,DEC-22|2022-12-16 20:00:00|UNKNOWN
2022-06-10 20:07:04,MAR-23|2023-03-10 20:00:00|UNKNOWN,JUN-23|2022-06-10 19:00:00|UNKNOWN,SEP-22|2022-09-16 19:00:00|UNKNOWN,DEC-22|2022-12-16 20:00:00|UNKNOWN
2022-06-13 20:06:55,MAR-23|2023-03-10 20:00:00|UNKNOWN,JUN-23|2023-06-16 19:00:00|UNKNOWN,SEP-22|2022-09-16 19:00:00|UNKNOWN,DEC-22|2022-12-16 20:00:00|UNKNOWN
2022-09-16 20:06:56,MAR-23|2023-03-10 20:00:00|UNKNOWN,JUN-23|2023-06-16 19:00:00|UNKNOWN,SEP-23|2022-09-16 19:00:00|UNKNOWN,DEC-22|2022-12-16 20:00:00|UNKNOWN
2022-09-19 20:06:54,MAR-23|2023-03-10 20:00:00|UNKNOWN,JUN-23|2023-06-16 19:00:00|UNKNOWN,SEP-23|2023-09-15 19:00:00|UNKNOWN,DEC-22|2022-12-16 20:00:00|UNKNOWN
2022-12-16 20:06:55,MAR-23|2023-03-10 20:00:00|UNKNOWN,JUN-23|2023-06-16 19:00:00|UNKNOWN,SEP-23|2023-09-15 19:00:00|UNKNOWN,DEC-23|2022-12-16 20:00:00|UNKNOWN
2022-12-19 20:06:56,MAR-23|2023-03-10 20:00:00|UNKNOWN,JUN-23|2023-06-16 19:00:00|UNKNOWN,SEP-23|2023-09-15 19:00:00|UNKNOWN,DEC-23|2023-12-15 20:00:00|UNKNOWN
2023-02-09 19:13:05,MAR-23|2023-03-10 20:00:00|TRADEABLE,JUN-23|2023-06-16 19:00:00|TRADEABLE,SEP-23|2023-09-15 19:00:00|OFFLINE,DEC-23|2023-12-15 20:00:00|OFFLINE
