Date,Month2,Month3,Month4,Month5,Month6
2021-05-25 21:16:38,AUG-21|2021-06-29 18:30:00|UNKNOWN,OCT-21|2021-08-30 17:30:00|UNKNOWN,SEP-21|2021-07-29 18:30:00|UNKNOWN,NOV-21|2021-09-29 18:30:00|UNKNOWN,JUL-21|2021-05-27 18:30:00|UNKNOWN
2021-05-27 21:17:07,AUG-21|2021-06-29 18:30:00|UNKNOWN,OCT-21|2021-08-30 17:30:00|UNKNOWN,SEP-21|2021-07-29 18:30:00|UNKNOWN,NOV-21|2021-09-29 18:30:00|UNKNOWN,DEC-21|2021-10-28 18:30:00|UNKNOWN
2021-06-30 05:28:42,JAN-22|2021-11-29 19:30:00|UNKNOWN,OCT-21|2021-08-30 17:30:00|UNKNOWN,SEP-21|2021-07-29 18:30:00|UNKNOWN,NOV-21|2021-09-29 18:30:00|UNKNOWN,DEC-21|2021-10-28 18:30:00|UNKNOWN
2021-07-30 05:27:26,JAN-22|2021-11-29 19:30:00|UNKNOWN,OCT-21|2021-08-30 17:30:00|UNKNOWN,FEB-22|2021-12-29 19:30:00|UNKNOWN,NOV-21|2021-09-29 18:30:00|UNKNOWN,DEC-21|2021-10-28 18:30:00|UNKNOWN
2021-09-07 10:03:40,JAN-22|2021-11-29 19:30:00|UNKNOWN,MAR-22|2022-01-28 18:30:00|UNKNOWN,FEB-22|2021-12-29 19:30:00|UNKNOWN,NOV-21|2021-09-29 18:30:00|UNKNOWN,DEC-21|2021-10-28 18:30:00|UNKNOWN
2021-09-30 05:27:35,JAN-22|2021-11-29 19:30:00|UNKNOWN,MAR-22|2022-01-28 18:30:00|UNKNOWN,FEB-22|2021-12-29 19:30:00|UNKNOWN,APR-22|2022-02-25 19:30:00|UNKNOWN,DEC-21|2021-10-28 18:30:00|UNKNOWN
2021-10-29 05:27:33,JAN-22|2021-11-29 19:30:00|UNKNOWN,MAR-22|2022-01-28 18:30:00|UNKNOWN,FEB-22|2021-12-29 19:30:00|UNKNOWN,APR-22|2022-02-25 19:30:00|UNKNOWN,MAY-22|2022-03-30 18:30:00|UNKNOWN
2021-11-30 05:29:09,JUN-22|2022-04-28 18:30:00|UNKNOWN,MAR-22|2022-01-28 18:30:00|UNKNOWN,FEB-22|2021-12-29 19:30:00|UNKNOWN,APR-22|2022-02-25 19:30:00|UNKNOWN,MAY-22|2022-03-30 18:30:00|UNKNOWN
2021-12-30 05:21:30,JUN-22|2022-04-28 18:30:00|UNKNOWN,MAR-22|2022-01-28 18:30:00|UNKNOWN,JUL-22|2022-05-27 18:30:00|UNKNOWN,APR-22|2022-02-25 19:30:00|UNKNOWN,MAY-22|2022-03-30 18:30:00|UNKNOWN
2022-01-29 05:22:38,JUN-22|2022-04-28 18:30:00|UNKNOWN,AUG-22|2022-06-29 17:30:00|UNKNOWN,JUL-22|2022-05-27 18:30:00|UNKNOWN,APR-22|2022-02-25 19:30:00|UNKNOWN,MAY-22|2022-03-30 18:30:00|UNKNOWN
2022-02-25 20:06:54,JUN-22|2022-04-28 18:30:00|UNKNOWN,AUG-22|2022-06-29 17:30:00|UNKNOWN,JUL-22|2022-05-27 18:30:00|UNKNOWN,SEP-22|2022-07-28 18:30:00|UNKNOWN,MAY-22|2022-03-30 18:30:00|UNKNOWN
