Date,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8
2021-05-25 21:16:38,JUL-21|2021-06-28 16:55:00|UNKNOWN,OCT-22|2022-09-28 16:55:00|UNKNOWN,MAR-22|2022-02-24 17:55:00|UNKNOWN,MAY-22|2022-04-27 16:55:00|UNKNOWN,MAR-23|2023-02-24 17:55:00|UNKNOWN,OCT-21|2021-09-28 16:55:00|UNKNOWN,MAY-21|2021-04-28 16:55:00|UNKNOWN,JUL-22|2022-06-28 16:55:00|UNKNOWN
2021-06-29 05:28:46,MAY-23|2023-04-26 16:55:00|UNKNOWN,OCT-22|2022-09-28 16:55:00|UNKNOWN,MAR-22|2022-02-24 17:55:00|UNKNOWN,MAY-22|2022-04-27 16:55:00|UNKNOWN,MAR-23|2023-02-24 17:55:00|UNKNOWN,OCT-21|2021-09-28 16:55:00|UNKNOWN,MAY-21|2021-04-28 16:55:00|UNKNOWN,JUL-22|2022-06-28 16:55:00|UNKNOWN
2021-07-03 05:27:27,MAY-23|2023-04-26 16:55:00|UNKNOWN,OCT-22|2022-09-28 16:55:00|UNKNOWN,MAR-22|2022-02-24 17:55:00|UNKNOWN,MAY-22|2022-04-27 16:55:00|UNKNOWN,MAR-23|2023-02-24 17:55:00|UNKNOWN,OCT-21|2021-09-28 16:55:00|UNKNOWN,JUL-21|2021-06-28 16:55:00|UNKNOWN,JUL-22|2022-06-28 16:55:00|UNKNOWN
2021-07-10 05:27:28,MAY-23|2023-04-26 16:55:00|UNKNOWN,OCT-22|2022-09-28 16:55:00|UNKNOWN,MAR-22|2022-02-24 17:55:00|UNKNOWN,MAY-22|2022-04-27 16:55:00|UNKNOWN,MAR-23|2023-02-24 17:55:00|UNKNOWN,OCT-21|2021-09-28 16:55:00|UNKNOWN,JUL-23|2023-06-28 16:55:00|UNKNOWN,JUL-22|2022-06-28 16:55:00|UNKNOWN
2021-09-29 05:27:33,MAY-23|2023-04-26 16:55:00|UNKNOWN,OCT-22|2022-09-28 16:55:00|UNKNOWN,MAR-22|2022-02-24 17:55:00|UNKNOWN,MAY-22|2022-04-27 16:55:00|UNKNOWN,MAR-23|2023-02-24 17:55:00|UNKNOWN,OCT-23|2023-09-27 16:55:00|UNKNOWN,JUL-23|2023-06-28 16:55:00|UNKNOWN,JUL-22|2022-06-28 16:55:00|UNKNOWN
2022-02-24 20:06:54,MAY-23|2023-04-26 16:55:00|UNKNOWN,OCT-22|2022-09-28 16:55:00|UNKNOWN,MAR-24|2024-02-27 17:55:00|UNKNOWN,MAY-22|2022-04-27 16:55:00|UNKNOWN,MAR-23|2023-02-24 17:55:00|UNKNOWN,OCT-23|2023-09-27 16:55:00|UNKNOWN,JUL-23|2023-06-28 16:55:00|UNKNOWN,JUL-22|2022-06-28 16:55:00|UNKNOWN
2022-04-27 20:06:56,MAY-23|2023-04-26 16:55:00|UNKNOWN,OCT-22|2022-09-28 16:55:00|UNKNOWN,MAR-24|2024-02-27 17:55:00|UNKNOWN,MAY-24|2024-04-26 16:55:00|UNKNOWN,MAR-23|2023-02-24 17:55:00|UNKNOWN,OCT-23|2023-09-27 16:55:00|UNKNOWN,JUL-23|2023-06-28 16:55:00|UNKNOWN,JUL-22|2022-06-28 16:55:00|UNKNOWN
2022-06-29 20:07:08,MAY-23|2023-04-26 16:55:00|UNKNOWN,OCT-22|2022-09-28 16:55:00|UNKNOWN,MAR-24|2024-02-27 17:55:00|UNKNOWN,MAY-24|2024-04-26 16:55:00|UNKNOWN,MAR-23|2023-02-24 17:55:00|UNKNOWN,OCT-23|2023-09-27 16:55:00|UNKNOWN,JUL-23|2023-06-28 16:55:00|UNKNOWN,OCT-24|2024-09-26 16:55:00|UNKNOWN
2022-09-28 20:06:56,MAY-23|2023-04-26 16:55:00|UNKNOWN,JUL-24|2024-06-26 16:55:00|UNKNOWN,MAR-24|2024-02-27 17:55:00|UNKNOWN,MAY-24|2024-04-26 16:55:00|UNKNOWN,MAR-23|2023-02-24 17:55:00|UNKNOWN,OCT-23|2023-09-27 16:55:00|UNKNOWN,JUL-23|2023-06-28 16:55:00|UNKNOWN,OCT-24|2024-09-26 16:55:00|UNKNOWN
2023-02-09 19:13:05,MAY-23|2023-04-26 16:55:00|OFFLINE,JUL-24|2024-06-26 16:55:00|OFFLINE,MAR-24|2024-02-27 17:55:00|OFFLINE,MAY-24|2024-04-26 16:55:00|OFFLINE,MAR-23|2023-02-24 17:55:00|TRADEABLE,OCT-23|2023-09-27 16:55:00|OFFLINE,JUL-23|2023-06-28 16:55:00|OFFLINE,OCT-24|2024-09-26 16:55:00|OFFLINE
2023-02-20 11:16:56,MAY-23|2023-04-26 16:55:00|OFFLINE,JUL-24|2024-06-26 16:55:00|OFFLINE,MAR-24|2024-02-27 17:55:00|OFFLINE,MAY-24|2024-04-26 16:55:00|OFFLINE,MAR-23|2023-02-24 17:55:00|EDITS_ONLY,OCT-23|2023-09-27 16:55:00|OFFLINE,JUL-23|2023-06-28 16:55:00|OFFLINE,OCT-24|2024-09-26 16:55:00|OFFLINE
