Date,Month1,Month2,Month3,MonthZ
2021-03-15 22:54:30,MAY-21|2021-04-29 18:15:00|UNKNOWN,DEC-21|2021-11-29 19:15:00|UNKNOWN,SEP-21|2021-08-30 18:15:00|UNKNOWN,JUL-21|2021-06-29 18:15:00|UNKNOWN
2021-05-05 08:18:34,MAR-22|2022-02-25 19:15:00|UNKNOWN,DEC-21|2021-11-29 19:15:00|UNKNOWN,SEP-21|2021-08-30 18:15:00|UNKNOWN,JUL-21|2021-06-29 18:15:00|UNKNOWN
2021-06-30 05:28:42,MAR-22|2022-02-25 19:15:00|UNKNOWN,DEC-21|2021-11-29 19:15:00|UNKNOWN,SEP-21|2021-08-30 18:15:00|UNKNOWN,MAY-22|2022-04-28 18:15:00|UNKNOWN
2021-08-31 05:21:29,MAR-22|2022-02-25 19:15:00|UNKNOWN,DEC-21|2021-11-29 19:15:00|UNKNOWN,JUL-22|2022-06-29 18:15:00|UNKNOWN,MAY-22|2022-04-28 18:15:00|UNKNOWN
2021-11-30 05:29:09,MAR-22|2022-02-25 19:15:00|UNKNOWN,SEP-22|2022-08-30 18:15:00|UNKNOWN,JUL-22|2022-06-29 18:15:00|UNKNOWN,MAY-22|2022-04-28 18:15:00|UNKNOWN
2022-02-25 20:06:54,DEC-22|2022-11-29 19:15:00|UNKNOWN,SEP-22|2022-08-30 18:15:00|UNKNOWN,JUL-22|2022-06-29 18:15:00|UNKNOWN,MAY-22|2022-04-28 18:15:00|UNKNOWN
2022-04-28 20:06:55,DEC-22|2022-11-29 19:15:00|UNKNOWN,SEP-22|2022-08-30 18:15:00|UNKNOWN,JUL-22|2022-06-29 18:15:00|UNKNOWN,MAR-23|2023-02-27 19:15:00|UNKNOWN
2022-07-11 20:06:54,DEC-22|2022-11-29 19:15:00|UNKNOWN,SEP-22|2022-08-30 18:15:00|UNKNOWN,MAY-23|2023-04-27 18:15:00|UNKNOWN,MAR-23|2023-02-27 19:15:00|UNKNOWN
2022-08-30 20:06:56,DEC-22|2022-11-29 19:15:00|UNKNOWN,JUL-23|2023-06-29 18:15:00|UNKNOWN,MAY-23|2023-04-27 18:15:00|UNKNOWN,MAR-23|2023-02-27 19:15:00|UNKNOWN
2022-11-29 20:06:55,SEP-23|2023-08-30 18:15:00|UNKNOWN,JUL-23|2023-06-29 18:15:00|UNKNOWN,MAY-23|2023-04-27 18:15:00|UNKNOWN,MAR-23|2023-02-27 19:15:00|UNKNOWN
2023-02-09 19:13:05,SEP-23|2023-08-30 18:15:00|OFFLINE,JUL-23|2023-06-29 18:15:00|OFFLINE,MAY-23|2023-04-27 18:15:00|OFFLINE,MAR-23|2023-02-27 19:15:00|TRADEABLE
2023-02-20 11:16:56,SEP-23|2023-08-30 18:15:00|OFFLINE,JUL-23|2023-06-29 18:15:00|OFFLINE,MAY-23|2023-04-27 18:15:00|OFFLINE,MAR-23|2023-02-27 19:15:00|EDITS_ONLY
