DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2012-01-12 06:00:00,7.19,,,20121200,20131200,20130100
2012-01-13 06:00:00,6.99,,,20121200,20131200,20130100
2012-01-16 06:00:00,6.73,,,20121200,20131200,20130100
2012-01-17 06:00:00,6.73,,,20121200,20131200,20130100
2012-01-18 06:00:00,6.85,,,20121200,20131200,20130100
2012-01-19 06:00:00,7.32,,,20121200,20131200,20130100
2012-01-20 06:00:00,7.27,,,20121200,20131200,20130100
2012-01-23 06:00:00,7.11,,,20121200,20131200,20130100
2012-01-24 06:00:00,7.51,,,20121200,20131200,20130100
2012-01-25 06:00:00,7.59,,,20121200,20131200,20130100
2012-01-26 06:00:00,7.74,,,20121200,20131200,20130100
2012-01-27 06:00:00,8.19,,,20121200,20131200,20130100
2012-01-30 06:00:00,7.77,,,20121200,20131200,20130100
2012-01-31 06:00:00,8.04,,,20121200,20131200,20130100
2012-02-01 06:00:00,8.46,,,20121200,20131200,20130100
2012-02-02 06:00:00,8.74,,,20121200,20131200,20130100
2012-02-03 06:00:00,8.5,,,20121200,20131200,20130100
2012-02-06 06:00:00,8.7,,,20121200,20131200,20130100
2012-02-07 06:00:00,8.74,,,20121200,20131200,20130100
2012-02-08 06:00:00,8.34,,,20121200,20131200,20130100
2012-02-09 06:00:00,8.0,,,20121200,20131200,20130100
2012-02-10 06:00:00,7.92,,,20121200,20131200,20130100
2012-02-13 06:00:00,7.66,,,20121200,20131200,20130100
2012-02-14 06:00:00,8.11,,,20121200,20131200,20130100
2012-02-15 06:00:00,8.36,,,20121200,20131200,20130100
2012-02-16 06:00:00,9.0,,,20121200,20131200,20130100
2012-02-17 06:00:00,9.27,,,20121200,20131200,20130100
2012-02-20 06:00:00,8.77,,,20121200,20131200,20130100
2012-02-21 06:00:00,9.2,,,20121200,20131200,20130100
2012-02-22 06:00:00,9.17,,,20121200,20131200,20130100
2012-02-23 06:00:00,8.86,,,20121200,20131200,20130100
2012-02-24 06:00:00,9.43,,,20121200,20131200,20130100
2012-02-27 06:00:00,9.51,,,20121200,20131200,20130100
2012-02-28 06:00:00,9.02,,,20121200,20131200,20130100
2012-02-29 06:00:00,8.56,,,20121200,20131200,20130100
2012-03-01 06:00:00,8.87,,,20121200,20131200,20130100
2012-03-02 06:00:00,9.05,,,20121200,20131200,20130100
2012-03-05 06:00:00,8.84,,,20121200,20131200,20130100
2012-03-06 06:00:00,8.54,,,20121200,20131200,20130100
2012-03-07 06:00:00,8.6,,,20121200,20131200,20130100
2012-03-08 06:00:00,8.44,,,20121200,20131200,20130100
2012-03-09 06:00:00,8.09,,,20121200,20131200,20130100
2012-03-12 05:00:00,7.85,,,20121200,20131200,20130100
2012-03-13 05:00:00,7.8,,,20121200,20131200,20130100
2012-03-14 05:00:00,8.13,,,20121200,20131200,20130100
2012-03-15 05:00:00,8.01,,,20121200,20131200,20130100
2012-03-16 05:00:00,7.77,,,20121200,20131200,20130100
2012-03-19 05:00:00,7.79,,,20121200,20131200,20130100
2012-03-20 05:00:00,7.18,,,20121200,20131200,20130100
2012-03-21 05:00:00,7.43,,,20121200,20131200,20130100
2012-03-22 05:00:00,6.87,,,20121200,20131200,20130100
2012-03-23 05:00:00,7.02,,,20121200,20131200,20130100
2012-03-26 05:00:00,6.99,,,20121200,20131200,20130100
2012-03-27 05:00:00,7.26,,,20121200,20131200,20130100
