DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1979-12-31 06:00:00,1.052,,,19800300,19800400,19800400
1980-01-02 06:00:00,1.102,,,19800300,19800400,19800400
1980-01-03 06:00:00,1.139,,,19800300,19800400,19800400
1980-01-04 06:00:00,1.115,,,19800300,19800400,19800400
1980-01-07 06:00:00,1.067,,,19800300,19800400,19800400
1980-01-08 06:00:00,1.033,,,19800300,19800400,19800400
1980-01-09 06:00:00,1.057,,,19800300,19800400,19800400
1980-01-10 06:00:00,1.04,,,19800300,19800400,19800400
1980-01-11 06:00:00,1.087,,,19800300,19800400,19800400
1980-01-14 06:00:00,1.103,,,19800300,19800400,19800400
1980-01-15 06:00:00,1.114,,,19800300,19800400,19800400
1980-01-16 06:00:00,1.164,,,19800300,19800400,19800400
1980-01-17 06:00:00,1.214,,,19800300,19800400,19800400
1980-01-18 06:00:00,1.289,,,19800300,19800400,19800400
1980-01-21 06:00:00,1.389,,,19800300,19800400,19800400
1980-01-22 06:00:00,1.289,,,19800300,19800400,19800400
1980-01-23 06:00:00,1.204,,,19800300,19800400,19800400
1980-01-24 06:00:00,1.263,,,19800300,19800400,19800400
1980-01-25 06:00:00,1.32,,,19800300,19800400,19800400
1980-01-28 06:00:00,1.264,,,19800300,19800400,19800400
1980-01-29 06:00:00,1.314,,,19800300,19800400,19800400
1980-01-30 06:00:00,1.338,1.3430000000000002,1.3430000000000002,19800300,19800400,19800400
1980-01-31 06:00:00,1.305,1.3105,1.3105,19800300,19800400,19800400
1980-02-01 06:00:00,1.3130000000000002,1.32,1.32,19800300,19800400,19800400
1980-02-04 06:00:00,1.263,1.27,1.27,19800300,19800400,19800400
1980-02-05 06:00:00,1.3130000000000002,1.32,1.32,19800300,19800400,19800400
1980-02-06 06:00:00,1.335,1.3475,1.3475,19800300,19800400,19800400
1980-02-07 06:00:00,1.317,1.3255,1.3255,19800300,19800400,19800400
1980-02-08 06:00:00,1.367,1.3755,1.3755,19800300,19800400,19800400
1980-02-11 06:00:00,1.4169999999999998,1.4255,1.4255,19800300,19800400,19800400
1980-02-12 06:00:00,1.43,1.4409999999999998,1.4409999999999998,19800300,19800400,19800400
1980-02-13 06:00:00,1.415,1.4275,1.4275,19800300,19800400,19800400
1980-02-14 06:00:00,1.412,1.43,1.43,19800300,19800400,19800400
1980-02-15 06:00:00,1.362,1.38,1.38,19800300,19800400,19800400
1980-02-19 06:00:00,1.3119999999999998,1.33,1.33,19800300,19800400,19800400
1980-02-20 06:00:00,1.247,1.2635,1.2635,19800300,19800400,19800400
1980-02-21 06:00:00,1.274,1.2919999999999998,1.2919999999999998,19800300,19800400,19800400
1980-02-22 06:00:00,1.224,1.242,1.242,19800300,19800400,19800400
1980-02-25 06:00:00,1.1740000000000002,1.192,1.192,19800300,19800400,19800400
1980-02-26 06:00:00,1.173,1.192,1.192,19800300,19800400,19800400
1980-02-27 06:00:00,1.216,1.238,1.238,19800300,19800400,19800400
1980-02-28 06:00:00,1.227,,,19800400,19800600,19800600
1980-03-03 06:00:00,1.1625,,,19800400,19800600,19800600
1980-03-04 06:00:00,1.147,,,19800400,19800600,19800600
1980-03-05 06:00:00,1.17,,,19800400,19800600,19800600
1980-03-06 06:00:00,1.12,,,19800400,19800600,19800600
1980-03-07 06:00:00,1.07,,,19800400,19800600,19800600
1980-03-10 06:00:00,0.995,,,19800400,19800600,19800600
1980-03-11 06:00:00,1.02,,,19800400,19800600,19800600
1980-03-12 06:00:00,0.9899999,,,19800400,19800600,19800600
1980-03-13 06:00:00,0.935,,,19800400,19800600,19800600
1980-03-14 06:00:00,0.9719999,,,19800400,19800600,19800600
1980-03-17 06:00:00,0.9219999,,,19800400,19800600,19800600
1980-03-18 06:00:00,0.959,,,19800400,19800600,19800600
1980-03-19 06:00:00,0.973,,,19800400,19800600,19800600
1980-03-20 06:00:00,0.949,,,19800400,19800600,19800600
1980-03-21 06:00:00,0.955,,,19800400,19800600,19800600
1980-03-24 06:00:00,0.928,,,19800400,19800600,19800600
1980-03-25 06:00:00,0.902,,,19800400,19800600,19800600
1980-03-26 06:00:00,0.879,,,19800400,19800600,19800600
