DATE_TIME,current_contract,next_contract,carry_contract
1995-02-14 06:00:00,19950300,19950500,19950500
1995-04-17 05:00:00,19950500,19950700,19950700
1995-07-05 05:00:00,19950700,19951000,19951000
1995-09-15 05:00:00,19951000,19951200,19951200
1995-12-04 06:00:00,19951200,19960300,19960300
1996-02-15 06:00:00,19960300,19960500,19960500
1996-04-16 05:00:00,19960500,19960700,19960700
1996-07-03 05:00:00,19960700,19961000,19961000
1996-09-16 05:00:00,19961000,19961200,19961200
1996-12-02 06:00:00,19961200,19970300,19970300
1997-02-14 06:00:00,19970300,19970500,19970500
1997-04-16 05:00:00,19970500,19970700,19970700
1997-07-03 05:00:00,19970700,19971000,19971000
1997-09-16 05:00:00,19971000,19971200,19971200
1997-12-01 06:00:00,19971200,19980300,19980300
1998-02-13 06:00:00,19980300,19980500,19980500
1998-04-16 05:00:00,19980500,19980700,19980700
1998-07-06 05:00:00,19980700,19981000,19981000
1998-09-16 05:00:00,19981000,19981200,19981200
1998-12-01 06:00:00,19981200,19990300,19990300
1999-02-12 06:00:00,19990300,19990500,19990500
1999-04-16 05:00:00,19990500,19990700,19990700
1999-07-06 05:00:00,19990700,19991000,19991000
1999-09-16 05:00:00,19991000,19991200,19991200
1999-12-02 06:00:00,19991200,20000300,20000300
2000-02-15 06:00:00,20000300,20000500,20000500
2000-04-17 05:00:00,20000500,20000700,20000700
2000-07-05 05:00:00,20000700,20001000,20001000
2000-09-15 05:00:00,20001000,20001200,20001200
2000-12-01 06:00:00,20001200,20010300,20010300
2001-02-14 06:00:00,20010300,20010500,20010500
2001-04-16 05:00:00,20010500,20010700,20010700
2001-07-03 05:00:00,20010700,20011000,20011000
2001-09-17 05:00:00,20011000,20011200,20011200
2001-12-03 06:00:00,20011200,20020300,20020300
2002-02-14 06:00:00,20020300,20020500,20020500
2002-04-16 05:00:00,20020500,20020700,20020700
2002-07-03 05:00:00,20020700,20021000,20021000
2002-09-16 05:00:00,20021000,20021200,20021200
2002-12-02 06:00:00,20021200,20030300,20030300
2003-02-14 06:00:00,20030300,20030500,20030500
2003-04-16 05:00:00,20030500,20030700,20030700
2003-07-03 05:00:00,20030700,20031000,20031000
2003-09-16 05:00:00,20031000,20031200,20031200
