DATE_TIME,current_contract,next_contract,carry_contract
1966-05-27 22:00:00,19660700,19660800,19660800
1966-07-05 22:00:00,19660800,19661000,19661000
1966-09-02 22:00:00,19661000,19661200,19661200
1966-10-31 23:00:00,19661200,19670200,19670200
1967-01-03 23:00:00,19670200,19670400,19670400
1967-03-02 23:00:00,19670400,19670600,19670600
1967-04-27 23:00:00,19670600,19670700,19670700
1967-05-26 22:00:00,19670700,19670800,19670800
1967-07-03 22:00:00,19670800,19671000,19671000
1967-09-05 22:00:00,19671000,19671200,19671200
1967-11-01 23:00:00,19671200,19680200,19680200
1968-01-02 23:00:00,19680200,19680400,19680400
1968-03-04 23:00:00,19680400,19680600,19680600
1968-04-26 23:00:00,19680600,19680700,19680700
1968-05-27 22:00:00,19680700,19680800,19680800
1968-07-03 22:00:00,19680800,19681000,19681000
1968-09-03 22:00:00,19681000,19681200,19681200
1968-10-31 23:00:00,19681200,19690200,19690200
1968-12-31 23:00:00,19690200,19690400,19690400
1969-03-03 23:00:00,19690400,19690600,19690600
1969-04-28 22:00:00,19690600,19690700,19690700
1969-05-27 22:00:00,19690700,19690800,19690800
1969-07-03 22:00:00,19690800,19691000,19691000
1969-09-02 22:00:00,19691000,19691200,19691200
1969-10-31 23:00:00,19691200,19700200,19700200
1969-12-31 23:00:00,19700200,19700400,19700400
1970-03-02 23:00:00,19700400,19700600,19700600
1970-04-27 22:00:00,19700600,19700700,19700700
1970-05-27 22:00:00,19700700,19700800,19700800
1970-07-06 22:00:00,19700800,19701000,19701000
1970-09-02 22:00:00,19701000,19701200,19701200
1970-11-02 23:00:00,19701200,19710200,19710200
1970-12-31 23:00:00,19710200,19710400,19710400
1971-03-02 23:00:00,19710400,19710600,19710600
1971-04-27 22:00:00,19710600,19710700,19710700
1971-05-27 22:00:00,19710700,19710800,19710800
1971-07-06 22:00:00,19710800,19711000,19711000
1971-09-02 22:00:00,19711000,19711200,19711200
1971-11-01 23:00:00,19711200,19720200,19720200
1972-01-03 23:00:00,19720200,19720400,19720400
1972-03-02 23:00:00,19720400,19720600,19720600
1972-04-27 23:00:00,19720600,19720700,19720700
1972-05-26 22:00:00,19720700,19720800,19720800
1972-07-03 22:00:00,19720800,19721000,19721000
1972-09-05 22:00:00,19721000,19721200,19721200
1972-10-31 23:00:00,19721200,19730200,19730200
1973-01-02 23:00:00,19730200,19730400,19730400
1973-03-02 23:00:00,19730400,19730600,19730600
1973-04-27 23:00:00,19730600,19730700,19730700
1973-05-25 22:00:00,19730700,19730800,19730800
1973-07-03 22:00:00,19730800,19731000,19731000
1973-09-04 22:00:00,19731000,19731200,19731200
1973-10-31 23:00:00,19731200,19740200,19740200
