DATE_TIME,current_contract,next_contract,carry_contract
2019-03-04 06:00:00,20190300,20190600,20181200
2019-06-03 05:00:00,20190600,20190900,20190300
2019-09-03 05:00:00,20190900,20191200,20190600
2019-12-02 06:00:00,20191200,20200300,20190900
2020-03-02 06:00:00,20200300,20200600,20191200
2020-06-02 05:00:00,20200600,20200900,20200300
2020-09-02 05:00:00,20200900,20201200,20200600
2020-12-01 06:00:00,20201200,20210300,20200900
2021-03-02 06:00:00,20210300,20210600,20201200
2021-06-02 05:00:00,20210600,20210900,20210300
2021-09-02 05:00:00,20210900,20211200,20210600
2021-12-01 06:00:00,20211200,20220300,20210900
2022-03-02 06:00:00,20220300,20220600,20211200
2022-03-24 05:00:00,20220600,20220900,20220300
2022-03-25 05:00:00,20220900,20221200,20220600
2022-06-17 05:00:00,20221200,20230300,20220900
2022-09-16 05:00:00,20230300,20230600,20221200
2022-12-16 06:00:00,20230600,20230900,20230300
