DATE_TIME,current_contract,next_contract,carry_contract
1959-09-16 05:00:00,19591000,19591200,19590900
1959-10-21 05:00:00,19591200,19600100,19591000
1959-12-17 06:00:00,19600100,19600300,19591200
1960-01-20 06:00:00,19600300,19600500,19600100
1960-04-14 06:00:00,19600500,19600700,19600300
1960-06-16 05:00:00,19600700,19600900,19600500
1960-07-20 05:00:00,19600900,19601000,19600700
1960-09-16 05:00:00,19601000,19601200,19600900
1960-10-20 05:00:00,19601200,19610100,19601000
1960-12-16 06:00:00,19610100,19610300,19601200
1961-02-14 06:00:00,19610300,19610500,19610100
1961-04-17 06:00:00,19610500,19610700,19610300
1961-06-16 05:00:00,19610700,19610900,19610500
1961-07-20 05:00:00,19610900,19611000,19610700
1961-09-15 05:00:00,19611000,19611200,19610900
1961-10-20 05:00:00,19611200,19620100,19611000
1961-12-18 06:00:00,19620100,19620300,19611200
1962-02-14 06:00:00,19620300,19620500,19620100
1962-04-16 06:00:00,19620500,19620700,19620300
1962-05-21 05:00:00,19620700,19620800,19620500
1962-07-17 05:00:00,19620800,19620900,19620700
1962-08-17 05:00:00,19620900,19621000,19620800
1962-09-17 05:00:00,19621000,19621200,19620900
1962-10-22 05:00:00,19621200,19630100,19621000
1962-12-17 06:00:00,19630100,19630300,19621200
1963-02-14 06:00:00,19630300,19630500,19630100
1963-04-16 06:00:00,19630500,19630700,19630300
1963-05-21 05:00:00,19630700,19630800,19630500
1963-07-17 05:00:00,19630800,19630900,19630700
1963-08-16 05:00:00,19630900,19631000,19630800
1963-09-16 05:00:00,19631000,19631200,19630900
1963-10-22 05:00:00,19631200,19640100,19631000
1963-12-17 06:00:00,19640100,19640300,19631200
1964-02-14 06:00:00,19640300,19640500,19640100
1964-04-16 06:00:00,19640500,19640700,19640300
1964-05-19 05:00:00,19640700,19640800,19640500
1964-07-17 05:00:00,19640800,19640900,19640700
1964-08-17 05:00:00,19640900,19641000,19640800
1964-09-16 05:00:00,19641000,19641200,19640900
1964-10-21 05:00:00,19641200,19650100,19641000
1964-12-17 06:00:00,19650100,19650300,19641200
1965-02-15 06:00:00,19650300,19650500,19650100
1965-04-15 06:00:00,19650500,19650700,19650300
1965-05-19 05:00:00,19650700,19650800,19650500
1965-07-16 05:00:00,19650800,19650900,19650700
1965-08-17 05:00:00,19650900,19651000,19650800
1965-09-16 05:00:00,19651000,19651200,19650900
1965-10-20 05:00:00,19651200,19660100,19651000
1965-12-17 06:00:00,19660100,19660300,19651200
1966-02-14 06:00:00,19660300,19660500,19660100
1966-04-15 06:00:00,19660500,19660700,19660300
1966-05-19 05:00:00,19660700,19660800,19660500
1966-07-18 05:00:00,19660800,19660900,19660700
1966-08-17 05:00:00,19660900,19661000,19660800
1966-09-16 05:00:00,19661000,19661200,19660900
1966-10-20 05:00:00,19661200,19670100,19661000
1966-12-16 06:00:00,19670100,19670300,19661200
1967-02-14 06:00:00,19670300,19670500,19670100
1967-04-17 06:00:00,19670500,19670700,19670300
1967-05-19 05:00:00,19670700,19670800,19670500
1967-07-12 05:00:00,19670800,19670900,19670700
1967-08-17 05:00:00,19670900,19671000,19670800
1967-09-15 05:00:00,19671000,19671200,19670900
1967-10-20 05:00:00,19671200,19680100,19671000
