Instrument,SpreadCost
AEX_fsb,0.29
ASX_fsb,1.5
AUDJPY_fsb,4.5
AUD_fsb,4.5
BOBL_fsb,1.5
BRENT_W_fsb,3.0
BTP3_fsb,2.5
BTP_fsb,2.58
BUND_fsb,1.5
BUXL_fsb,3.0
CAC_fsb,3.9
CAD_fsb,4.0
CHFJPY_fsb,5.5
CHF_fsb,4.96
COCOA_LDN_fsb,4.9
COCOA_fsb,4.0
COFFEE_fsb,21.0
COPPER_fsb,20.0
CORN,0.16
CORN_fsb,0.51
COTTON2_fsb,12.77
CRUDE_W_fsb,3.0
DAX_fsb,6.4
DOW_fsb,4.3
DX_fsb,3.96
EDOLLAR,0.0025
EDOLLAR_fsb,0.8
EUA_fsb,3.0
EURCAD_fsb,9.2
EURCHF_fsb,5.3
EURGBP_fsb,4.2
EURIBOR-ICE_fsb,0.51
EURIBOR_fsb,2.4
EUROSTX,0.48
EUROSTX_fsb,2.0
EUR_fsb,5.44
FED_fsb,0.51
FTSE100_fsb,3.9
FTSE250_fsb,62.5
FTSECHINAH_fsb,12.0
GASOIL_fsb,0.52
GASOLINE_fsb,15.0
GAS_NL_fsb,50.0
GAS_UK_fsb,4.0
GAS_US_fsb,5.1
GBPCHF_fsb,10.0
GBPJPY_fsb,9.6
GBP_fsb,5.0
GILT_fsb,1.0
GOLD_fsb,0.3
HANG_fsb,15.0
HEATOIL_fsb,15.0
IBEX_fsb,8.8
JGB_fsb,2.1
JPY_fsb,5.0
JSE40_fsb,47.0
LEANHOG_fsb,7.19
LIVECOW_fsb,9.94
LUMBER-new_fsb,380.0
LUMBER_fsb,400.0
MSCISING_fsb,0.13
NASDAQ_fsb,1.5
NIKKEI_fsb,9.9
NOK_fsb,54.0
NZD_fsb,2.99
OATIES_fsb,3.84
OAT_fsb,2.57
OJ_fsb,98.0
OMXS30_fsb,0.73
PALLAD_fsb,1.0
PLAT_fsb,0.77
RICE_fsb,20.0
ROBUSTA_fsb,2.0
RUSSELL_fsb,0.25
SEK_fsb,54.0
SGD_fsb,12.5
SHATZ_fsb,0.73
SILVER_fsb,1.5
SMI_fsb,4.9
SOFR_fsb,0.5
SONIA3_fsb,0.51
SOYBEAN_fsb,1.0
SOYMEAL_fsb,40.0
SOYOIL_fsb,5.0
SP500,0.13
SP500_fsb,0.5
SUGAR11_fsb,2.4
SUGAR_WHITE_fsb,0.41
US10,0.008
US10_fsb,2.0
US2_fsb,1.0
US30U_fsb,2.0
US30Y_fsb,2.0
US5_fsb,1.0
V2X_fsb,0.1
VIX_fsb,0.1
WHEAT_ICE_fsb,0.74
WHEAT_fsb,0.5
ZAR_fsb,160.0
