Date,MONTH2,MONTH3,MONTH4
2021-05-25 21:16:38,SEP-21|2021-09-15 23:59:00|UNKNOWN,JUN-21|2021-06-17 00:59:00|UNKNOWN,DEC-21|2021-12-16 00:59:00|UNKNOWN
2021-06-17 05:31:12,SEP-21|2021-09-15 23:59:00|UNKNOWN,MAR-22|2022-03-17 01:59:00|UNKNOWN,DEC-21|2021-12-16 00:59:00|UNKNOWN
2021-09-16 05:28:44,JUN-22|2022-06-15 23:59:00|UNKNOWN,MAR-22|2022-03-17 01:59:00|UNKNOWN,DEC-21|2021-12-16 00:59:00|UNKNOWN
2021-12-16 05:22:57,JUN-22|2022-06-15 23:59:00|UNKNOWN,MAR-22|2022-03-17 01:59:00|UNKNOWN,SEP-22|2022-09-14 23:59:00|UNKNOWN
2022-03-17 20:06:57,JUN-22|2022-06-15 23:59:00|UNKNOWN,DEC-22|2022-12-15 01:59:00|UNKNOWN,SEP-22|2022-09-14 23:59:00|UNKNOWN
2022-06-21 20:06:55,MAR-23|2023-03-16 00:59:00|UNKNOWN,DEC-22|2022-12-15 01:59:00|UNKNOWN,SEP-22|2022-09-14 23:59:00|UNKNOWN
2022-09-15 20:06:55,MAR-23|2023-03-16 00:59:00|UNKNOWN,DEC-22|2022-12-15 01:59:00|UNKNOWN,JUN-23|2023-06-14 23:59:00|UNKNOWN
2022-12-15 20:06:54,MAR-23|2023-03-16 00:59:00|UNKNOWN,SEP-23|2023-09-21 00:59:00|UNKNOWN,JUN-23|2023-06-14 23:59:00|UNKNOWN
2023-02-09 19:13:05,MAR-23|2023-03-16 00:59:00|TRADEABLE,SEP-23|2023-09-21 00:59:00|OFFLINE,JUN-23|2023-06-14 23:59:00|OFFLINE
2023-03-13 11:16:55,MAR-23|2023-03-16 00:59:00|TRADEABLE,SEP-23|2023-09-21 00:59:00|OFFLINE,JUN-23|2023-06-14 23:59:00|TRADEABLE
2023-03-16 11:16:52,DEC-23|2023-12-21 00:59:00|OFFLINE,SEP-23|2023-09-21 00:59:00|OFFLINE,JUN-23|2023-06-14 23:59:00|TRADEABLE
2023-04-03 11:16:56,DEC-23|2023-12-21 00:59:00|OFFLINE,SEP-23|2023-09-21 01:59:00|OFFLINE,JUN-23|2023-06-14 23:59:00|TRADEABLE
2023-05-08 11:17:13,DEC-23|2023-12-21 00:59:00|OFFLINE,SEP-23|2023-09-21 01:59:00|OFFLINE,JUN-23|2023-06-14 23:59:00|OFFLINE
2023-05-09 11:17:28,DEC-23|2023-12-21 00:59:00|OFFLINE,SEP-23|2023-09-21 01:59:00|OFFLINE,JUN-23|2023-06-14 23:59:00|TRADEABLE
2023-06-13 11:17:30,DEC-23|2023-12-21 00:59:00|OFFLINE,SEP-23|2023-09-21 01:59:00|TRADEABLE,JUN-23|2023-06-14 23:59:00|TRADEABLE
2023-06-15 11:16:55,DEC-23|2023-12-21 00:59:00|OFFLINE,SEP-23|2023-09-21 01:59:00|TRADEABLE,MAR-24|2024-03-21 00:59:00|OFFLINE
2023-09-19 11:16:56,DEC-23|2023-12-21 00:59:00|TRADEABLE,SEP-23|2023-09-21 01:59:00|TRADEABLE,MAR-24|2024-03-21 00:59:00|OFFLINE
2023-09-21 11:16:55,DEC-23|2023-12-21 00:59:00|TRADEABLE,JUN-24|2024-06-20 01:59:00|OFFLINE,MAR-24|2024-03-21 00:59:00|OFFLINE
2023-12-19 11:16:51,DEC-23|2023-12-21 00:59:00|TRADEABLE,JUN-24|2024-06-20 01:59:00|OFFLINE,MAR-24|2024-03-21 00:59:00|TRADEABLE
2023-12-21 11:16:56,SEP-24|2024-09-18 23:59:00|OFFLINE,JUN-24|2024-06-20 01:59:00|OFFLINE,MAR-24|2024-03-21 00:59:00|TRADEABLE
2023-12-25 11:16:56,SEP-24|2024-09-18 23:59:00|OFFLINE,JUN-24|2024-06-20 01:59:00|OFFLINE,MAR-24|2024-03-21 00:59:00|EDITS_ONLY
2023-12-26 11:16:51,SEP-24|2024-09-18 23:59:00|OFFLINE,JUN-24|2024-06-20 01:59:00|OFFLINE,MAR-24|2024-03-21 00:59:00|TRADEABLE
2024-01-01 11:16:51,SEP-24|2024-09-18 23:59:00|OFFLINE,JUN-24|2024-06-20 01:59:00|OFFLINE,MAR-24|2024-03-21 00:59:00|EDITS_ONLY
2024-01-02 11:16:51,SEP-24|2024-09-18 23:59:00|OFFLINE,JUN-24|2024-06-20 01:59:00|OFFLINE,MAR-24|2024-03-21 00:59:00|TRADEABLE
