Date,Month1,Month2
2021-06-10 21:34:04,SEP-21|2021-08-13 17:25:00|UNKNOWN,JUL-21|2021-06-11 17:25:00|UNKNOWN
2021-06-14 21:14:07,SEP-21|2021-08-13 17:25:00|UNKNOWN,DEC-21|2021-11-12 18:25:00|UNKNOWN
2021-08-14 05:28:35,MAR-22|2022-02-11 18:25:00|UNKNOWN,DEC-21|2021-11-12 18:25:00|UNKNOWN
2021-11-13 05:28:40,MAR-22|2022-02-11 18:25:00|UNKNOWN,MAY-22|2022-04-08 17:25:00|UNKNOWN
2022-02-11 20:07:08,JUL-22|2022-06-10 17:25:00|UNKNOWN,MAY-22|2022-04-08 17:25:00|UNKNOWN
2022-04-08 20:06:56,JUL-22|2022-06-10 17:25:00|UNKNOWN,DEC-22|2022-11-11 18:25:00|UNKNOWN
2022-06-09 20:07:17,JUL-22|2022-06-10 17:25:00|UNKNOWN,SEP-22|2022-08-12 17:25:00|UNKNOWN
2022-06-10 20:07:04,DEC-22|2022-11-11 18:25:00|UNKNOWN,SEP-22|2022-08-12 17:25:00|UNKNOWN
2022-08-12 20:06:56,DEC-22|2022-11-11 18:25:00|UNKNOWN,MAR-23|2023-02-10 18:25:00|UNKNOWN
2022-11-07 20:06:54,DEC-22|2022-11-11 19:25:00|UNKNOWN,MAR-23|2023-02-10 19:25:00|UNKNOWN
2022-11-11 20:06:55,MAY-23|2023-04-14 18:25:00|UNKNOWN,MAR-23|2023-02-10 19:25:00|UNKNOWN
2023-02-09 19:13:05,MAY-23|2023-04-14 18:25:00|TRADEABLE,MAR-23|2023-02-10 19:25:00|TRADEABLE
2023-02-14 10:00:28,MAY-23|2023-04-14 18:25:00|TRADEABLE,JUL-23|2023-06-09 18:25:00|OFFLINE
2023-02-20 11:16:56,MAY-23|2023-04-14 18:25:00|EDITS_ONLY,JUL-23|2023-06-09 18:25:00|OFFLINE
2023-02-21 11:16:56,MAY-23|2023-04-14 18:25:00|TRADEABLE,JUL-23|2023-06-09 18:25:00|OFFLINE
2023-03-23 11:16:55,MAY-23|2023-04-14 18:25:00|TRADEABLE,JUL-23|2023-06-09 18:25:00|TRADEABLE
2023-04-07 11:16:53,MAY-23|2023-04-14 18:25:00|EDITS_ONLY,JUL-23|2023-06-09 18:25:00|EDITS_ONLY
2023-04-11 11:17:26,MAY-23|2023-04-14 18:25:00|TRADEABLE,JUL-23|2023-06-09 18:25:00|TRADEABLE
2023-04-17 11:17:13,SEP-23|2023-08-22 18:25:00|TRADEABLE,JUL-23|2023-06-09 18:25:00|TRADEABLE
2023-05-01 11:17:29,SEP-23|2023-08-22 18:25:00|EDITS_ONLY,JUL-23|2023-06-09 18:25:00|EDITS_ONLY
2023-05-02 11:16:56,SEP-23|2023-08-22 18:25:00|TRADEABLE,JUL-23|2023-06-09 18:25:00|TRADEABLE
2023-05-08 11:17:13,SEP-23|2023-08-22 18:25:00|EDITS_ONLY,JUL-23|2023-06-09 18:25:00|EDITS_ONLY
