Date,Month1,Month2
2021-03-15 22:54:30,JUL-21|2021-06-29 17:00:00|UNKNOWN,MAY-21|2021-04-29 17:00:00|UNKNOWN
2021-05-05 08:18:34,JUL-21|2021-06-29 17:00:00|UNKNOWN,SEP-21|2021-08-30 17:00:00|UNKNOWN
2021-06-30 05:28:42,DEC-21|2021-11-29 18:00:00|UNKNOWN,SEP-21|2021-08-30 17:00:00|UNKNOWN
2021-08-31 05:21:29,DEC-21|2021-11-29 18:00:00|UNKNOWN,MAR-22|2022-02-25 18:00:00|UNKNOWN
2021-11-30 05:29:09,MAY-22|2022-04-28 17:00:00|UNKNOWN,MAR-22|2022-02-25 18:00:00|UNKNOWN
2022-02-25 20:06:54,MAY-22|2022-04-28 17:00:00|UNKNOWN,JUL-22|2022-06-29 17:00:00|UNKNOWN
2022-04-28 20:06:55,SEP-22|2022-08-30 17:00:00|UNKNOWN,JUL-22|2022-06-29 17:00:00|UNKNOWN
2022-07-11 20:06:54,SEP-22|2022-08-30 17:00:00|UNKNOWN,DEC-22|2022-11-29 18:00:00|UNKNOWN
2022-08-30 20:06:56,MAR-23|2023-02-27 18:00:00|UNKNOWN,DEC-22|2022-11-29 18:00:00|UNKNOWN
2022-11-29 20:06:55,MAR-23|2023-02-27 18:00:00|UNKNOWN,MAY-23|2023-04-27 17:00:00|UNKNOWN
2023-02-09 19:13:05,MAR-23|2023-02-27 18:00:00|TRADEABLE,MAY-23|2023-04-27 17:00:00|OFFLINE
2023-02-23 11:16:53,MAR-23|2023-02-27 18:00:00|TRADEABLE,MAY-23|2023-04-27 17:00:00|TRADEABLE
2023-02-28 11:16:56,JUL-23|2023-06-29 17:00:00|OFFLINE,MAY-23|2023-04-27 17:00:00|TRADEABLE
2023-04-07 11:16:53,JUL-23|2023-06-29 17:00:00|OFFLINE,MAY-23|2023-04-27 17:00:00|EDITS_ONLY
2023-04-10 11:16:56,JUL-23|2023-06-29 17:00:00|OFFLINE,MAY-23|2023-04-27 17:00:00|TRADEABLE
2023-04-26 11:16:56,JUL-23|2023-06-29 17:00:00|TRADEABLE,MAY-23|2023-04-27 17:00:00|TRADEABLE
2023-04-28 11:16:55,JUL-23|2023-06-29 17:00:00|TRADEABLE,SEP-23|2023-08-30 17:00:00|OFFLINE
2023-06-27 11:17:57,JUL-23|2023-06-29 17:00:00|TRADEABLE,SEP-23|2023-08-30 17:00:00|TRADEABLE
2023-06-30 11:17:29,DEC-23|2023-11-29 18:00:00|OFFLINE,SEP-23|2023-08-30 17:00:00|TRADEABLE
2023-08-23 11:16:54,DEC-23|2023-11-29 18:00:00|TRADEABLE,SEP-23|2023-08-30 17:00:00|TRADEABLE
2023-08-31 11:16:51,DEC-23|2023-11-29 18:00:00|TRADEABLE,MAR-24|2024-02-28 18:00:00|OFFLINE
2023-11-24 11:16:56,DEC-23|2023-11-29 18:00:00|TRADEABLE,MAR-24|2024-02-28 18:00:00|TRADEABLE
2023-11-30 11:16:56,MAY-24|2024-04-29 17:00:00|OFFLINE,MAR-24|2024-02-28 18:00:00|TRADEABLE
