Date,Month1,Month2
2021-05-25 21:16:38,SEP-21|2021-09-10 18:00:00|UNKNOWN,JUN-21|2021-06-11 19:00:00|UNKNOWN
2021-06-14 21:14:07,SEP-21|2021-09-10 18:00:00|UNKNOWN,DEC-21|2021-12-10 20:00:00|UNKNOWN
2021-09-11 05:28:38,MAR-22|2022-03-11 19:00:00|UNKNOWN,DEC-21|2021-12-10 20:00:00|UNKNOWN
2021-12-11 05:22:37,MAR-22|2022-03-11 19:00:00|UNKNOWN,JUN-22|2022-06-10 19:00:00|UNKNOWN
2022-03-11 20:06:56,SEP-22|2022-09-16 18:00:00|UNKNOWN,JUN-22|2022-06-10 19:00:00|UNKNOWN
2022-06-10 20:07:04,SEP-22|2022-09-16 18:00:00|UNKNOWN,DEC-22|2022-12-16 20:00:00|UNKNOWN
2022-09-16 20:06:56,MAR-23|2023-03-10 19:00:00|UNKNOWN,DEC-22|2022-12-16 20:00:00|UNKNOWN
2022-12-16 20:06:55,MAR-23|2023-03-10 19:00:00|UNKNOWN,JUN-23|2023-06-16 19:00:00|UNKNOWN
2023-02-09 19:13:05,MAR-23|2023-03-10 19:00:00|TRADEABLE,JUN-23|2023-06-16 19:00:00|OFFLINE
2023-03-09 11:16:54,MAR-23|2023-03-10 19:00:00|TRADEABLE,JUN-23|2023-06-16 19:00:00|TRADEABLE
2023-03-13 11:16:55,SEP-23|2023-09-15 18:00:00|OFFLINE,JUN-23|2023-06-16 19:00:00|TRADEABLE
2023-06-15 11:16:55,SEP-23|2023-09-15 18:00:00|TRADEABLE,JUN-23|2023-06-16 19:00:00|TRADEABLE
2023-06-19 11:16:50,SEP-23|2023-09-15 18:00:00|TRADEABLE,DEC-23|2023-12-15 20:00:00|OFFLINE
2023-09-13 11:16:56,SEP-23|2023-09-15 18:00:00|TRADEABLE,DEC-23|2023-12-15 20:00:00|TRADEABLE
2023-09-18 11:16:55,MAR-24|2024-03-15 19:00:00|OFFLINE,DEC-23|2023-12-15 20:00:00|TRADEABLE
2023-12-18 11:16:51,MAR-24|2024-03-15 19:00:00|TRADEABLE,JUN-24|2024-06-14 19:00:00|OFFLINE
2023-12-25 11:16:56,MAR-24|2024-03-15 19:00:00|EDITS_ONLY,JUN-24|2024-06-14 19:00:00|OFFLINE
2023-12-26 11:16:51,MAR-24|2024-03-15 19:00:00|TRADEABLE,JUN-24|2024-06-14 19:00:00|OFFLINE
