Date,Month1,Month2,Month3
2021-05-25 21:16:38,DEC-22|2022-12-19 17:00:00|UNKNOWN,DEC-21|2021-12-13 17:00:00|UNKNOWN,DEC-23|2023-12-18 17:00:00|UNKNOWN
2021-12-03 05:30:19,DEC-22|2022-12-16 17:00:00|UNKNOWN,DEC-21|2021-12-13 17:00:00|UNKNOWN,DEC-23|2023-12-18 17:00:00|UNKNOWN
2021-12-14 05:22:50,DEC-22|2022-12-16 17:00:00|UNKNOWN,DEC-24|2024-12-16 17:00:00|UNKNOWN,DEC-23|2023-12-18 17:00:00|UNKNOWN
2022-12-12 20:06:55,DEC-22|2022-12-16 17:00:00|UNKNOWN,DEC-24|2024-12-16 17:00:00|UNKNOWN,DEC-23|2023-12-15 17:00:00|UNKNOWN
2022-12-16 20:06:55,DEC-22|2022-12-19 17:00:00|UNKNOWN,DEC-24|2024-12-16 17:00:00|UNKNOWN,DEC-23|2023-12-15 17:00:00|UNKNOWN
2022-12-19 20:06:56,DEC-25|2025-12-15 17:00:00|UNKNOWN,DEC-24|2024-12-16 17:00:00|UNKNOWN,DEC-23|2023-12-15 17:00:00|UNKNOWN
2023-02-09 19:13:05,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-16 17:00:00|OFFLINE,DEC-23|2023-12-15 17:00:00|TRADEABLE
2023-04-10 11:16:56,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-16 17:00:00|OFFLINE,DEC-23|2023-12-15 17:00:00|EDITS_ONLY
2023-04-12 11:16:56,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-16 17:00:00|OFFLINE,DEC-23|2023-12-15 17:00:00|TRADEABLE
2023-08-28 11:16:56,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-16 17:00:00|OFFLINE,DEC-23|2023-12-15 17:00:00|EDITS_ONLY
2023-08-29 11:16:56,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-16 17:00:00|OFFLINE,DEC-23|2023-12-15 17:00:00|TRADEABLE
2023-09-07 11:16:50,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-16 17:00:00|OFFLINE,DEC-23|2023-12-15 17:00:00|EDITS_ONLY
2023-09-08 11:16:55,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-16 17:00:00|OFFLINE,DEC-23|2023-12-15 17:00:00|TRADEABLE
2023-09-29 11:16:54,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-16 17:00:00|OFFLINE,DEC-23|2023-12-15 17:00:00|EDITS_ONLY
2023-10-02 11:16:51,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-16 17:00:00|OFFLINE,DEC-23|2023-12-15 17:00:00|TRADEABLE
2023-11-14 11:16:56,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-13 17:00:00|TRADEABLE,DEC-23|2023-12-15 17:00:00|TRADEABLE
2023-11-16 11:16:55,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-16 17:00:00|OFFLINE,DEC-23|2023-12-15 17:00:00|TRADEABLE
2023-11-17 11:16:56,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-13 17:00:00|TRADEABLE,DEC-23|2023-12-15 17:00:00|TRADEABLE
2023-11-20 11:16:56,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-13 17:00:00|EDITS_ONLY,DEC-23|2023-12-15 17:00:00|EDITS_ONLY
2023-11-21 11:16:59,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-13 17:00:00|TRADEABLE,DEC-23|2023-12-15 17:00:00|TRADEABLE
2023-12-18 11:16:51,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-13 17:00:00|TRADEABLE,DEC-26|2026-12-14 17:00:00|OFFLINE
2023-12-25 11:16:56,DEC-25|2025-12-15 17:00:00|OFFLINE,DEC-24|2024-12-13 17:00:00|EDITS_ONLY,DEC-26|2026-12-14 17:00:00|OFFLINE
