Date,Month1,Month2
2021-05-25 21:16:38,JUL-21|2021-06-29 18:30:00|UNKNOWN,JUN-21|2021-05-27 18:30:00|UNKNOWN
2021-05-27 21:17:07,JUL-21|2021-06-29 18:30:00|UNKNOWN,AUG-21|2021-07-29 18:30:00|UNKNOWN
2021-06-30 05:28:42,SEP-21|2021-08-30 18:30:00|UNKNOWN,AUG-21|2021-07-29 18:30:00|UNKNOWN
2021-07-30 05:27:26,SEP-21|2021-08-30 18:30:00|UNKNOWN,OCT-21|2021-09-29 18:30:00|UNKNOWN
2021-09-07 10:03:40,NOV-21|2021-10-28 18:30:00|UNKNOWN,OCT-21|2021-09-29 18:30:00|UNKNOWN
2021-09-30 05:27:35,NOV-21|2021-10-28 18:30:00|UNKNOWN,DEC-21|2021-11-29 19:30:00|UNKNOWN
2021-10-29 05:27:33,JAN-22|2021-12-30 19:30:00|UNKNOWN,DEC-21|2021-11-29 19:30:00|UNKNOWN
2021-11-30 05:29:09,JAN-22|2021-12-30 19:30:00|UNKNOWN,FEB-22|2022-01-28 19:30:00|UNKNOWN
2021-12-31 05:21:20,MAR-22|2022-02-25 19:30:00|UNKNOWN,FEB-22|2022-01-28 19:30:00|UNKNOWN
2022-01-29 05:22:38,MAR-22|2022-02-25 19:30:00|UNKNOWN,APR-22|2022-03-30 18:30:00|UNKNOWN
2022-02-25 20:06:54,MAY-22|2022-04-28 18:30:00|UNKNOWN,APR-22|2022-03-30 18:30:00|UNKNOWN
2022-03-30 20:06:54,MAY-22|2022-04-28 18:30:00|UNKNOWN,JUN-22|2022-05-27 18:30:00|UNKNOWN
2022-04-28 20:06:55,JUL-22|2022-06-29 18:30:00|UNKNOWN,JUN-22|2022-05-27 18:30:00|UNKNOWN
2022-05-27 20:06:56,JUL-22|2022-06-29 18:30:00|UNKNOWN,AUG-22|2022-07-28 18:30:00|UNKNOWN
2022-07-11 20:06:54,SEP-22|2022-08-30 18:30:00|UNKNOWN,AUG-22|2022-07-28 18:30:00|UNKNOWN
2022-07-28 20:06:56,SEP-22|2022-08-30 18:30:00|UNKNOWN,OCT-22|2022-09-29 18:30:00|UNKNOWN
2022-08-30 20:06:56,NOV-22|2022-10-28 18:30:00|UNKNOWN,OCT-22|2022-09-29 18:30:00|UNKNOWN
2022-09-29 20:06:54,NOV-22|2022-10-28 18:30:00|UNKNOWN,DEC-22|2022-11-29 19:30:00|UNKNOWN
2022-10-28 20:06:53,JAN-23|2022-12-29 19:30:00|UNKNOWN,DEC-22|2022-11-29 19:30:00|UNKNOWN
2022-11-29 20:06:55,JAN-23|2022-12-29 19:30:00|UNKNOWN,FEB-23|2023-01-30 19:30:00|UNKNOWN
2022-12-29 20:06:56,MAR-23|2023-02-27 19:30:00|UNKNOWN,FEB-23|2023-01-30 19:30:00|UNKNOWN
2023-01-31 20:06:55,MAR-23|2023-02-27 19:30:00|UNKNOWN,APR-23|2023-03-30 18:30:00|UNKNOWN
2023-02-09 19:13:05,MAR-23|2023-02-27 19:30:00|TRADEABLE,APR-23|2023-03-30 18:30:00|OFFLINE
2023-02-23 11:16:53,MAR-23|2023-02-27 19:30:00|TRADEABLE,APR-23|2023-03-30 18:30:00|TRADEABLE
2023-02-28 11:16:56,MAY-23|2023-04-27 18:30:00|OFFLINE,APR-23|2023-03-30 18:30:00|TRADEABLE
2023-03-10 11:16:55,MAY-23|2023-04-27 18:30:00|TRADEABLE,APR-23|2023-03-30 18:30:00|TRADEABLE
2023-04-03 11:16:56,MAY-23|2023-04-27 18:30:00|TRADEABLE,JUN-23|2023-05-30 18:30:00|OFFLINE
2023-04-10 11:16:56,MAY-23|2023-04-27 18:30:00|EDITS_ONLY,JUN-23|2023-05-30 18:30:00|OFFLINE
2023-04-11 11:17:26,MAY-23|2023-04-27 18:30:00|TRADEABLE,JUN-23|2023-05-30 18:30:00|OFFLINE
2023-04-18 11:16:55,MAY-23|2023-04-27 18:30:00|TRADEABLE,JUN-23|2023-05-30 18:30:00|TRADEABLE
2023-05-01 11:17:29,JUL-23|2023-06-29 18:30:00|OFFLINE,JUN-23|2023-05-30 18:30:00|TRADEABLE
2023-05-30 11:16:55,JUL-23|2023-06-29 18:30:00|TRADEABLE,JUN-23|2023-05-30 18:30:00|TRADEABLE
2023-05-31 11:19:06,JUL-23|2023-06-29 18:30:00|TRADEABLE,AUG-23|2023-07-28 18:30:00|OFFLINE
2023-06-29 11:17:25,JUL-23|2023-06-29 18:30:00|TRADEABLE,AUG-23|2023-07-28 18:30:00|TRADEABLE
2023-07-03 11:16:56,SEP-23|2023-08-30 18:30:00|OFFLINE,AUG-23|2023-07-28 18:30:00|EDITS_ONLY
2023-07-04 11:16:50,SEP-23|2023-08-30 18:30:00|OFFLINE,AUG-23|2023-07-28 18:30:00|TRADEABLE
2023-07-21 11:16:55,SEP-23|2023-08-30 18:30:00|TRADEABLE,AUG-23|2023-07-28 18:30:00|TRADEABLE
2023-07-31 11:16:50,SEP-23|2023-08-30 18:30:00|TRADEABLE,OCT-23|2023-09-28 18:30:00|OFFLINE
2023-08-24 11:16:54,SEP-23|2023-08-30 18:30:00|TRADEABLE,OCT-23|2023-09-28 18:30:00|TRADEABLE
2023-08-31 11:16:51,NOV-23|2023-10-30 19:30:00|OFFLINE,OCT-23|2023-09-28 18:30:00|TRADEABLE
2023-09-05 11:16:52,NOV-23|2023-10-30 19:30:00|TRADEABLE,OCT-23|2023-09-28 18:30:00|TRADEABLE
2023-09-29 11:16:54,NOV-23|2023-10-30 19:30:00|TRADEABLE,DEC-23|2023-11-29 19:30:00|OFFLINE
2023-10-27 11:16:55,NOV-23|2023-10-30 19:30:00|TRADEABLE,DEC-23|2023-11-29 19:30:00|TRADEABLE
2023-10-30 11:16:50,NOV-23|2023-10-30 18:30:00|TRADEABLE,DEC-23|2023-11-29 18:30:00|TRADEABLE
2023-10-31 11:16:54,JAN-24|2023-12-28 18:30:00|OFFLINE,DEC-23|2023-11-29 18:30:00|TRADEABLE
2023-11-06 11:16:56,JAN-24|2023-12-28 19:30:00|OFFLINE,DEC-23|2023-11-29 19:30:00|TRADEABLE
2023-11-22 11:16:55,JAN-24|2023-12-28 19:30:00|TRADEABLE,DEC-23|2023-11-29 19:30:00|TRADEABLE
2023-11-30 11:16:56,JAN-24|2023-12-28 19:30:00|TRADEABLE,FEB-24|2024-01-30 19:30:00|OFFLINE
2023-12-22 11:16:54,JAN-24|2023-12-28 19:30:00|TRADEABLE,FEB-24|2024-01-30 19:30:00|TRADEABLE
2023-12-25 11:16:56,JAN-24|2023-12-28 19:30:00|EDITS_ONLY,FEB-24|2024-01-30 19:30:00|EDITS_ONLY
