Date,MONTH1,MONTH2
2022-03-21 11:50:25,APR-22|2022-04-13 07:00:00|UNKNOWN,MAY-22|2022-05-20 07:00:00|UNKNOWN
2022-04-14 20:06:51,JUN-22|2022-04-13 07:00:00|UNKNOWN,MAY-22|2022-05-20 07:00:00|UNKNOWN
2022-04-21 20:06:56,JUN-22|2022-06-17 07:00:00|UNKNOWN,MAY-22|2022-05-20 07:00:00|UNKNOWN
2022-05-20 20:06:56,JUN-22|2022-06-17 07:00:00|UNKNOWN,JUL-22|2022-07-15 07:00:00|UNKNOWN
2022-06-21 20:06:55,AUG-22|2022-06-17 07:00:00|UNKNOWN,JUL-22|2022-07-15 07:00:00|UNKNOWN
2022-07-11 20:06:54,AUG-22|2022-08-19 07:00:00|UNKNOWN,JUL-22|2022-07-15 07:00:00|UNKNOWN
2022-07-15 20:06:54,AUG-22|2022-08-19 07:00:00|UNKNOWN,SEP-22|2022-09-16 07:00:00|UNKNOWN
2022-08-19 20:07:04,OCT-22|2022-10-21 07:00:00|UNKNOWN,SEP-22|2022-09-16 07:00:00|UNKNOWN
2022-09-16 20:06:56,OCT-22|2022-10-21 07:00:00|UNKNOWN,NOV-22|2022-11-18 08:00:00|UNKNOWN
2022-10-21 20:06:55,DEC-22|2022-12-16 08:00:00|UNKNOWN,NOV-22|2022-11-18 08:00:00|UNKNOWN
2022-11-18 20:06:56,DEC-22|2022-12-16 08:00:00|UNKNOWN,JAN-23|2023-01-20 08:00:00|UNKNOWN
2022-12-16 20:06:55,FEB-23|2023-02-17 08:00:00|UNKNOWN,JAN-23|2023-01-20 08:00:00|UNKNOWN
2023-01-20 20:15:47,FEB-23|2023-02-17 08:00:00|UNKNOWN,MAR-23|2023-03-17 08:00:00|UNKNOWN
2023-02-09 19:13:05,FEB-23|2023-02-17 08:00:00|TRADEABLE,MAR-23|2023-03-17 08:00:00|OFFLINE
2023-02-14 10:00:28,FEB-23|2023-02-17 08:00:00|TRADEABLE,MAR-23|2023-03-17 08:00:00|TRADEABLE
2023-02-17 11:16:55,APR-23|2023-04-21 07:00:00|OFFLINE,MAR-23|2023-03-17 08:00:00|TRADEABLE
2023-03-13 11:16:55,APR-23|2023-04-21 07:00:00|TRADEABLE,MAR-23|2023-03-17 08:00:00|TRADEABLE
2023-03-20 11:16:55,APR-23|2023-04-21 07:00:00|TRADEABLE,MAY-23|2023-05-19 07:00:00|OFFLINE
2023-04-19 11:17:14,APR-23|2023-04-21 07:00:00|TRADEABLE,MAY-23|2023-05-19 07:00:00|TRADEABLE
2023-04-24 11:17:14,JUN-23|2023-06-16 07:00:00|OFFLINE,MAY-23|2023-05-19 07:00:00|TRADEABLE
2023-05-18 11:17:27,JUN-23|2023-06-16 07:00:00|TRADEABLE,MAY-23|2023-05-19 07:00:00|TRADEABLE
2023-05-22 11:18:03,JUN-23|2023-06-16 07:00:00|TRADEABLE,JUL-23|2023-07-21 07:00:00|OFFLINE
2023-06-16 11:18:02,JUN-23|2023-06-16 07:00:00|TRADEABLE,JUL-23|2023-07-21 07:00:00|TRADEABLE
2023-06-19 11:16:50,AUG-23|2023-08-18 07:00:00|OFFLINE,JUL-23|2023-07-21 07:00:00|TRADEABLE
2023-07-21 11:16:55,AUG-23|2023-08-18 07:00:00|TRADEABLE,JUL-23|2023-07-21 07:00:00|TRADEABLE
2023-07-24 11:17:30,AUG-23|2023-08-18 07:00:00|TRADEABLE,SEP-23|2023-09-15 07:00:00|OFFLINE
2023-08-15 11:17:26,AUG-23|2023-08-18 07:00:00|TRADEABLE,SEP-23|2023-09-15 07:00:00|TRADEABLE
2023-08-18 11:17:27,OCT-23|2023-10-20 07:00:00|OFFLINE,SEP-23|2023-09-15 07:00:00|TRADEABLE
2023-09-13 11:16:56,OCT-23|2023-10-20 07:00:00|TRADEABLE,SEP-23|2023-09-15 07:00:00|TRADEABLE
2023-09-15 11:16:56,OCT-23|2023-10-20 07:00:00|TRADEABLE,NOV-23|2023-11-17 08:00:00|OFFLINE
2023-10-18 12:11:53,OCT-23|2023-10-20 07:00:00|TRADEABLE,NOV-23|2023-11-17 08:00:00|TRADEABLE
2023-10-20 11:16:55,DEC-23|2023-12-15 08:00:00|OFFLINE,NOV-23|2023-11-17 08:00:00|TRADEABLE
2023-11-14 11:16:56,DEC-23|2023-12-15 08:00:00|TRADEABLE,NOV-23|2023-11-17 08:00:00|TRADEABLE
2023-11-17 11:16:56,DEC-23|2023-12-15 08:00:00|TRADEABLE,JAN-24|2024-01-19 08:00:00|OFFLINE
2023-12-13 11:16:56,DEC-23|2023-12-15 08:00:00|TRADEABLE,JAN-24|2024-01-19 08:00:00|TRADEABLE
2023-12-15 11:16:51,FEB-24|2024-02-16 08:00:00|OFFLINE,JAN-24|2024-01-19 08:00:00|TRADEABLE
2023-12-25 11:16:56,FEB-24|2024-02-16 08:00:00|OFFLINE,JAN-24|2024-01-19 08:00:00|EDITS_ONLY
2023-12-26 11:16:51,FEB-24|2024-02-16 08:00:00|OFFLINE,JAN-24|2024-01-19 08:00:00|TRADEABLE
2024-01-01 11:16:51,FEB-24|2024-02-16 08:00:00|OFFLINE,JAN-24|2024-01-19 08:00:00|EDITS_ONLY
2024-01-02 11:16:51,FEB-24|2024-02-16 08:00:00|OFFLINE,JAN-24|2024-01-19 08:00:00|TRADEABLE
2024-01-15 11:16:55,FEB-24|2024-02-16 08:00:00|TRADEABLE,JAN-24|2024-01-19 08:00:00|TRADEABLE
2024-01-19 11:16:50,FEB-24|2024-02-16 08:00:00|TRADEABLE,MAR-24|2024-03-15 08:00:00|OFFLINE
2024-02-13 11:16:55,FEB-24|2024-02-16 08:00:00|TRADEABLE,MAR-24|2024-03-15 08:00:00|TRADEABLE
2024-02-16 11:16:55,APR-24|2024-04-19 07:00:00|OFFLINE,MAR-24|2024-03-15 08:00:00|TRADEABLE
2024-03-12 11:16:55,APR-24|2024-04-19 07:00:00|TRADEABLE,MAR-24|2024-03-15 08:00:00|TRADEABLE
2024-03-15 11:16:51,APR-24|2024-04-19 07:00:00|TRADEABLE,MAY-24|2024-05-17 07:00:00|OFFLINE
2024-03-29 11:16:51,APR-24|2024-04-19 07:00:00|EDITS_ONLY,MAY-24|2024-05-17 07:00:00|OFFLINE
2024-04-01 11:16:51,APR-24|2024-04-19 07:00:00|TRADEABLE,MAY-24|2024-05-17 07:00:00|OFFLINE
2024-04-18 11:16:54,APR-24|2024-04-19 07:00:00|TRADEABLE,MAY-24|2024-05-17 07:00:00|TRADEABLE
2024-04-19 11:16:56,JUN-24|2024-06-20 07:00:00|OFFLINE,MAY-24|2024-05-17 07:00:00|TRADEABLE
2024-05-16 11:16:56,JUN-24|2024-06-20 07:00:00|TRADEABLE,MAY-24|2024-05-17 07:00:00|TRADEABLE
2024-05-17 11:16:55,JUN-24|2024-06-20 07:00:00|TRADEABLE,JUL-24|2024-07-19 07:00:00|OFFLINE
2024-06-19 11:16:56,JUN-24|2024-06-20 07:00:00|TRADEABLE,JUL-24|2024-07-19 07:00:00|TRADEABLE
2024-06-20 11:16:55,AUG-24|2024-08-16 07:00:00|OFFLINE,JUL-24|2024-07-19 07:00:00|TRADEABLE
