DATE_TIME,current_contract,next_contract,carry_contract
2008-12-12 06:00:00,20081200,20091200,20091200
2009-12-14 06:00:00,20091200,20101200,20101200
2010-12-13 06:00:00,20101200,20111200,20111200
2011-12-13 06:00:00,20111200,20121200,20121200
2012-12-13 06:00:00,20121200,20131200,20131200
2013-12-13 06:00:00,20131200,20141200,20141200
2014-12-12 06:00:00,20141200,20151200,20151200
2015-12-14 06:00:00,20151200,20161200,20161200
2016-12-13 06:00:00,20161200,20171200,20171200
2017-12-13 06:00:00,20171200,20181200,20181200
2018-12-13 06:00:00,20181200,20191200,20191200
2019-12-13 06:00:00,20191200,20201200,20201200
2020-12-14 06:00:00,20201200,20211200,20211200
2021-12-13 06:00:00,20211200,20221200,20221200
2022-12-16 07:00:00,20221200,20231200,20231200
