Instrument,IGEpic,IGCurrency,IGMultiplier,IGInverse
AEX_fsb,IX.D.AEX,GBP,1.0,False
ASX_fsb,IX.D.ASX,GBP,1.0,False
AUD_fsb,CF.D.AUD,GBP,10000.0,False
BOBL_fsb,IR.D.FGBM,GBP,100.0,False
BRENT_W_fsb,EN.D.LCO,GBP,100.0,False
BTP_fsb,IR.D.FBTS,GBP,100.0,False
BUND_fsb,IR.D.FGBL,GBP,100.0,False
BUXL_fsb,IR.D.FGBX,GBP,100.0,False
CAC_fsb,IX.D.CAC,GBP,1.0,False
CAD_fsb,CF.D.USDCAD,GBP,10000.0,True
CARBON_fsb,CO.D.CFI,GBP,100.0,False
CHF_fsb,CF.D.USDCHF,GBP,10000.0,True
COCOA_LDN_fsb,CO.D.LCC,GBP,1.0,False
COCOA_NY_fsb,CO.D.CC,GBP,1.0,False
COFFEE_fsb,CO.D.KC,GBP,100.0,False
COFFEE_LDN_fsb,CO.D.LKD,GBP,1.0,False
COPPER_fsb,MT.D.HG,GBP,10000.0,False
CORN_fsb,CO.D.C,GBP,1.0,False
COTTON_fsb,CO.D.CT,GBP,100.0,False
CRUDE_W_fsb,EN.D.CL,GBP,100.0,False
DAX_fsb,IX.D.DAX,GBP,1.0,False
DOLLAR_fsb,CO.D.DX,GBP,100.0,False
DOW_fsb,IX.D.DOW,GBP,1.0,False
EUR_fsb,CF.D.EURUSD,GBP,10000.0,False
EURGBP_fsb,CF.D.EURGBP,GBP,10000.0,False
EUROSTX_fsb,IX.D.STXE,GBP,1.0,False
FTSE_fsb,IX.D.FTSE,GBP,1.0,False
GAS_US_fsb,EN.D.NG,GBP,1000.0,False
GASOIL_LDN_fsb,EN.D.LGO,GBP,1.0,False
GASOLINE_fsb,EN.D.RB,GBP,10000.0,False
GBP_fsb,CF.D.GBPUSD,GBP,10000.0,False
GILT_fsb,IR.D.FLG,GBP,100.0,False
GOLD_fsb,MT.D.GC,GBP,1.0,False
HEATOIL_fsb,EN.D.HO,GBP,1.0,False
HANG_fsb,IX.D.HANGSENG,GBP,1.0,False
JGB_fsb,IR.D.JGB,GBP,100.0,False
JPY_fsb,CF.D.USDJPY,GBP,10000.0,True
LEANHOG_fsb,CO.D.LH,GBP,100.0,False
LIVECOW_fsb,CO.D.LC,GBP,100.0,False
NASDAQ_fsb,IX.D.NASDAQ,GBP,1.0,False
NIKKEI_fsb,IX.D.NIKFUT,GBP,1.0,False
NZD_fsb,CF.D.NZDUSD,GBP,10000.0,False
OAT_fsb,IR.D.FOAT,GBP,100.0,False
OATIES_fsb,CO.D.O,GBP,1.0,False
OJ_fsb,CO.D.OJ,GBP,100.0,False
PALLAD_fsb,MT.D.PA,GBP,1.0,False
PLAT_fsb,MT.D.PL,GBP,1.0,False
RICE_fsb,CO.D.RR,GBP,1000.0,False
RUSSELL_fsb,IX.D.RUSSELL,GBP,1.0,False
SHATZ_fsb,IR.D.FGBS,GBP,100.0,False
SILVER_fsb,MT.D.SI,GBP,100.0,False
SMI_fsb,IX.D.SMI,GBP,1.0,False
SOYBEAN_fsb,CO.D.S,GBP,1.0,False
SOYMEAL_fsb,CO.D.SM,GBP,100.0,False
SOYOIL_fsb,CO.D.BO,GBP,100.0,False
SP500_fsb,IX.D.SPTRD,GBP,1.0,False
SUGAR_fsb,CO.D.SB,GBP,100.0,False
SUGAR_LDNv,CO.D.LSU,GBP,1.0,False
US10_fsb,IR.D.10YEAR100,GBP,100.0,False
US2_fsb,IR.D.02YEAR100,GBP,100.0,False
US30_fsb,IR.D.ULTRA100,GBP,100.0,False
US5_fsb,IR.D.05YEAR100,GBP,100.0,False
USTB_fsb,IR.D.BOND100,GBP,100.0,False
WHEAT_fsb,CO.D.W,GBP,1.0,False
WHEAT_LDN_fsb,CO.D.LWB,GBP,1.0,False
